Date,MSCI JAMAICA
2008-11,1067.9972462945293
2008-12,1031.6399647511098
2009-01,963.2664868246808
2009-02,851.7756928437246
2009-03,716.198147669529
2009-04,753.8404074611909
2009-05,848.6771668451
2009-06,793.317054089876
2009-07,783.8500342641714
2009-08,792.5014852684615
2009-09,813.6847831268735
2009-10,821.533006863844
2009-11,931.2209911956344
2009-12,971.4402738152892
2010-01,804.0186618928739
2010-02,960.8243083364106
2010-03,1094.6842959393086
2010-04,1183.1879645896222
2010-05,1098.6566129362589
2010-06,1133.5543812866388
2010-07,1171.7430007052376
2010-08,1210.4540526688145
2010-09,1145.4389134788794
2010-10,1155.892625303887
2010-11,1232.5004645408837
2010-12,1229.8270772939404
2011-01,1244.0234156984964
2011-02,1267.1428730706093
2011-03,1288.1438133274328
2011-04,1499.5897320234462
2011-05,1450.6889263696025
2011-06,1474.3264836326032
2011-07,1498.9041882530987
2011-08,1637.2779949894118
2011-09,1583.4148910079102
2011-10,1668.9399077675282
2011-11,1651.0622488275033
2011-12,1637.0525188155832
2012-01,1568.1804310120003
2012-02,1539.2493072028408
2012-03,1564.6867986241007
2012-04,1567.1230541158202
2012-05,1457.5204430857489
2012-06,1421.988491263541
2012-07,1307.2210308054075
2012-08,1355.9296447721654
2012-09,1371.5944849478801
2012-10,1294.918322603148
2012-11,1284.2370939426899
2012-12,1408.8189850589717
2013-01,1309.0543610569903
2013-02,1168.1279204304776
2013-03,1099.5688522194937
2013-04,1165.1609505719146
2013-05,1206.5878121550256
2013-06,1223.791349320183
2013-07,1185.2967930837622
2013-08,1216.130027452622
2013-09,1175.7857452889318
2013-10,1088.576556071083
2013-11,1041.4178110541357
2013-12,1062.2304585494323
2014-01,1136.319994453507
2014-02,1146.197085184932
2014-03,1110.3926399728393
2014-04,1090.13047155462
2014-05,1026.3722349816355
2014-06,1055.2829715411513
2014-07,1071.7437307017433
2014-08,1056.6683007441022
2014-09,1076.885702488352
2014-10,1062.3487483224453
2014-11,1112.6297854105117
2014-12,1136.5228106316156
2015-01,1166.34916480071
2015-02,1273.6863250719425
2015-03,1394.4959383107007
2015-04,1582.7316718117438
2015-05,1639.2354017486628
2015-06,1555.9559856527849
2015-07,1589.6727318331075
2015-08,1550.4261567583665
2015-09,1535.70265097273
2015-10,1716.5917623345006
2015-11,1857.1470504779982
2015-12,2088.2516752064676
2016-01,2122.2888206930634
2016-02,2126.438181332254
2016-03,2119.897901088518
2016-04,2088.0850382301833
2016-05,2088.5395139135035
2016-06,2110.90083314664
2016-07,2090.9375228053195
2016-08,2058.5919622137185
2016-09,2084.3284472193886
2016-10,2146.7240087174196
2016-11,2362.719287377795
2016-12,2507.4385650726053
2017-01,2897.821440907068
2017-02,2998.757763985913
2017-03,2964.6272508342568
2017-04,3232.125546
2017-05,3351.49217
2017-06,3311.524907
2017-07,3583.443012
2017-08,3769.61243
2017-09,3785.82754
2017-10,4553.935194
2017-11,4184.893974
2017-12,4538.274614
2018-01,4565.21731
2018-02,4473.372816
2018-03,4528.286978
2018-04,4443.2406158620715
2018-05,4311.830518546123
2018-06,4314.31487406496
2018-07,4332.998075592811
2018-08,4473.168548856213
2018-09,4986.646929080176
2018-10,5278.583113540265
2018-11,6273.557757972787
2018-12,5763.389437510795
2019-01,5463.985563505583
2019-02,5612.632409995328
2019-03,5706.6397437151245
2019-04,5621.050174601273
2019-05,6064.716749515438
2019-06,7128.234038057847
2019-07,7536.757654366187
2019-08,7590.310900573043
2019-09,7871.6371105351345
2019-10,7239.581184072915
2019-11,7426.74204464528
2019-12,7624.793777271016
2020-01,7081.378140255055
2020-02,6999.1162677393095
2020-03,5665.605227387281
2020-04,5112.629691545873
2020-05,5245.741200726705
2020-06,5230.679253313878
2020-07,4846.307669759872
2020-08,4945.932501051788
2020-09,5081.65305603638
2020-10,4882.300252298999
2020-11,5260.924322449113
2020-12,5292.20704002753
2021-01,4910.570434390528
2021-02,4947.326258679621
2021-03,5011.850973192573
2021-04,4783.511507093032
2021-05,4960.6242483461165
2021-06,5017.070190995467
2021-07,4841.641966020304
2021-08,4785.451131185474
2021-09,4785.178972295233
2021-10,4547.895671067611
2021-11,4309.34378248045
2021-12,4466.73649215369
2022-01,4604.575054773356
2022-02,4496.288976694601
2022-03,4291.74334547723
2022-04,4250.926399202554
2022-05,4122.73182126969
2022-06,4013.799792932738
2022-07,3819.9298360605917
2022-08,3690.4423551035916
2022-09,3611.3953505677578
2022-10,3297.9312579889174
2022-11,3380.55739389278
2022-12,3464.810160076386
2023-01,3239.2192310610294
2023-02,3161.088985460298
2023-03,3293.2734295411765
2023-04,3154.806778793534
2023-05,3011.1911833222775
2023-06,2882.090170624443
