Date,CHINA ALL SHARES
2008-11,1050.005381725719
2008-12,1117.0887287930436
2009-01,1077.695449346072
2009-02,1069.6316015850864
2009-03,1219.4833943360186
2009-04,1330.502577053609
2009-05,1504.0840016318061
2009-06,1624.2079247622994
2009-07,1839.3077114483697
2009-08,1601.1331152933312
2009-09,1684.5813307554806
2009-10,1801.1047462321885
2009-11,1866.5667293040717
2009-12,1884.6181622052413
2010-01,1703.0170396199967
2010-02,1740.2075806086664
2010-03,1816.7954234339704
2010-04,1766.2107519685862
2010-05,1648.4989889637238
2010-06,1638.908143990599
2010-07,1742.9083300543232
2010-08,1704.7848825341312
2010-09,1827.6758758748604
2010-10,1958.4323804682342
2010-11,1883.951858163767
2010-12,1882.1727942996772
2011-01,1870.867356110979
2011-02,1868.4142204303698
2011-03,1939.5558631076326
2011-04,1965.8706330694922
2011-05,1943.1692456780304
2011-06,1908.7774319737523
2011-07,1885.0381428567568
2011-08,1741.0858701893512
2011-09,1493.8786310453536
2011-10,1671.0764295901545
2011-11,1540.2383089057678
2011-12,1547.9175130973033
2012-01,1687.1084504006392
2012-02,1793.8264825615124
2012-03,1671.8545653202925
2012-04,1746.3250384758207
2012-05,1612.2759603600869
2012-06,1614.0740428895397
2012-07,1609.4745147919793
2012-08,1547.829335227227
2012-09,1642.1090213809202
2012-10,1698.9446481607404
2012-11,1696.0849213269732
2012-12,1850.2123424083634
2013-01,1937.3883714356755
2013-02,1884.6445212814044
2013-03,1786.2622406667908
2013-04,1791.8783371391228
2013-05,1826.7016913633881
2013-06,1650.6884769620656
2013-07,1696.3074012309617
2013-08,1757.6005173931217
2013-09,1841.9889704135442
2013-10,1864.0816137057386
2013-11,1942.403317324785
2013-12,1875.9334376405056
2014-01,1761.6695472804452
2014-02,1772.357809866892
2014-03,1735.0817450948132
2014-04,1706.7915980508699
2014-05,1759.1597100397732
2014-06,1811.1184839340071
2014-07,1974.571540965715
2014-08,1977.6779714972151
2014-09,1928.7214556327642
2014-10,2002.5601188831533
2014-11,2104.2008474438953
2014-12,2319.420276758587
2015-01,2315.386289213991
2015-02,2394.9644112475494
2015-03,2596.6877872602754
2015-04,3066.8098336352664
2015-05,3044.8826878269156
2015-06,2835.8135396276216
2015-07,2477.825969455183
2015-08,2155.5423199891434
2015-09,2082.2920751049924
2015-10,2297.9602075546586
2015-11,2252.7337715909703
2015-12,2252.610947155761
2016-01,1844.3133148753723
2016-02,1807.633950049914
2016-03,2037.4673067076603
2016-04,2009.6865484970538
2016-05,1989.909581511361
2016-06,2002.6358951040704
2016-07,2065.505593879264
2016-08,2183.3604881534875
2016-09,2191.2589762091534
2016-10,2176.1798714907272
2016-11,2194.747148863879
2016-12,2079.394129038123
2017-01,2187.894012114048
2017-02,2256.34849000246
2017-03,2279.4656589581286
2017-04,2307.978939
2017-05,2390.106827
2017-06,2483.486894
2017-07,2650.07375
2017-08,2760.99791
2017-09,2779.933527
2017-10,2886.356336
2017-11,2882.861323
2017-12,2940.86229
2018-01,3261.621045
2018-02,3048.456665
2018-03,2961.3701706871775
2018-04,2906.9672905956977
2018-05,2932.8867460941638
2018-06,2725.573286190926
2018-07,2663.903986354265
2018-08,2541.0366547695644
2018-09,2538.8711786820727
2018-10,2261.4900840436057
2018-11,2379.4249718024516
2018-12,2260.4497078783966
2019-01,2490.6118056613414
2019-02,2669.713181221454
2019-03,2764.440517735664
2019-04,2804.435724447615
2019-05,2481.71171996883
2019-06,2660.5333597902436
2019-07,2657.3419322296904
2019-08,2552.3773277119712
2019-09,2556.0623535847612
2019-10,2650.448839851922
2019-11,2670.098384181752
2019-12,2890.339514295666
2020-01,2793.5577012822896
2020-02,2796.0962632799424
2020-03,2604.817882125347
2020-04,2776.6216603354987
2020-05,2751.9394764389567
2020-06,3009.1989236262157
2020-07,3350.2469373421604
2020-08,3527.1304258478367
2020-09,3406.1645173993033
2020-10,3567.355365096816
2020-11,3707.5480244058645
2020-12,3861.839570339172
2021-01,4104.273990029592
2021-02,4061.9401739030877
2021-03,3804.119128920794
2021-04,3892.3068335162584
2021-05,4001.6579579904237
2021-06,3984.0701469807086
2021-07,3542.3381774510644
2021-08,3550.4495924897265
2021-09,3454.4562501740047
2021-10,3550.6501199065215
2021-11,3419.240583
2021-12,3367.356982198833
2022-01,3188.052496001019
2022-02,3148.8655046083227
2022-03,2887.122471905665
2022-04,2706.2696572805517
2022-05,2755.8745436816566
2022-06,2973.545836467404
2022-07,2735.2559974075666
2022-08,2691.4112242762853
2022-09,2361.7755873949154
2022-10,2042.4314188005224
2022-11,2477.4402276190312
2022-12,2577.181977888074
2023-01,2862.1061252466156
2023-02,2638.161008338273
2023-03,2706.226900018388
2023-04,2601.4586672389464
2023-05,2395.2777303923103
2023-06,2441.2499226307273
