Date,CHINA A INCLUSION
2017-08,1000.0
2017-09,997.9294007658656
2017-10,1045.133652
2017-11,1046.142941
2017-12,1061.307644
2018-01,1166.118955
2018-02,1082.16589
2018-03,1050.016494148853
2018-04,1005.4058086268398
2018-05,994.3608447490669
2018-06,896.2547278666414
2018-07,884.6938939436595
2018-08,834.6620970467097
2018-09,860.6825010052621
2018-10,778.1828166621956
2018-11,785.1655319097423
2018-12,763.2763058360716
2019-01,833.7760615556705
2019-02,945.9940631796364
2019-03,991.8411772258852
2019-04,1000.0461527482948
2019-05,906.492121389245
2019-06,967.1497994793356
2019-07,976.2541822846028
2019-08,937.863996931928
2019-09,942.0896720048878
2019-10,973.3167358233544
2019-11,962.2900840533641
2019-12,1041.7414349112014
2020-01,1022.9124377639918
2020-02,1018.4759249654866
2020-03,945.9769574453242
2020-04,1011.1631771829622
2020-05,991.3808280687858
2020-06,1095.287389275067
2020-07,1260.8000480888172
2020-08,1321.4607901539055
2020-09,1264.232299240034
2020-10,1305.6917546319464
2020-11,1386.4844138531107
2020-12,1494.5076671093898
2021-01,1550.889749923607
2021-02,1527.696154449499
2021-03,1431.9356464309428
2021-04,1493.078501609676
2021-05,1586.821347439363
2021-06,1564.6483031475607
2021-07,1462.740968212337
2021-08,1479.3165615393623
2021-09,1497.4508464523626
2021-10,1528.0510687484443
2021-11,1523.712737
2021-12,1544.787522297504
2022-01,1408.8646667058183
2022-02,1445.1808072673366
2022-03,1320.0973432569494
2022-04,1192.5505901550864
2022-05,1225.8526647582353
2022-06,1343.7037040208747
2022-07,1261.5475801685004
2022-08,1214.8631575994389
2022-09,1099.6288464447168
2022-10,995.2281685465599
2022-11,1124.5277038304375
2022-12,1147.0831878640806
2023-01,1256.2622590676976
2023-02,1200.7769010475488
2023-03,1200.6655731456049
2023-04,1176.0301319695875
2023-05,1082.1352981757664
2023-06,1073.915597356141
