Date,CHINA WITH PARTIAL A SHARES
2008-11,1074.530443158166
2008-12,1183.9087952735022
2009-01,1089.7550087713253
2009-02,1057.2667089738443
2009-03,1205.9285938499252
2009-04,1337.3778243343652
2009-05,1564.941087609675
2009-06,1634.3129290056077
2009-07,1814.500684281506
2009-08,1678.0747404654066
2009-09,1758.4940309892875
2009-10,1872.7741977368453
2009-11,1921.7520851743852
2009-12,1931.901452218544
2010-01,1764.4092834218573
2010-02,1806.260686411711
2010-03,1903.5065368571406
2010-04,1895.1130273579029
2010-05,1790.396786590092
2010-06,1811.6972204529982
2010-07,1895.5681692731519
2010-08,1843.8321269760875
2010-09,2008.417203620966
2010-10,2092.379418332043
2010-11,2044.272194576859
2010-12,2030.5871825651916
2011-01,2019.1883126864716
2011-02,1984.51922297822
2011-03,2086.479882184581
2011-04,2121.4137657410515
2011-05,2129.4775701187727
2011-06,2055.0759978357055
2011-07,2038.6543583884454
2011-08,1851.501203939363
2011-09,1544.4825981488175
2011-10,1773.3181549997782
2011-11,1626.4062713478666
2011-12,1664.9088152313125
2012-01,1840.7863893642352
2012-02,1959.808770811472
2012-03,1825.1786531935556
2012-04,1891.3299066112954
2012-05,1696.9100986816895
2012-06,1731.6379813323063
2012-07,1753.7084772436815
2012-08,1697.257247525628
2012-09,1808.299617404225
2012-10,1908.5059970668597
2012-11,1941.2734661057336
2012-12,2044.252656585571
2013-01,2130.250927936163
2013-02,2049.937523179971
2013-03,1955.8213646941313
2013-04,1977.5845601345823
2013-05,1968.9175939702711
2013-06,1828.4150243578454
2013-07,1899.8018129120248
2013-08,1948.171706131208
2013-09,2049.7988720651365
2013-10,2100.7889657397714
2013-11,2201.6302485074357
2013-12,2129.431636244394
2014-01,1991.142175497509
2014-02,2038.3979416407578
2014-03,2000.8569805072848
2014-04,1954.4137605274316
2014-05,2043.8608968420463
2014-06,2112.2574718633423
2014-07,2288.6289257204876
2014-08,2294.837520397565
2014-09,2157.780135665938
2014-10,2249.103296070005
2014-11,2290.3364195157187
2014-12,2331.1189009217164
2015-01,2376.1322000163746
2015-02,2451.4255362094914
2015-03,2530.431642301457
2015-04,2970.44338645984
2015-05,2877.867221470409
2015-06,2709.2798084128312
2015-07,2410.5245848641216
2015-08,2122.869925718538
2015-09,2082.107785979614
2015-10,2275.144419738256
2015-11,2202.114613583033
2015-12,2172.2480892815697
2016-01,1879.7705938831543
2016-02,1838.9457011653776
2016-03,2058.7708197125967
2016-04,2055.0836099489584
2016-05,2043.0469341875669
2016-06,2066.763870656145
2016-07,2138.096928427561
2016-08,2296.190756567405
2016-09,2349.5468085538514
2016-10,2306.2132958332636
2017-04,2531.11479
2017-05,2657.585319
2017-06,2722.270374
2017-07,2958.339901
2017-08,3083.127321
2017-09,3116.972545
2017-10,3238.435721
2017-11,3279.568988
2017-12,3346.590068
2018-01,3759.50486
2018-02,3518.405379
2018-03,3409.8425624268334
2018-04,3406.7557942723806
2018-05,3471.5885495131447
2018-06,3288.1599540248385
2018-07,3208.3615081742823
2018-08,3085.4942903297783
2018-09,3042.835104893693
2018-10,2693.8488630174784
2018-11,2890.872852487672
2018-12,2716.1873627848595
2019-01,3015.841052596251
2019-02,3121.9450193947628
2019-03,3198.9560021318152
2019-04,3269.3887334116175
2019-05,2844.2902603755383
2019-06,3074.436724015499
2019-07,3057.6932967894622
2019-08,2931.669477145007
2019-09,2930.611859282574
2019-10,3049.7732300354132
2019-11,3109.368485669428
2019-12,3368.548530905862
2020-01,3198.5952475367512
2020-02,3232.956585690925
2020-03,3021.2462338172486
2020-04,3210.6292746733725
2020-05,3200.2909052217046
2020-06,3484.6415232322106
2020-07,3797.4610705147284
2020-08,4016.129762121527
2020-09,3912.364598806814
2020-10,4127.188476252477
2020-11,4228.671073473113
2020-12,4324.423224241396
