Date,BOTSWANA
2008-11,967.2213599389153
2008-12,833.128400305797
2009-01,813.9381298692824
2009-02,743.3292699892366
2009-03,754.9462460187953
2009-04,794.0841029251291
2009-05,850.6835651192996
2009-06,900.4421398271473
2009-07,943.5525267784375
2009-08,1016.4910608114358
2009-09,1057.3276135595142
2009-10,1013.0823997605066
2009-11,1031.4057321793152
2009-12,986.4356162911484
2010-01,1010.3313273918424
2010-02,1050.3336786028383
2010-03,1032.9306087505342
2010-04,1030.4984767966116
2010-05,961.3280453051136
2010-06,952.2096783666717
2010-07,1017.3341703556289
2010-08,950.21422599235
2010-09,968.7071332364872
2010-10,981.3835771712764
2010-11,847.8753736101183
2010-12,761.3645839733983
2011-01,828.3811108055846
2011-02,854.6849706548797
2011-03,878.0799518856493
2011-04,920.8734308216247
2011-05,906.0559481624068
2011-06,922.393225964016
2011-07,959.3991480691008
2011-08,898.8822246864607
2011-09,740.4023976358152
2011-10,729.3744152225129
2011-11,744.1535954819
2011-12,746.997716442572
2012-01,728.6238163165779
2012-02,751.3442008973893
2012-03,783.2462729787732
2012-04,776.9871309498836
2012-05,745.0240288309831
2012-06,745.898202690304
2012-07,747.8718354304352
2012-08,734.198957736095
2012-09,756.8120460141155
2012-10,807.0944635028352
2012-11,879.2785631011134
2012-12,877.3293121207615
2013-01,901.8121958177073
2013-02,920.6667289557076
2013-03,1056.5690297948686
2013-04,1116.1522922179695
2013-05,1019.8582416730457
2013-06,999.9567993401998
2013-07,983.6469173091425
2013-08,921.449044278102
2013-09,964.8711916177892
2013-10,1013.6283285690057
2013-11,1049.127449969901
2013-12,1048.9748227519383
2014-01,1042.290988050422
2014-02,1047.5290273156525
2014-03,1003.3009323570541
2014-04,956.2137156690653
2014-05,944.75612743561
2014-06,978.4882361332621
2014-07,1026.799550978614
2014-08,1049.2907979839847
2014-09,1033.4606501504725
2014-10,1090.7780329249194
2014-11,1075.1765825314098
2014-12,1040.4084859477405
2015-01,988.5054943886578
2015-02,991.796694212168
2015-03,979.652201098981
2015-04,1144.9488474452862
2015-05,1233.1201702404576
2015-06,1184.5181603405958
2015-07,1220.4078303031063
2015-08,1112.6747166964883
2015-09,1077.6052111664708
2015-10,1078.431086959448
2015-11,1039.4044235397885
2015-12,997.067232029929
2016-01,935.4454536285608
2016-02,885.1621746734977
2016-03,946.6677639606047
2016-04,1001.2861086301929
2016-05,936.2090548418829
2016-06,906.0021552019249
2016-07,899.1721100972986
2016-08,748.856006255823
2016-09,857.0147780819883
2016-10,897.4386679451726
2016-11,765.9251104888995
2016-12,772.5283307858656
2017-01,767.8896428033531
2017-02,787.4069039930297
2017-03,764.6582180672225
2017-04,797.605682
2017-05,833.008399
2017-06,763.148717
2017-07,748.688791
2017-08,691.991053
2017-09,741.827144
2017-10,721.506727
2017-11,726.54237
2017-12,765.460236
2018-01,822.285648
2018-02,830.981591
2018-03,729.881079
2018-04,802.8521719271334
2018-05,773.4076705186861
2018-06,691.4732078299285
2018-07,685.4108020587752
2018-08,612.2398141482255
2018-09,533.9021484991762
2018-10,514.4451004258863
2018-11,526.9042560732913
2018-12,469.4612207720767
2019-01,432.9618442973399
2019-02,416.21024677188655
2019-03,415.23917333295145
2019-04,411.59104840871976
2019-05,386.98572877449544
2019-06,378.33398296794763
2019-07,339.1947344498035
2019-08,214.3133938668984
2019-09,225.2796629673091
2019-10,211.2294436855706
2019-11,189.11390040529514
2019-12,196.70453503498086
2020-01,230.19797226123939
2020-02,235.10309573936894
2020-03,208.84134593486843
2020-04,198.82745137901037
2020-05,218.84176165679656
2020-06,190.24556535924845
2020-07,166.34053142559353
2020-08,178.14865557000286
2020-09,182.3392561495131
2020-10,196.4782013206884
2020-11,214.09517578530807
2020-12,226.57386603108006
2021-01,232.31875324798546
2021-02,232.06387803871706
2021-03,212.79531221803916
2021-04,275.6446351819583
2021-05,293.77371524109844
2021-06,302.71338900200635
2021-07,356.65749475229586
2021-08,364.0537087712444
2021-09,391.509266370908
2021-10,411.91785996622644
2021-11,460.92646503867377
2021-12,471.9843849137971
2022-01,486.352144866321
2022-02,578.1808715194029
2022-03,623.2573634063385
2022-04,590.4167692291422
2022-05,609.8623275748229
2022-06,523.2937960656174
2022-07,495.864381040759
2022-08,472.84083542660903
2022-09,405.81510804461504
2022-10,395.53614145269836
2022-11,426.26127237974197
2022-12,429.5465230339212
2023-01,426.2612723797417
2023-02,412.2989570994802
