Date,MSCI NETHERLANDS
1969-12,100.0
1970-01,94.638
1970-02,95.525
1970-03,96.899
1970-04,90.929
1970-05,88.813
1970-06,88.925
1970-07,96.773
1970-08,103.306
1970-09,101.658
1970-10,101.773
1970-11,91.623
1970-12,93.449
1971-01,95.937
1971-02,96.272
1971-03,97.59
1971-04,102.131
1971-05,103.583
1971-06,102.501
1971-07,104.452
1971-08,99.857
1971-09,94.191
1971-10,90.869
1971-11,88.714
1971-12,95.071
1972-01,102.386
1972-02,107.986
1972-03,106.259
1972-04,106.812
1972-05,119.358
1972-06,116.154
1972-07,123.188
1972-08,124.286
1972-09,117.939
1972-10,119.123
1972-11,121.357
1972-12,123.269
1973-01,130.032
1973-02,140.895
1973-03,147.01
1973-04,144.129
1973-05,143.934
1973-06,146.733
1973-07,147.048
1973-08,138.145
1973-09,142.609
1973-10,140.528
1973-11,115.523
1973-12,117.329
1974-01,115.677
1974-02,115.137
1974-03,116.481
1974-04,122.015
1974-05,115.893
1974-06,111.741
1974-07,114.707
1974-08,100.609
1974-09,90.464
1974-10,92.184
1974-11,95.412
1974-12,98.921
1975-01,124.319
1975-02,136.111
1975-03,134.467
1975-04,138.364
1975-05,132.797
1975-06,136.956
1975-07,128.886
1975-08,129.426
1975-09,118.823
1975-10,130.038
1975-11,140.011
1975-12,148.667
1976-01,161.058
1976-02,158.979
1976-03,166.52
1976-04,167.403
1976-05,162.713
1976-06,160.092
1976-07,159.991
1976-08,159.108
1976-09,158.335
1976-10,157.013
1976-11,163.144
1976-12,173.8
1977-01,174.661
1977-02,180.079
1977-03,183.942
1977-04,202.29
1977-05,191.536
1977-06,192.938
1977-07,196.367
1977-08,186.743
1977-09,191.77
1977-10,194.39
1977-11,198.41
1977-12,202.239
1978-01,204.178
1978-02,209.385
1978-03,218.071
1978-04,214.48
1978-05,216.73
1978-06,220.961
1978-07,228.826
1978-08,245.329
1978-09,247.359
1978-10,255.116
1978-11,234.644
1978-12,244.36
1979-01,254.404
1979-02,252.164
1979-03,263.668
1979-04,263.958
1979-05,254.298
1979-06,272.251
1979-07,273.738
1979-08,287.268
1979-09,302.345
1979-10,282.828
1979-11,288.166
1979-12,292.835
1980-01,299.856
1980-02,298.764
1980-03,252.141
1980-04,283.428
1980-05,296.299
1980-06,312.718
1980-07,322.627
1980-08,318.375
1980-09,321.124
1980-10,338.097
1980-11,354.881
1980-12,331.237
1981-01,314.818
1981-02,313.573
1981-03,298.74
1981-04,286.042
1981-05,264.602
1981-06,263.738
1981-07,262.394
1981-08,263.594
1981-09,237.989
1981-10,265.81
1981-11,294.017
1981-12,285.52
1982-01,282.602
1982-02,259.892
1982-03,275.577
1982-04,300.81
1982-05,297.832
1982-06,269.582
1982-07,272.843
1982-08,278.876
1982-09,279.61
1982-10,302.16
1982-11,302.281
1982-12,332.868
1983-01,338.063
1983-02,350.003
1983-03,405.38
1983-04,418.717
1983-05,407.506
1983-06,448.107
1983-07,443.792
1983-08,441.146
1983-09,454.679
1983-10,435.117
1983-11,447.826
1983-12,460.541
1984-01,515.917
1984-02,522.17
1984-03,529.709
1984-04,509.082
1984-05,485.016
1984-06,488.562
1984-07,441.698
1984-08,509.684
1984-09,529.106
1984-10,523.146
1984-11,509.962
1984-12,513.717
1985-01,557.568
1985-02,550.119
1985-03,591.833
1985-04,613.385
1985-05,600.163
1985-06,618.065
1985-07,674.888
1985-08,682.915
1985-09,689.9
1985-10,733.807
1985-11,790.657
1985-12,829.401767
1986-01,828.056712
1986-02,867.223979
1986-03,919.469678
1986-04,986.022234
1986-05,967.861231
1986-06,1017.533781
1986-07,1018.224152
1986-08,1142.506622
1986-09,1106.334203
1986-10,1075.059621
1986-11,1164.535511
1986-12,1181.104924
1987-01,1241.131556
1987-02,1243.164565
1987-03,1378.435429
1987-04,1388.571449
1987-05,1428.517105
1987-06,1536.675641
1987-07,1594.598686
1987-08,1599.087738
1987-09,1547.772119
1987-10,1278.169686
1987-11,1185.576552
1987-12,1278.932674
1988-01,1259.560424
1988-02,1313.404968
1988-03,1366.782277
1988-04,1403.422567
1988-05,1326.811243
1988-06,1333.462504
1988-07,1373.850653
1988-08,1312.818074
1988-09,1341.615293
1988-10,1442.215444
1988-11,1440.019255
1988-12,1478.37624
1989-01,1503.020426
1989-02,1502.476492
