Date,Price
2008-05,1000.0
2008-06,875.9223643470791
2008-07,896.1054328440426
2008-08,829.9045728336977
2008-09,658.2263108069977
2008-10,508.2523876918966
2008-11,520.887275715554
2008-12,573.4243918736062
2009-01,525.2202378596932
2009-02,509.5389382575794
2009-03,581.7558207093763
2009-04,648.5101569804823
2009-05,760.5742864057963
2009-06,793.3987672658369
2009-07,879.6639886566353
2009-08,818.466029260881
2009-09,860.8055398055144
2009-10,909.7922576130587
2009-11,936.5088012740144
2009-12,940.4737343264895
2010-01,859.4771558920305
2010-02,884.726651258552
2010-03,933.7892324915485
2010-04,934.2121678410601
2010-05,887.6548470411517
2010-06,895.8482450793034
2010-07,940.9584959060426
2010-08,915.9004195511371
2010-09,1006.60580243843
2010-10,1048.8462214473825
2010-11,1022.0014418640365
2010-12,1011.3477801648496
2011-01,1013.577417867701
2011-02,1001.1694609660979
2011-03,1060.5514570137052
2011-04,1086.6808052690783
2011-05,1080.7503575945886
2011-06,1043.8437760821532
2011-07,1045.330834141855
2011-08,950.3206544030912
2011-09,780.212911656952
2011-10,906.5041171001039
2011-11,828.3605108917554
2011-12,839.9284855688892
2012-01,930.7034467409478
2012-02,991.3468662980888
2012-03,931.34355750547
2012-04,956.0602495755484
2012-05,856.4894876200808
2012-06,872.1214261515972
2012-07,880.7964408920083
2012-08,854.5118697163307
2012-09,910.4859149016062
2012-10,954.3497428085273
2012-11,965.9527908030699
2012-12,1012.4866013965461
2013-01,1054.6638717553706
2013-02,1008.955655734823
2013-03,965.6480880260483
2013-04,976.5172711225704
2013-05,976.0435462828995
2013-06,912.7921730273316
2013-07,963.3970925426601
2013-08,989.2151893868672
2013-09,1049.2298401702517
2013-10,1074.1671760465802
2013-11,1123.0264262987266
2013-12,1094.433000855169
2014-01,1017.3488087866493
2014-02,1050.146273003067
2014-03,1024.3830716352581
2014-04,999.3008336602904
2014-05,1048.5130153685036
2014-06,1090.855166378387
2014-07,1179.614915863677
2014-08,1182.3829873032573
2014-09,1111.8950584291342
2014-10,1166.6006430723544
2014-11,1190.083938512963
2014-12,1186.3655419778204
2015-01,1203.1447087883807
2015-02,1231.2590097953453
2015-03,1262.8876943511123
2015-04,1452.0485867784307
2015-05,1410.3559226893613
2015-06,1339.4610714099126
2015-07,1198.9933056092923
2015-08,1052.9303083617033
2015-09,1027.0989466382373
2015-10,1154.3899628494771
2015-11,1137.6507849883794
2015-12,1119.0514572448192
2016-01,974.9995113827978
2016-02,953.2700357102444
2016-03,1065.7298081729375
2016-04,1063.561860084196
2016-05,1057.5714871044702
2016-06,1070.5703554927588
2016-07,1107.9907812821916
2016-08,1189.3618612777746
2016-09,1219.6129187418464
2016-10,1195.9884569751773
2016-11,1181.7765776648255
2016-12,1133.45744519208
2017-01,1210.326720310245
2017-02,1253.298903939107
2017-03,1280.3413693493303
2017-04,1314.477118
2017-05,1384.142534
2017-06,1416.757276
2017-07,1543.738238
2017-08,1609.300308
2017-09,1626.06901
2017-10,1690.851155
2017-11,1717.192461
2017-12,1749.847394
2018-01,1968.337212
2018-02,1842.280797
2018-03,1782.0951687790669
2018-04,1781.665232178644
2018-05,1815.3768970786011
2018-06,1720.0477438223797
2018-07,1679.580181555057
2018-08,1616.1405154668748
2018-09,1593.9962795014492
2018-10,1410.556283579153
2018-11,1514.3942194136705
2018-12,1422.898616738233
2019-01,1580.3082467854067
2019-02,1634.8165280702076
2019-03,1674.7030050326096
2019-04,1712.093957899202
2019-05,1488.6812697050261
2019-06,1609.2702294351143
2019-07,1601.0033890228847
2019-08,1533.3611125466132
2019-09,1533.2551961471509
2019-10,1595.106265855572
2019-11,1623.6407238431968
2019-12,1758.97658209341
2020-01,1674.3012005856813
2020-02,1690.5307711847931
2020-03,1578.9703199163323
2020-04,1678.849685332343
2020-05,1670.9424722383778
2020-06,1821.692087126068
2020-07,1994.619075283649
2020-08,2107.8932212648724
2020-09,2050.5746527560755
2020-10,2158.881089000128
2020-11,2218.696245620923
2020-12,2279.6330333019537
2021-01,2447.510640790664
2021-02,2421.851164157894
2021-03,2269.998875047166
2021-04,2301.8316641959527
2021-05,2319.9941952477748
2021-06,2322.874016420163
2021-07,2002.2403832583652
2021-08,2002.7151017701412
2021-09,1902.0541146096787
2021-10,1962.106919081171
2021-11,1844.8952181699326
2021-12,1785.5964714397896
2022-01,1730.606178709029
2022-02,1665.446770883809
2022-03,1534.5585097546627
2022-04,1469.769931997379
2022-05,1488.9805662995689
2022-06,1584.7705706495587
2022-07,1438.7948364302044
2022-08,1441.7202787327985
2022-09,1231.554324252482
2022-10,1026.100857470015
2022-11,1329.1518718739321
2022-12,1396.754939506329
2023-01,1561.978772407066
2023-02,1403.137515607921
2023-03,1466.2037867716845
2023-04,1390.3605721477488
2023-05,1275.5052918898934
2023-06,1328.0062621640802
