Date,MSCI KUWAIT
2005-05,708.5112143
2005-06,760.1778876
2005-07,798.8702525
2005-08,819.0559566
2005-09,856.6027624
2005-10,905.343876
2005-11,1000.0
2005-12,942.6684215516016
2006-01,955.74355716362
2006-02,927.4393440018163
2006-03,798.6157300770376
2006-04,847.0245859298647
2006-05,825.3054471032324
2006-06,832.5283402061013
2006-07,794.078615844978
2006-08,832.267628032971
2006-09,855.3127721157381
2006-10,935.038137770221
2006-11,853.6374350300622
2006-12,885.47973781494
2007-01,880.772557758005
2007-02,929.8034774633759
2007-03,1033.6330716680284
2007-04,1076.4950503348873
2007-05,1234.3465926671552
2007-06,1256.68826019413
2007-07,1318.7663553440077
2007-08,1327.3303374870518
2007-09,1348.0296842195924
2007-10,1316.7502905534566
2007-11,1228.171803521453
2007-12,1276.5816400814608
2008-01,1404.2778930423722
2008-02,1471.7764531476016
2008-03,1394.6417425922496
2008-04,1386.5234291520508
2008-05,1356.886890116756
2008-06,1376.9960699122585
2008-07,1354.4439833590466
2008-08,1295.1839075661787
2008-09,1140.8100007137534
2008-10,923.63810774415
2008-11,844.4346462408114
2008-12,686.1805425090719
2009-01,571.1167097610269
2009-02,496.5541213131126
2009-03,571.0674285672811
2009-04,621.8092607400905
2009-05,696.8979888652678
2009-06,757.352037605026
2009-07,757.0982667752291
2009-08,822.7620864412202
2009-09,791.7238171048475
2009-10,724.2890203410273
2009-11,653.7611211742027
2009-12,638.8714927426885
2010-01,602.9967845439036
2010-02,729.7550343648633
2010-03,756.2751596134635
2010-04,748.0437261783109
2010-05,679.62942828
2010-06,676.837043861048
2010-07,740.5875739965363
2010-08,785.0914181401391
2010-09,870.8615000794736
2010-10,902.994700581723
2010-11,875.7265011857376
2010-12,928.7761897510645
2011-01,922.2718771887913
2011-02,872.5621099398691
2011-03,841.8115229194585
2011-04,923.2718438103761
2011-05,856.4912786888598
2011-06,840.1514085645007
2011-07,801.4818970119709
2011-08,774.9006212627087
2011-09,772.6311550941357
2011-10,799.8755642273751
2011-11,786.2230287877563
2011-12,771.2017156599261
2012-01,762.4450781424945
2012-02,762.9159751153992
2012-03,785.3658130187496
2012-04,769.3652337076676
2012-05,739.7770359335955
2012-06,750.5000555544635
2012-07,720.3515737239079
2012-08,723.5404283760018
2012-09,771.8121234540647
2012-10,750.5901642220772
2012-11,800.2783344059892
2012-12,775.6566051289998
2013-01,806.1931517665338
2013-02,792.1079529824582
2013-03,776.7976887147986
2013-04,827.9617688916792
2013-05,842.915139919447
2013-06,789.2767627966206
2013-07,811.68636419321
2013-08,800.3917581750283
2013-09,842.0679687845517
2013-10,850.1120522361904
2013-11,828.3339311641889
2013-12,818.7967812833696
2014-01,826.2822598102365
2014-02,853.8145052700638
2014-03,914.6492317047081
2014-04,932.6773242726806
2014-05,942.1833370337308
2014-06,886.9469475007055
2014-07,908.06958702248
2014-08,918.5690939000344
2014-09,916.4223713275655
2014-10,881.0783233506025
2014-11,841.3604748143239
2014-12,786.9947136782456
2015-01,790.4400121005535
2015-02,825.0627853991246
2015-03,758.7564425738118
2015-04,789.8365580575323
2015-05,741.3527599285205
2015-06,748.7551619602542
2015-07,741.4783239561301
2015-08,677.0943698567402
2015-09,685.9548200697695
2015-10,678.9273375676677
2015-11,675.7516544941975
2015-12,659.2459806363075
2016-01,591.1867597837626
2016-02,619.345093461028
2016-03,646.697033473623
2016-04,656.0521137254711
2016-05,628.3580216342286
2016-06,605.3368342085424
2016-07,614.5530255008746
2016-08,602.7689465912895
2016-09,616.5361142488338
2016-10,627.8005517662125
2016-11,656.7218956233484
2016-12,683.6868337404685
2017-01,780.0890800668466
2017-02,756.8841193609063
2017-03,755.7450262589354
2017-04,741.855214
2017-05,745.879534
2017-06,746.409039
2017-07,799.243359
2017-08,860.693899
2017-09,875.002467
2017-10,844.670921
2017-11,800.515674
2017-12,811.826807
2018-01,845.641364
2018-02,855.344216
2018-03,877.475865
2018-04,851.4064399071308
2018-05,830.4413425364356
2018-06,870.9219830444337
2018-07,939.5610773482479
2018-08,933.0224899499481
2018-09,945.9984361784849
2018-10,925.4869073570319
2018-11,939.2799873506134
2018-12,937.0315792011457
2019-01,957.4476467765353
2019-02,964.0068657359061
2019-03,1057.6560764815167
2019-04,1094.9699000159262
2019-05,1142.4487401986332
2019-06,1168.400705075111
2019-07,1234.0288910564295
2019-08,1196.57221188928
2019-09,1123.5434635602808
2019-10,1136.4302849043418
2019-11,1187.905924436171
2019-12,1272.457049882
2020-01,1268.4236668528
2020-02,1205.722365057471
2020-03,931.3663714938612
2020-04,994.0436705139629
2020-05,1034.262857617628
2020-06,1075.8284164093882
2020-07,1041.2413678107812
2020-08,1123.944338946173
2020-09,1147.6216980378758
2020-10,1134.9362525081028
2020-11,1130.7555570082102
2020-12,1145.6101400277491
2021-01,1205.058380491365
2021-02,1163.619754094242
2021-03,1228.6732071593317
2021-04,1294.3387115734115
2021-05,1321.6558812993937
2021-06,1345.692369880509
2021-07,1411.642798346416
2021-08,1466.6487819177735
2021-09,1466.5541278076334
2021-10,1504.5209489619929
2021-11,1456.6643451954035
2021-12,1499.5668449767954
2022-01,1571.6170690366164
2022-02,1613.4027130131067
2022-03,1790.5459222258355
2022-04,1797.4734474148484
2022-05,1702.6754490810374
2022-06,1652.1375371000502
2022-07,1707.4981794197324
2022-08,1701.0534615816796
2022-09,1560.8364115680652
2022-10,1646.2285901518956
2022-11,1721.490651531991
2022-12,1650.548726514657
2023-01,1655.5462002494578
2023-02,1638.133760322192
2023-03,1588.7655505919204
2023-04,1631.8612634703484
2023-05,1519.06561027694
2023-06,1574.1708230628396
