Date,MSCI TRINIDAD AND TOBAGO
2008-11,991.0372976417881
2008-12,973.6750116522991
2009-01,1009.8758988381676
2009-02,1007.9069647795654
2009-03,1002.7723316573275
2009-04,990.4541897958395
2009-05,974.6289101635895
2009-06,973.4520647059154
2009-07,966.3958259745721
2009-08,970.8476344139979
2009-09,970.1997245111277
2009-10,954.2859611583539
2009-11,862.2821536883092
2009-12,881.2391767153016
2010-01,882.6187860843079
2010-02,884.7717773306932
2010-03,882.8007935852265
2010-04,883.8220552257159
2010-05,893.5646974125689
2010-06,892.1444345674802
2010-07,890.566643796644
2010-08,848.3900797174606
2010-09,832.7792399776495
2010-10,798.7600749900229
2010-11,811.012551603973
2010-12,818.1636641314637
2011-01,898.7371337198764
2011-02,912.4273876316998
2011-03,898.1359527193766
2011-04,913.2677681251822
2011-05,984.2421918018164
2011-06,1033.2312342100693
2011-07,1033.8205665871894
2011-08,993.0391164307888
2011-09,997.9989849550625
2011-10,1031.844552717453
2011-11,1063.4473821218387
2011-12,1072.1788733156047
2012-01,1006.4457125871387
2012-02,1032.443913256534
2012-03,1052.6254761284831
2012-04,1067.0581738406856
2012-05,1076.5215388196518
2012-06,1081.077446781452
2012-07,1086.464103376613
2012-08,1127.7770324726337
2012-09,1148.3811179138293
2012-10,1175.9068073859746
2012-11,1131.0719285767088
2012-12,1176.5974946076378
2013-01,1254.6621980645955
2013-02,1359.2444659449616
2013-03,1347.065843648775
2013-04,1345.9016163586284
2013-05,1364.8141697138262
2013-06,1367.0500482667153
2013-07,1366.4677674243821
2013-08,1325.2587800673502
2013-09,1326.8510358557567
2013-10,1359.518603167853
2013-11,1413.9062457838675
2013-12,1427.921257397594
2014-01,1501.033441743371
2014-02,1525.8147278605684
2014-03,1541.6876081815753
2014-04,1527.249809381932
2014-05,1567.5178022385562
2014-06,1541.703479581332
2014-07,1588.206997245488
2014-08,1582.532008303065
2014-09,1583.9707487698852
2014-10,1581.7376065248536
2014-11,1605.8250256215636
2014-12,1604.3504355507155
2015-01,1592.059412473334
2015-02,1578.406448981582
2015-03,1566.8598970242483
2015-04,1547.924004834553
2015-05,1568.1792852221338
2015-06,1565.9298508749248
2015-07,1569.0139034059432
2015-08,1538.2181079542743
2015-09,1552.4417808683345
2015-10,1554.2192923830676
2015-11,1536.865239223797
2015-12,1554.3442147280884
2016-01,1537.6086581765323
2016-02,1520.3460770872055
2016-03,1460.154132919768
2016-04,1420.9782138701946
2016-05,1345.1466714669434
2016-06,1458.8464127147765
2016-07,1530.7312463737076
2016-08,1546.0912972203225
2016-09,1540.8431929950025
2016-10,1457.9862258900152
2016-11,1489.5303688634854
2016-12,1453.3054638300632
2017-01,1437.447683478981
2017-02,1468.2539340389244
2017-03,1439.0310875427995
2017-04,1481.069274
2017-05,1428.836745
2017-06,1506.351217
2017-07,1637.942486
2017-08,1585.870712
2017-09,1616.885592
2017-10,1653.879409
2017-11,1745.09614
2017-12,1859.999972
2018-01,1886.779306
2018-02,1908.246239
2018-03,1976.915642
2018-04,2027.7674467435909
2018-05,2121.58843135789
2018-06,2171.474419196809
2018-07,2167.14098087608
2018-08,2190.1588885343344
2018-09,2148.190942359725
2018-10,2185.2198497397962
2018-11,2152.3047365816356
2018-12,2144.3182723790515
2019-01,2157.4346150633805
2019-02,2222.368477208738
2019-03,2241.4923440440707
2019-04,2255.613581049683
2019-05,2164.8824922276253
2019-06,2180.0135685337145
2019-07,2158.8086547688836
2019-08,1950.5588935365447
2019-09,1948.9177723290607
2019-10,2005.708770706587
2019-11,1635.6461285155412
2019-12,1862.8480444438267
2020-01,1628.64386960929
2020-02,1613.636453448394
2020-03,1550.4819934842378
2020-04,1335.8555337303574
2020-05,1280.732787603204
2020-06,1386.2366616324878
2020-07,1351.5422774148801
2020-08,1308.892871036818
2020-09,1251.8724995287682
2020-10,1181.478133159847
2020-11,1187.3380111681977
2020-12,1345.7216064083002
2021-01,1212.9251318671036
2021-02,1200.5365079023695
2021-03,1177.5530842308115
2021-04,1052.5481519723148
2021-05,1478.3005888110115
2021-06,1389.9365610513933
2021-07,1386.992405059813
2021-08,1421.555402987101
2021-09,1361.3876753983784
2021-10,1478.3473191617832
2021-11,1497.2023788215813
2021-12,1583.1313198763874
2022-01,1543.380634113228
2022-02,1597.8274490038689
2022-03,1518.9425938219117
2022-04,1563.6055985489572
2022-05,1571.7936394574715
2022-06,1547.9763946808584
2022-07,1589.2969554398583
2022-08,1605.7173578682623
2022-09,1566.9089226348906
2022-10,1585.0639709578702
2022-11,1552.1948669294263
2022-12,1678.314969631152
2023-01,1566.3946859911603
2023-02,1545.6903042509193
2023-03,1498.3372877867155
2023-04,1513.2382689612793
2023-05,1605.4147797490727
2023-06,1545.3500165849202
