Date,MSCI POLAND
1992-12,100.0
1993-01,102.3243
1993-02,102.93579999999999
1993-03,120.36130000000001
1993-04,168.02445379379074
1993-05,365.1005061752959
1993-06,320.2385247438941
1993-07,363.22457465596426
1993-08,483.9562808732181
1993-09,494.85408515798974
1993-10,600.1593102945991
1993-11,663.432153959263
1993-12,853.9680100586569
1994-01,1077.2009166660905
1994-02,1280.4483516159646
1994-03,889.679058769814
1994-04,672.5563999611761
1994-05,684.8672634365955
1994-06,493.5594610508862
1994-07,601.8918904905878
1994-08,623.2981371207662
1994-09,510.8916929265312
1994-10,420.18482894597975
1994-11,434.95128213942814
1994-12,386.7399284499303
1995-01,316.0517040982281
1995-02,332.9625667608325
1995-03,325.1799617160242
1995-04,455.92831145679907
1995-05,413.9095227264071
1995-06,445.3042553596292
1995-07,426.2078828397679
1995-08,409.3847751826102
1995-09,438.27539628891395
1995-10,393.58364814365774
1995-11,385.1017244828174
1995-12,375.9556769362619
1996-01,499.1485263487941
1996-02,503.2010962013749
1996-03,498.5230737541057
1996-04,523.1947393193902
1996-05,497.54631519222823
1996-06,571.6002369445988
1996-07,545.4404904372645
1996-08,592.4810312353196
1996-09,616.8573433714257
1996-10,559.144541641621
1996-11,578.6151822982825
1996-12,597.2384693954158
1997-01,651.5386130340147
1997-02,694.5377054458146
1997-03,640.8070396152655
1997-04,602.1380405809037
1997-05,582.7231297367357
1997-06,549.024494552028
1997-07,514.7288572058577
1997-08,568.9521701960732
1997-09,596.9987672786025
1997-10,504.2690677774913
1997-11,450.57120201923584
1997-12,463.49020335363014
1998-01,456.4819738988996
1998-02,583.423185250296
1998-03,549.9472721605803
1998-04,604.1690367014875
1998-05,530.5127344475123
1998-06,535.0530856191042
1998-07,579.4638872920451
1998-08,377.6891011562916
1998-09,392.7481202860208
1998-10,428.6786723364833
1998-11,401.24416545172545
1998-12,432.4848963764141
1999-01,506.7696288764936
1999-02,406.05014201741864
1999-03,442.4597646061571
1999-04,498.5265612383985
1999-05,502.52163243648766
1999-06,565.9469485757555
1999-07,580.8796357918123
1999-08,567.567900112608
1999-09,445.9521278439939
1999-10,460.275667146146
1999-11,477.9330318150242
1999-12,568.7320533614361
2000-01,590.386813635673
2000-02,679.4237145284587
2000-03,676.695711257579
2000-04,571.7807460072983
2000-05,570.0043372167513
2000-06,577.3278737455385
2000-07,551.7438758822407
2000-08,524.1163955368299
2000-09,462.77619754870454
2000-10,412.3421366888348
2000-11,452.29722955033634
2000-12,545.7800588611536
2001-01,539.1329992984132
2001-02,475.11408556524424
2001-03,442.8450716605495
2001-04,464.8168076191963
2001-05,474.33276967059123
2001-06,409.54034006299713
2001-07,363.47016838423224
2001-08,346.5283876504086
2001-09,311.96568167386516
2001-10,390.9045866051991
2001-11,399.710830447354
2001-12,396.01678520766797
2002-01,447.1503558614471
2002-02,414.24104814136666
2002-03,410.0389932148535
2002-04,425.46188352087745
2002-05,437.533851145388
2002-06,376.9575401973952
