Date,Price
1987-12,100.0
1988-01,120.3684
1988-02,147.08
1988-03,141.1741
1988-04,172.9655
1988-05,187.8743
1988-06,200.7007
1988-07,260.0133
1988-08,323.1477
1988-09,354.6772
1988-10,269.3186
1988-11,289.2416
1988-12,219.654
1989-01,260.436
1989-02,295.9572
1989-03,312.4742
1989-04,347.9691
1989-05,432.2568
1989-06,418.2769
1989-07,407.9229
1989-08,423.157
1989-09,443.0854
1989-10,435.495
1989-11,384.7098
1989-12,406.0923
1990-01,531.1326
1990-02,499.0249
1990-03,437.3916
1990-04,386.9311
1990-05,302.0685
1990-06,223.1654
1990-07,233.5388
1990-08,154.9154
1990-09,117.4019
1990-10,142.0962
1990-11,177.6683
1990-12,181.9961
1991-01,162.0122
1991-02,204.0507
1991-03,211.8335
1991-04,248.6263
1991-05,238.0491
1991-06,249.4134
1991-07,217.566
1991-08,194.586
1991-09,212.4311
1991-10,196.0837
1991-11,198.6868
1991-12,205.0814
1992-01,244.713
1992-02,226.5832
1992-03,214.4486
1992-04,203.7531
1992-05,206.5963
1992-06,208.1829
1992-07,188.778
1992-08,177.4238
1992-09,166.3593
1992-10,169.0562
1992-11,171.4067
1992-12,156.5608
1993-01,152.3505
1993-02,201.0535
1993-03,217.371
1993-04,206.6452
1993-05,192.5885
1993-06,179.1252
1993-07,175.7345
1993-08,172.0929
1993-09,169.2795
1993-10,181.1303
1993-11,197.3749
1993-12,289.0288
1994-01,289.5331
1994-02,253.6432
1994-03,248.0081
1994-04,271.1753
1994-05,273.1011
1994-06,279.1356
1994-07,319.9226
1994-08,333.7845
1994-09,344.4346
1994-10,318.1602
1994-11,309.659
1994-12,349.077
1995-01,306.26114566342414
1995-02,315.72620327359925
1995-03,318.1228564057868
1995-04,290.4950111833711
1995-05,283.4479546853977
1995-06,269.25629683236195
1995-07,254.94145070983774
1995-08,230.35227427092963
1995-09,241.942573552276
1995-10,232.27716213008682
1995-11,228.45815921363769
1995-12,246.72165955006497
1996-01,229.0134988849277
1996-02,233.27569814479344
1996-03,246.04496402534957
1996-04,307.544327804789
1996-05,297.43778490610293
1996-06,338.066940412657
1996-07,311.0670655423347
1996-08,324.06718273717746
1996-09,331.774004915724
1996-10,321.2878176123115
1996-11,340.1743348651621
1996-12,346.14944707922325
1997-01,360.95353098392104
1997-02,382.90858038407515
1997-03,379.06173644345074
1997-04,403.18104256829
1997-05,387.0260521645577
1997-06,439.61911369478827
1997-07,476.58493717432054
1997-08,456.9823876085322
1997-09,403.0848439348646
1997-10,315.47539998829774
1997-11,318.44688957636015
1997-12,324.3709383874243
1998-01,306.88909962041527
1998-02,372.1137863866445
1998-03,352.24416777561
1998-04,319.04703631357364
1998-05,289.010797688366
1998-06,271.0381876929386
1998-07,266.5132221106341
1998-08,221.4241651798277
1998-09,240.13233514445454
1998-10,270.98385988950326
1998-11,288.52062043071
1998-12,257.42672732656337
1999-01,249.8198731535574
1999-02,261.8123176499762
1999-03,287.1983473664165
1999-04,312.25918956728975
1999-05,299.2708348746248
1999-06,366.2094380125896
1999-07,322.2510744481041
1999-08,361.9311042967089
1999-09,338.07525987398657
1999-10,349.76601237543855
1999-11,353.33862092478233
1999-12,393.12546947532263
2000-01,457.4034229774674
2000-02,437.87313051717285
2000-03,454.88080081232494
2000-04,402.85676623166563
2000-05,411.1803295640778
2000-06,382.3497568685132
2000-07,373.26038808720557
2000-08,349.7594489045101
2000-09,293.52714289049607
2000-10,255.4687395164793
2000-11,235.77435579218977
2000-12,216.62063060668598
2001-01,279.97279754221444
2001-02,259.6798784961727
2001-03,255.68096583244838
2001-04,237.62917260866806
2001-05,221.3040549006506
2001-06,214.71428935979947
2001-07,192.4310845709027
2001-08,199.52998246702538
2001-09,156.28254556179368
2001-10,172.8225519530053
2001-11,196.50917460018144
2001-12,239.30533477474665
2002-01,250.48187869696648
2002-02,238.58628779788796
2002-03,259.98098193479365
2002-04,254.34872422012393
2002-05,244.26728925765113
2002-06,223.84187278083607
2002-07,210.1065939220992
2002-08,199.89896803249428
2002-09,169.68449764144046
2002-10,188.40650909155727
2002-11,192.3775400433898
2002-12,180.78817642369071
2003-01,202.74103947101847
2003-02,178.32021598677647
2003-03,175.694215568361
2003-04,170.8205693450229
2003-05,188.6679038615082
2003-06,203.00721287481124
2003-07,228.19147434256234
2003-08,248.57067092384557
2003-09,250.0835592809134
2003-10,267.2495348666153
2003-11,251.61156942415317
2003-12,257.7114208345279
2004-01,280.2813681444583
2004-02,291.3461681098175
2004-03,283.88405711750727
2004-04,264.8245733046543
2004-05,257.75527068510075
2004-06,250.7326957321476
2004-07,232.00081373543233
2004-08,249.47790580312486
2004-09,249.76376431022115
2004-10,249.09837736176482
2004-11,265.0055024121739
2004-12,283.03302498339434
2005-01,274.4007236220683
2005-02,290.6827964788645
2005-03,273.4488652587868
2005-04,269.7929106603628
2005-05,280.82137326126684
2005-06,289.5598630506153
2005-07,294.409385705182
2005-08,276.81284707836693
2005-09,279.3012801341402
2005-10,259.9707981970196
2005-11,283.2681597568731
2005-12,303.5662173243872
2006-01,312.8718690376496
2006-02,311.1378621682974
2006-03,311.520644376549
2006-04,342.75308638910786
2006-05,319.8291994177208
2006-06,314.28275455275514
2006-07,300.9128900671457
2006-08,311.9776766253284
2006-09,324.97939389083996
2006-10,327.7161202442205
2006-11,362.0072226424376
2006-12,367.0176314323798
2007-01,356.9509005987224
2007-02,363.2499730266464
2007-03,355.24715254709355
2007-04,354.4454463364993
2007-05,368.34827996746026
2007-06,405.6179540462711
2007-07,420.09487310558364
