Date,MSCI CHINA A ONSHORE + B + H
2004-11,1000.0
2004-12,947.1125523206439
2005-01,917.7690377329919
2005-02,999.9626391049969
2005-03,916.7253775228396
2005-04,908.662282225383
2005-05,863.5974853460933
2005-06,894.5313550145519
2005-07,943.8850442249666
2005-08,960.1828744244349
2005-09,972.0668171005944
2005-10,902.1680148408745
2005-11,924.8885638625683
2005-12,982.5993922614228
2006-01,1106.9338720799656
2006-02,1157.8316531424255
2006-03,1182.9192292357861
2006-04,1270.8145175492543
2006-05,1364.8250200770144
2006-06,1393.629541766886
2006-07,1351.5453409791337
2006-08,1379.6577771032114
2006-09,1444.7558221166587
2006-10,1520.5980399547389
2006-11,1760.1264928678604
2006-12,2104.2180008184764
2007-01,2211.2444907586673
2007-02,2279.1332493918753
2007-03,2448.020672146819
2007-04,2926.245896306458
2007-05,3232.7432799061307
2007-06,3268.5144181890896
2007-07,3800.084297268671
2007-08,4321.887908699428
2007-09,4759.196629815256
2007-10,5081.214811482524
2007-11,4284.5724355802395
2007-12,4591.114507645426
2008-01,3924.2536993255826
2008-02,4142.753132323764
2008-03,3445.6330809042734
2008-04,3723.64216690376
2008-05,3502.255661753652
2008-06,2870.0667126333683
2008-07,2963.2299069245037
2008-08,2589.714991098198
2008-09,2270.959191900508
2008-10,1688.1905757972033
2008-11,1862.8268939852076
2008-12,1923.1823223062854
2009-01,1996.8028570441913
2009-02,2056.855016048412
2009-03,2405.4194061384815
2009-04,2587.893054734112
2009-05,2811.155842347873
2009-06,3122.0690148326885
2009-07,3600.259193859582
2009-08,2951.641387464428
2009-09,3121.501393747934
2009-10,3390.550634256882
2009-11,3588.9839648232883
2009-12,3610.3587161498263
2010-01,3267.2523019449736
2010-02,3337.879736281163
2010-03,3449.7461660815534
2010-04,3250.8093475588644
2010-05,2999.827501251469
2010-06,2854.311442088686
2010-07,3143.336596818638
2010-08,3162.320539535214
2010-09,3325.0951352549077
2010-10,3707.492062289435
2010-11,3551.027586911549
2010-12,3543.01703918902
2011-01,3451.3497518797258
2011-02,3610.17931796143
2011-03,3657.44245854594
2011-04,3646.3596188459906
2011-05,3488.5414569432937
2011-06,3516.020824905433
2011-07,3473.169016992855
2011-08,3269.43148425707
2011-09,2857.2359048922394
2011-10,3090.2212983283334
2011-11,2866.971310890342
2011-12,2757.191565874773
2012-01,2941.2105737314337
2012-02,3153.0217911233035
2012-03,2905.7914248194943
2012-04,3072.5494879998737
2012-05,2973.603075472489
2012-06,2870.5672480060734
2012-07,2765.137038411666
2012-08,2645.749777328335
2012-09,2786.321032215663
2012-10,2838.9666053043684
2012-11,2737.34869398662
2012-12,3119.7091006073306
2013-01,3321.234717214268
2013-02,3264.5905106609184
2013-03,3078.6070873356634
2013-04,3056.320147343747
2013-05,3205.886107782108
2013-06,2795.2406613762782
2013-07,2860.868990995961
2013-08,2992.421710363441
2013-09,3130.990942185398
2013-10,3123.926051591
2013-11,3264.096373229364
2013-12,3126.6340479891087
2014-01,2940.8647078255867
2014-02,2903.603278932192
2014-03,2859.0817547514107
2014-04,2821.0213837970323
2014-05,2878.520182877071
2014-06,2951.21681921113
2014-07,3242.1457941614517
2014-08,3236.3612548685287
2014-09,3306.5712563308684
2014-10,3413.5270909836704
2014-11,3687.0685801291847
2014-12,4292.876970942732
2015-01,4208.749890626359
2015-02,4379.379596217324
2015-03,4928.032178051982
2015-04,5786.743006332565
2015-05,5979.997812532242
2015-06,5520.373791032911
2015-07,4726.835144708636
2015-08,4064.2484798102937
2015-09,3878.5210233223975
2015-10,4327.432863924214
2015-11,4277.555760079557
2015-12,4365.282421997292
2016-01,3358.479687363226
2016-02,3292.4352410149563
2016-03,3752.5768924184335
2016-04,3669.862569590056
2016-05,3598.923371652358
2016-06,3646.0076531688255
2016-07,3721.965256544241
2016-08,3878.7296141092543
2016-09,3820.4784244337225
2016-10,3839.2904706936483
2016-11,3945.9973706900178
2016-12,3704.0512963042306
2017-01,3802.7851761740612
2017-02,3923.163569281536
2017-03,3899.5343982002746
2017-04,3847.218277
2017-05,3876.061252
2017-06,4072.491556
2017-07,4237.472669
2017-08,4417.394252
2017-09,4412.889631
2017-10,4564.216826
2017-11,4457.606314
2017-12,4536.031817
2018-01,4944.510227
2018-02,4598.597406
2018-03,4493.07914
2018-04,4320.9966332511085
2018-05,4254.942290338141
2018-06,3822.483591525373
2018-07,3773.1092903558792
2018-08,3571.900677025782
2018-09,3639.0326319229566
2018-10,3287.7346775842175
2018-11,3376.8488678572794
2018-12,3244.145755446599
2019-01,3529.0148484338756
2019-02,3963.863679867895
2019-03,4130.42442281102
2019-04,4155.181150005045
2019-05,3786.4262637911193
2019-06,4007.126767481515
2019-07,4004.971131136202
2019-08,3826.975553703944
2019-09,3862.2825833241054
2019-10,3973.32256009706
2019-11,3928.4807034107366
2019-12,4255.816836432889
2020-01,4162.726930305678
2020-02,4127.284228375369
2020-03,3801.699326324419
2020-04,4045.489072046968
2020-05,3956.663753714838
2020-06,4298.31184931971
2020-07,4872.957402585217
2020-08,5036.938912903525
2020-09,4792.065427594421
2020-10,4959.6034206549675
2020-11,5338.921072393039
2020-12,5642.395138298225
2021-01,5835.353574533328
2021-02,5819.411356960624
2021-03,5505.123409524242
2021-04,5686.069697640626
2021-05,6034.201526889193
2021-06,5920.845993269706
2021-07,5622.4153284624135
2021-08,5693.607119668143
2021-09,5677.419170058155
2021-10,5788.9426266067085
2021-11,5786.282381518671
2021-12,5835.4002259203035
2022-01,5396.734574455912
2022-02,5526.788688119064
2022-03,5069.55442208003
2022-04,4589.871339343967
2022-05,4721.707524204791
2022-06,5151.527488569856
2022-07,4834.964647215051
2022-08,4629.402398561338
2022-09,4176.908308416461
2022-10,3822.718964294069
2022-11,4297.490721365063
2022-12,4379.572135522122
2023-01,4828.395623602497
2023-02,4616.020724167498
2023-03,4637.580146731005
2023-04,4577.368465508872
2023-05,4248.185671900064
2023-06,4237.366724504623
