Date,CHINA A 50
2004-11,1000.0
2004-12,957.2663121555829
2005-01,928.4926038844137
2005-02,999.4559211737476
2005-03,921.5137236349718
2005-04,918.5481534135893
2005-05,836.6817467898388
2005-06,875.5577990405047
2005-07,935.8917071442809
2005-08,967.2667774679574
2005-09,938.9574289218683
2005-10,905.278030461826
2005-11,908.3441932529978
2005-12,967.7233417198019
2006-01,1042.1431041897094
2006-02,1097.6399084213165
2006-03,1096.6482128832984
2006-04,1210.3581238946158
2006-05,1369.592261059849
2006-06,1411.683852159011
2006-07,1309.7312117206118
2006-08,1367.5602257481269
2006-09,1460.3359820865537
2006-10,1579.0270351650772
2006-11,1939.5398565127416
2006-12,2442.9327155651026
2007-01,2740.0989472046494
2007-02,2772.028820748287
2007-03,2991.8882865341016
2007-04,3522.780223675642
2007-05,3990.6675134748743
2007-06,3992.6520463627385
2007-07,4778.041758014134
2007-08,5689.484163432571
2007-09,5890.933836906197
2007-10,6458.305630826002
2007-11,5346.559301726366
2007-12,5854.863905852017
2008-01,5067.8628395969645
2008-02,5039.051968010911
2008-03,4240.875591390522
2008-04,4578.660374480855
2008-05,4127.46078478809
2008-06,3301.8619287926163
2008-07,3337.7028974386044
2008-08,2973.6343004758064
2008-09,2720.4524914216945
2008-10,2044.8991182294385
2008-11,2224.5424876081397
2008-12,2187.7251194576884
2009-01,2366.7962165707427
2009-02,2458.248422183685
2009-03,2798.9169758808375
2009-04,2935.452574842333
2009-05,3076.4607627137207
2009-06,3684.971165162945
2009-07,4297.537327287913
2009-08,3183.4962430242444
2009-09,3435.116489019021
2009-10,3711.5878982261706
2009-11,3890.380453725694
2009-12,3976.351437011727
2010-01,3485.054737883714
2010-02,3536.6774507677933
2010-03,3644.1732892035525
2010-04,3299.9669066043416
2010-05,2991.1603551681446
2010-06,2864.15936255918
2010-07,3166.135681666321
2010-08,3111.5971281337665
2010-09,3154.304119859284
2010-10,3586.7864425110815
2010-11,3277.9610510613984
2010-12,3265.704534492116
2011-01,3224.016594544203
2011-02,3371.3526512789695
2011-03,3445.855432271878
2011-04,3527.950031501352
2011-05,3385.5737397540834
2011-06,3435.393343312516
2011-07,3348.928448216655
2011-08,3285.0029826030386
2011-09,3012.544769887707
2011-10,3190.559811503901
2011-11,2971.5380963992193
2011-12,2934.6357507148227
2012-01,3111.7189158658007
2012-02,3281.4643459405816
2012-03,3098.8288872160347
2012-04,3298.969802332048
2012-05,3250.662541669547
2012-06,3144.6698208091443
2012-07,3025.5970583983058
2012-08,2858.681328119526
2012-09,3009.347061498358
2012-10,2995.737706867561
2012-11,2911.7175636839715
2012-12,3442.0066218236843
2013-01,3707.309928216611
2013-02,3643.6084854405467
2013-03,3363.2432188108164
2013-04,3325.4797080752505
2013-05,3503.1694938673068
2013-06,3032.737773286466
2013-07,2999.8205016314178
2013-08,3167.151821203367
2013-09,3304.208097332089
2013-10,3297.3337141432517
2013-11,3346.1194208656443
2013-12,3187.899211768625
2014-01,2991.471939343723
2014-02,2896.676800470831
2014-03,2871.2218483146794
2014-04,2908.030200573051
2014-05,2918.512860313474
2014-06,2973.6383968397795
2014-07,3335.1826692637055
2014-08,3258.1008188557353
2014-09,3299.416797287233
2014-10,3375.525137265047
2014-11,3804.457328974349
2014-12,5078.112412302303
2015-01,4695.169882293734
2015-02,4774.004772548297
2015-03,5365.345995873241
2015-04,6341.505642125653
2015-05,6134.237326104254
2015-06,5759.800121243145
2015-07,4986.84416663455
2015-08,4386.096797903135
2015-09,4255.514085883537
2015-10,4605.552074507372
2015-11,4599.0129308791165
2015-12,4814.986180660916
2016-01,3964.619061373505
2016-02,3918.0537890060223
2016-03,4330.0603712528955
2016-04,4294.306591768189
2016-05,4276.089738453915
2016-06,4236.6315113258315
2016-07,4325.017072512698
2016-08,4521.127521185114
2016-09,4475.336062907105
2016-10,4517.139197637361
2016-11,4776.661299159672
2016-12,4438.367036219187
2017-01,4645.793866173769
2017-02,4687.9176032515625
2017-03,4712.1884046579025
2017-04,4704.23053
2017-05,5071.003709
2017-06,5434.251305
2017-07,5634.722122
2017-08,5896.782518
2017-09,5880.935348
2017-10,6337.712831
2017-11,6494.50253
2017-12,6684.053623
2018-01,7586.69828
2018-02,6970.473165
2018-03,6708.492914533468
2018-04,6424.171195566343
2018-05,6381.206493177618
2018-06,5833.839177647155
2018-07,5758.4804237476055
2018-08,5550.763655082933
2018-09,5775.225063007333
2018-10,5284.887192037977
2018-11,5311.104601216087
2018-12,5091.61305642603
2019-01,5740.647979369356
2019-02,6379.011526437267
2019-03,6646.857930624986
2019-04,6914.6962306065925
2019-05,6317.952911209803
2019-06,6861.047877806686
2019-07,6946.357597637008
2019-08,6647.804366683254
2019-09,6689.581614192266
2019-10,6941.230363423918
2019-11,6821.873222883728
2019-12,7328.38802156305
2020-01,7074.7465607853965
2020-02,6807.054574934932
2020-03,6292.947674279717
2020-04,6778.456463588766
2020-05,6637.275625047563
2020-06,7229.140760474866
2020-07,8191.439680391299
2020-08,8645.611178178617
