Date,MSCI NORWAY
1993-12,1740.6935602138012
1994-01,1969.021676540103
1994-02,2030.2769758551485
1994-03,1881.783317878261
1994-04,1890.8271362180717
1994-05,1915.3995981221437
1994-06,1826.7168719626545
1994-07,2053.744439955814
1994-08,2056.5661548837224
1994-09,1932.3918346823364
1994-10,2042.4282266151101
1994-11,2008.203280009237
1994-12,2159.653526602588
1995-01,2179.9762293900676
1995-02,2101.257837856352
1995-03,2071.951482409148
1995-04,2246.1837284630337
1995-05,2211.995715600083
1995-06,2319.5294956399916
1995-07,2425.099667106354
1995-08,2285.914883656025
1995-09,2368.415369372001
1995-10,2254.0169238673775
1995-11,2242.182699953848
1995-12,2300.197906965498
1996-01,2258.1977823261827
1996-02,2331.817654680079
1996-03,2376.659316995846
1996-04,2520.502877301514
1996-05,2550.573657319619
1996-06,2556.5947635613347
1996-07,2438.379258955996
1996-08,2504.1300759508867
1996-09,2519.3898882157573
1996-10,2614.3892590811015
1996-11,2805.4452981795193
1996-12,2972.9815559465214
1997-01,3130.219860462952
1997-02,2987.070838363614
1997-03,3077.538950937988
1997-04,2939.0008178459825
1997-05,3061.4300513222597
1997-06,3146.4189060118515
1997-07,3192.6757622566365
1997-08,3208.1278400829447
1997-09,3560.3216343228046
1997-10,3453.575840005446
1997-11,3219.115253486984
1997-12,3173.361683303986
1998-01,2927.7424505604704
1998-02,3002.46078003005
1998-03,3254.8722488202716
1998-04,3433.2238296684354
1998-05,3160.178060476313
1998-06,3052.7720264360496
1998-07,3100.897743265763
1998-08,2240.68868317882
1998-09,2153.3380115125083
1998-10,2516.473702105186
1998-11,2346.7778785274904
1998-12,2231.9188883214997
1999-01,2464.519029984452
1999-02,2240.5071090231395
1999-03,2461.692021046981
1999-04,2659.6116792052408
1999-05,2512.687372121342
1999-06,2470.4340146970862
1999-07,2578.048353721028
1999-08,2682.634762306715
1999-09,2742.027776691434
1999-10,2609.8144763644327
1999-11,2676.041330616184
1999-12,2955.723743447653
2000-01,2720.6505853248414
2000-02,2725.6154554551067
2000-03,2748.81782710419
2000-04,2587.7885392790454
2000-05,2695.6262453685827
2000-06,2919.9530323179683
2000-07,2890.688634314594
2000-08,3065.2415120607307
2000-09,3003.370518745608
2000-10,2924.196632267624
2000-11,2819.16957656144
2000-12,2944.55363593324
2001-01,2996.610699490946
2001-02,2947.351654436054
2001-03,2714.255745249899
2001-04,2923.47872983897
2001-05,2909.6687376829045
2001-06,2808.2400417841513
2001-07,2781.2238734103366
2001-08,2740.9152112632833
2001-09,2334.9457874346094
2001-10,2366.9610943251
2001-11,2481.350924567372
2001-12,2600.2048839315635
2002-01,2500.850355451052
2002-02,2596.2263968322204
2002-03,2817.958163052596
2002-04,2840.0556449365813
2002-05,2919.8399799242443
2002-06,2836.5060883717592
2002-07,2550.162518873433
2002-08,2503.2504388917787
2002-09,2180.6806528463694
2002-10,2290.0160233527185
2002-11,2483.5142623884885
2002-12,2426.8408496922916
2003-01,2289.087401025605
2003-02,2062.765639132842
2003-03,2075.1020706974773
2003-04,2410.5681387118907
2003-05,2675.0712707589505
2003-06,2674.46827476392
2003-07,2843.2675489602902
2003-08,2893.558829676359
2003-09,2866.8310640003097
2003-10,3230.402212184239
2003-11,3378.807937874681
2003-12,3629.4563975783676
2004-01,3657.5998617369487
2004-02,4033.4152594208167
2004-03,3992.335941389982
2004-04,3879.2446657704204
2004-05,4109.611255686952
2004-06,4263.115503810826
2004-07,4178.306390898661
2004-08,4281.750785755395
2004-09,4776.248494703891
2004-10,4892.573383463594
2004-11,5566.700620811302
2004-12,5607.397766466461
2005-01,5435.394248911314
2005-02,6070.2273544646405
2005-03,5874.132098868648
2005-04,5644.171713366971
