Date,MSCI EMU
1987-12,10000
1988-01,9297.69983223342
1988-02,10735.77894871953
1988-03,10733.159702792009
1988-04,10831.927204205398
1988-05,10801.645291808207
1988-06,11320.187452461096
1988-07,11870.819487165925
1988-08,11809.187214623229
1988-09,12444.230983464417
1988-10,13374.659021097048
1988-11,12976.738640886153
1988-12,13244.295939801774
1989-01,13580.918344024481
1989-02,13602.725154468917
1989-03,13798.149394636412
1989-04,14430.174828287534
1989-05,14479.523407890772
1989-06,15444.746446725883
1989-07,16166.945781569242
1989-08,16378.773032041143
1989-09,17309.11684035737
1989-10,15858.523798105234
1989-11,16610.28771746594
1989-12,17915.922993145654
1990-01,17192.699760223266
1990-02,16529.368859075195
1990-03,17749.490792099372
1990-04,17422.95026527333
1990-05,17613.114413094212
1990-06,18121.913049903316
1990-07,18331.94277873651
1990-08,15277.319929387344
1990-09,13264.978574091214
1990-10,14151.21483929072
1990-11,13735.66485682372
1990-12,13585.308115648904
1991-01,13904.137227265124
1991-02,14994.894177574664
1991-03,14968.84166590342
1991-04,15710.421162435965
1991-05,16588.227942282992
1991-06,15696.24433016307
1991-07,16263.002024913429
1991-08,16196.420678006309
1991-09,16260.429678202794
1991-10,15937.253284447668
1991-11,15353.994253907344
1991-12,15964.123359153593
1992-01,16194.651295497455
1992-02,16930.81680291983
1992-03,16942.843113265728
1992-04,17095.428604365996
1992-05,17640.023700295264
1992-06,17032.9378842379
1992-07,15506.52120082664
1992-08,15129.157918600262
1992-09,15105.135016053604
1992-10,14869.533532316724
1992-11,15676.032883998865
1992-12,15718.099893249615
1993-01,16406.613614287853
1993-02,17606.67230481617
1993-03,18318.330498038624
1993-04,17871.15145168561
1993-05,17844.541589822362
1993-06,18047.032646019674
1993-07,18997.53718112971
1993-08,21195.524720647027
1993-09,20241.03174558508
1993-10,21226.08377552714
1993-11,20950.093184204306
1993-12,22471.492967122762
1994-01,23618.17483968112
1994-02,23060.42888420902
1994-03,22613.928619600152
1994-04,23953.266509302804
1994-05,22360.566466876255
1994-06,21507.136118003367
1994-07,22223.796833977176
1994-08,22677.953134761596
1994-09,21423.479606505243
1994-10,21805.536456661444
1994-11,21274.02662710864
1994-12,21820.601039745896
1995-01,21287.57743244467
1995-02,21659.397274791037
1995-03,21459.08102597686
1995-04,21948.52268743848
1995-05,22592.08315889879
1995-06,22603.24298573292
1995-07,23624.54044808042
1995-08,23088.931598093488
1995-09,23614.570782315233
1995-10,22925.35501642477
1995-11,23089.6594801886
1995-12,24379.14007291405
1996-01,25462.062102399592
1996-02,25943.41620704985
1996-03,26100.567033273954
1996-04,26650.827917742365
1996-05,27310.702271808943
1996-06,27462.3035035046
1996-07,26486.395458998566
1996-08,26476.873615632412
1996-09,27519.404215904207
1996-10,27904.22588965737
1996-11,29069.376296359645
1996-12,30221.38886913577
1997-01,31530.453337600804
1997-02,33081.710613262876
1997-03,34830.98876264713
1997-04,34420.46336108475
1997-05,35355.41154995884
1997-06,38115.452782340784
1997-07,41316.35030815068
1997-08,39245.85155515278
1997-09,42050.20312474045
1997-10,38737.9527060252
1997-11,38704.95670810676
1997-12,41213.22587038162
1998-01,43960.43222574825
1998-02,47437.262582267904
1998-03,52050.77797710868
1998-04,53463.2389722359
1998-05,55265.21050378716
1998-06,56440.32706309822
1998-07,58484.15743713664
1998-08,49874.05474137207
1998-09,45759.51165178041
1998-10,47550.72399499926
1998-11,51874.46032747158
1998-12,54481.786806221295
1999-01,55923.68657152193
1999-02,55023.23213746186
1999-03,56602.666661451134
1999-04,58962.158547178886
1999-05,57090.76730485397
1999-06,59391.87268645148
1999-07,57197.676980068776
1999-08,59121.56953270388
1999-09,58340.45933827433
1999-10,62013.12554117835
1999-11,66551.4379652949
1999-12,76028.25046272059
2000-01,73275.38104016609
2000-02,80599.68733481663
2000-03,81754.45083750736
2000-04,81779.39429880738
2000-05,79730.23752715524
2000-06,79860.71189590174
2000-07,80129.17207676773
2000-08,81162.72194453525
2000-09,78382.1950329811
2000-10,80624.47814294348
2000-11,75369.53983752633
2000-12,75195.79204838665
2001-01,75717.97191119245
2001-02,68596.69586829712
2001-03,66406.49251622743
2001-04,71479.25118591906
2001-05,70094.21259630907
2001-06,67430.2826997274
2001-07,65624.0648537853
2001-08,60399.53042919998
2001-09,52938.57453714137
2001-10,55828.84785095297
2001-11,59553.457839249895
2001-12,61821.919657324215
2002-01,59566.23674346604
2002-02,59156.88663709586
2002-03,62123.76801453667
2002-04,59254.75306755232
2002-05,56805.14003946222
2002-06,51948.223982907504
2002-07,45473.47556823269
2002-08,45653.5294044207
2002-09,37837.60413978735
2002-10,42710.16565069509
2002-11,45228.03916287645
2002-12,40786.96595364207
2003-01,38260.041505191024
2003-02,36789.11373947331
2003-03,35304.308868018896
2003-04,40225.910727071765
2003-05,40585.018767734946
2003-06,42614.58749474163
2003-07,44119.51416026798
2003-08,45717.483452884095
2003-09,42988.26247842833
2003-10,46309.17523461485
2003-11,47209.3426754328
2003-12,48810.34143333617
2004-01,50650.455347857256
2004-02,51478.196425508526
2004-03,50265.31030835194
2004-04,50792.708449678095
2004-05,50549.149660005445
2004-06,51988.08748815295
2004-07,50481.91126546372
2004-08,50065.217313164016
2004-09,51056.48293438962
2004-10,52325.412816985336
2004-11,53899.53960599423
2004-12,55321.64624519066
2005-01,56563.34835394276
2005-02,58247.22871565323
2005-03,58128.75683404396
2005-04,55958.79957688424
2005-05,59592.28374134816
2005-06,61825.646835491534
2005-07,64778.77107628202
2005-08,64452.34377014988
2005-09,67035.39791802315
2005-10,64520.043518180726
2005-11,67466.97935979799
2005-12,69992.36067883005
2006-01,73025.26021349723
2006-02,75237.386984777
2006-03,77087.78629367761
2006-04,77651.41196480212
2006-05,73679.62158878375
2006-06,74703.17736276826
2006-07,75044.26887424836
2006-08,77435.3797636904
2006-09,79882.5954164334
2006-10,82755.68188989471
2006-11,82971.15924670007
2006-12,86065.51474290587
2007-01,88091.07453898636
2007-02,86437.36932667202
2007-03,89016.63005218399
2007-04,93628.719365321
2007-05,97423.64760031943
2007-06,96736.00167803036
2007-07,93113.88721016076
2007-08,92189.06611256712
2007-09,94301.82837289256
2007-10,97087.75188867268
2007-11,93199.02833788151
2007-12,92663.5672779251
2008-01,80925.08473238886
2008-02,80423.06705749787
2008-03,78402.28770579008
2008-04,83276.11247472372
2008-05,84408.00830928053
2008-06,74366.0144886565
2008-07,73249.46732081436
2008-08,74127.69739506982
2008-09,64601.199538676614
2008-10,55095.32424288701
2008-11,51653.40848279461
2008-12,51862.65247514355
2009-01,48417.79888110574
2009-02,43348.30152705993
2009-03,44780.18642257288
2009-04,52051.05216118168
2009-05,55001.88484881498
2009-06,53437.79057871279
2009-07,59165.40569054936
2009-08,62649.32292803995
2009-09,64912.67707811991
2009-10,61982.48909463189
2009-11,63153.513406509446
2009-12,66531.87362620393
2010-01,63379.397733343816
2010-02,62879.912270280074
2010-03,67714.94096804572
2010-04,65771.15018951826
2010-05,62089.89070243944
2010-06,61499.685907899846
2010-07,65495.59828831238
2010-08,63176.81776963493
