Date,MSCI Europe Momentum
1994-06,10000
1994-07,10311.147173294139
1994-08,10586.8324424548
1994-09,10144.728516956522
1994-10,10300.133446307658
1994-11,9887.582005025766
1994-12,10218.417883065777
1995-01,9942.084790624043
1995-02,10001.239556019938
1995-03,9952.31383228561
1995-04,10275.853130079153
1995-05,10698.641399434819
1995-06,10985.745535654192
1995-07,11506.770896282762
1995-08,11630.774173429849
1995-09,12481.090701567911
1995-10,12335.349729488435
1995-11,12554.885055816223
1995-12,12946.973409159249
1996-01,12995.920823567916
1996-02,13356.39659462707
1996-03,13766.525948460823
1996-04,13866.926674628263
1996-05,14292.272912908556
1996-06,14532.041336431892
1996-07,13945.708616925947
1996-08,14304.929409164499
1996-09,14648.146207974969
1996-10,14972.93724590534
1996-11,15417.764485656493
1996-12,16103.357416958013
1997-01,16558.387100129872
1997-02,17626.349159049634
1997-03,18303.747126982842
1997-04,18468.110718824046
1997-05,19616.10096619356
1997-06,21008.983939907153
1997-07,23012.153492729118
1997-08,21920.811167663538
1997-09,23580.118376720082
1997-10,21729.839465703113
1997-11,21067.279030944228
1997-12,22837.64762391313
1998-01,24441.49848433684
1998-02,26309.62207239176
1998-03,28190.4633196971
1998-04,28744.249146459257
1998-05,29406.54991128155
1998-06,30265.422660800814
1998-07,32649.604053462506
1998-08,27117.57678428685
1998-09,24370.153886603104
1998-10,24094.60932297646
1998-11,25986.52700435661
1998-12,27867.53428153917
1999-01,29306.141989798118
1999-02,29094.18068392856
1999-03,29185.651579059235
1999-04,29577.491831162395
1999-05,28848.24437770824
1999-06,30108.61793760951
1999-07,29651.033199451602
1999-08,30126.179504919517
1999-09,29974.593139656954
1999-10,32193.46899013058
1999-11,36586.404715416356
1999-12,43356.886053378
2000-01,43464.22502836527
2000-02,49203.752580141016
2000-03,48655.549314031625
2000-04,47979.58161952728
2000-05,45034.40327669031
2000-06,44692.46293163721
2000-07,44415.371593556454
2000-08,45518.02104551772
2000-09,42054.56167403569
2000-10,42347.91599141007
2000-11,37108.20850552281
2000-12,37171.84494005583
2001-01,35165.12778851769
2001-02,34799.00591707896
2001-03,34241.10740436636
2001-04,35071.05114039667
2001-05,35926.036272540994
2001-06,36063.2216936715
2001-07,34570.18394211157
2001-08,33375.79652403417
2001-09,30555.698752177006
2001-10,30666.18387999965
2001-11,31558.274110710565
2001-12,33108.373582060696
2002-01,33421.71665214231
2002-02,33457.915079277016
2002-03,34810.245243293364
2002-04,35000.72951042666
2002-05,33589.79574534294
2002-06,31250.117628443877
2002-07,29388.374584391157
2002-08,29228.70935889595
2002-09,27103.119905292755
2002-10,27805.466923203792
2002-11,27777.078875008698
2002-12,25913.989596253752
2003-01,24128.59479922276
2003-02,24123.406650201923
2003-03,23481.26259815243
2003-04,25356.306736642557
2003-05,25401.347673819408
2003-06,26020.08407387295
2003-07,26485.73853290684
2003-08,27285.11472673233
2003-09,26584.758263782613
2003-10,28261.873057500638
2003-11,28420.039397978766
2003-12,28501.76607912481
2004-01,30331.34170570856
2004-02,31234.386238533396
2004-03,31060.90435535809
2004-04,31311.12002748614
2004-05,31450.903266207217
2004-06,32350.120363770417
2004-07,31901.330510242085
2004-08,31891.292134954485
2004-09,32755.44716607488
2004-10,33182.99321851817
2004-11,34577.09356621806
2004-12,35340.801709859785
2005-01,36522.307699639154
2005-02,37991.61183280567
2005-03,37348.02962484999
2005-04,36665.198655268
2005-05,39243.43024962328
2005-06,41123.0943132692
2005-07,42474.87457074369
2005-08,43248.506615771905
2005-09,44958.224440920865
2005-10,42874.853618415
2005-11,44483.94920457478
2005-12,46201.47241609708
2006-01,49041.92913351222
2006-02,50539.88800812486
2006-03,52095.660063606134
2006-04,53474.53520799228
2006-05,50209.442391404584
2006-06,50487.2219727953
2006-07,50855.25076220343
2006-08,51778.406036022185
2006-09,52900.83612717287
2006-10,56744.31685503752
2006-11,56889.37785820998
2006-12,59742.123821678026
2007-01,61380.77471978688
2007-02,60795.89948518527
2007-03,63581.67735097006
2007-04,65541.35510698264
2007-05,68966.65503858512
2007-06,68882.5208350738
2007-07,67187.61180310538
2007-08,66088.26297474201
2007-09,69330.42777263743
2007-10,72646.52038968937
2007-11,69500.13159105238
2007-12,69266.45769370477
2008-01,61692.1639023458
2008-02,61873.56229730861
2008-03,58357.40879898627
2008-04,61919.00514611117
2008-05,63588.02008803592
2008-06,60369.08097696069
2008-07,56351.39788207178
2008-08,56037.91559171934
2008-09,46729.096594443756
2008-10,44403.6968901049
2008-11,40666.593266127195
2008-12,38377.60866883181
2009-01,38536.95630482008
2009-02,35521.37913723718
2009-03,35237.32654563485
2009-04,37507.36807645966
