Date,MSCI AC Asia Pacific ex-Japan
2001-07,34185.60123358081
2001-08,32375.89045643154
2001-09,27647.278501807035
2001-10,29694.49608493696
2001-11,33735.467296021576
2001-12,36098.14462725519
2002-01,37902.37075373393
2002-02,38100.519685585474
2002-03,39969.17620357634
2002-04,38856.124222912964
2002-05,37378.97507190797
2002-06,33466.056000000004
2002-07,32366.97368905244
2002-08,32131.868646394796
2002-09,29184.795456389453
2002-10,30699.93302919708
2002-11,31821.999274705347
2002-12,28786.61319729189
2003-01,28253.658394970418
2003-02,27500.327212020034
2003-03,26827.757595227173
2003-04,27589.26689425928
2003-05,27672.784486550507
2003-06,30183.782095038063
2003-07,31961.915497437716
2003-08,34983.84572160703
2003-09,33464.68238928939
2003-10,36382.6997934951
2003-11,34997.16168084042
2003-12,35534.195344418054
2004-01,37604.98226744187
2004-02,38941.365388951526
2004-03,39379.67449280105
2004-04,38022.05539465974
2004-05,36538.087850467295
2004-06,36495.364442616206
2004-07,36454.95579367057
2004-08,37603.30805053257
2004-09,38500.83258924974
2004-10,38486.26127031483
2004-11,40122.74545317789
2004-12,40534.79110197489
2005-01,42644.902232451095
2005-02,44313.817379497625
2005-03,43321.30672631904
2005-04,42747.90159759203
2005-05,45693.449306625575
2005-06,48393.59677472709
2005-07,50841.39250806252
2005-08,49616.58504672897
2005-09,53306.209715994024
2005-10,49971.56481743326
2005-11,54146.62620443537
2005-12,56633.54174790202
2006-01,59070.726555537214
2006-02,60035.371199999994
2006-03,59740.90979841375
2006-04,62005.205599425695
2006-05,56269.096813801676
2006-06,56936.828773696216
2006-07,56987.40347771599
2006-08,58540.62781106529
2006-09,60604.46388625592
2006-10,63248.87013232514
2006-11,64812.06245454545
2006-12,67570.91876993168
2007-01,68229.42241778602
2007-02,67551.05767920671
2007-03,69241.45661510738
2007-04,71149.98668136713
2007-05,75116.0176912213
2007-06,78054.5194520548
2007-07,80431.785554826
2007-08,79256.97403867202
2007-09,86557.14397348191
2007-10,93197.27494981656
2007-11,83745.03097351128
2007-12,82932.56759730996
2008-01,71786.13349024883
2008-02,73960.61513812884
2008-03,66737.36565899318
2008-04,73473.81428571428
2008-05,72345.33652308486
2008-06,63829.331844709464
2008-07,62778.30078790596
2008-08,62469.195453003056
2008-09,53581.811661889114
2008-10,45379.721831151524
2008-11,42612.96890076216
2008-12,42434.953050226344
2009-01,42595.08595505618
2009-02,40673.84307181272
2009-03,44393.308972046885
2009-04,51288.59227118645
2009-05,55272.704312668466
2009-06,55653.69581151833
2009-07,62497.406082897156
2009-08,61774.60787556055
2009-09,66009.15070682237
2009-10,65079.6075
2009-11,65896.82316448112
2009-12,71190.03723448563
2010-01,68812.35414578262
2010-02,71756.9454826824
2010-03,77693.0628088137
2010-04,79698.91200901239
2010-05,77009.97991387016
2010-06,77783.58423926329
2010-07,78729.09303039608
2010-08,79579.58891167193
2010-09,82763.3534876905
2010-10,83720.13150032474
2010-11,87485.59706108633
2010-12,90887.95635383924
2011-01,87546.4198948291
2011-02,85197.25805985254
2011-03,87263.79031463363
2011-04,87034.39934051145
2011-05,87863.35908237749
2011-06,85738.66408358126
2011-07,87217.02946704069
2011-08,78792.64866435986
2011-09,72920.13925794266
2011-10,79646.99280051426
2011-11,76556.98291846772
2011-12,79422.89603524229
2012-01,85995.72349726775
2012-02,88719.10203079668
2012-03,86597.18854447441
2012-04,87982.26415922507
2012-05,83987.74951221478
2012-06,86061.974725973
2012-07,91653.11566265061
2012-08,89017.49345809214
2012-09,91947.89819025523
2012-10,91933.4087739552
2012-11,94138.41276759587
2012-12,95511.90095497954
2013-01,95487.92448708486
2013-02,99479.09956584661
2013-03,100392.22106989459
2013-04,100857.56860465118
2013-05,97062.19274181146
2013-06,90867.52266055044
2013-07,91438.70955932203
2013-08,91064.4369021534
2013-09,94545.85315068492
2013-10,97979.77079393006
2013-11,97181.5299977959
2013-12,94712.68048727431
2014-01,91743.74693696361
2014-02,93867.06602475929
2014-03,95722.07689295038
2014-04,96287.89490252707
2014-05,101179.64311016389
2014-06,102539.36999560698
2014-07,108416.37730772104
2014-08,110861.43685168336
2014-09,107771.49226734482
2014-10,111244.76545832005
2014-11,110165.62465753425
2014-12,110912.45070422538
2015-01,120901.9462184874
2015-02,125488.0518149466
2015-03,130756.9022771633
2015-04,132776.28385198393
2015-05,132142.4806381039
2015-06,124563.46985432121
2015-07,120751.37479711861
2015-08,106126.72290682123
2015-09,103823.22926001964
2015-10,113540.04513025326
2015-11,115278.78926174497
2015-12,112410.80418848168
2016-01,103292.6784065934
2016-02,102681.95686994855
2016-03,109562.96679841896
2016-04,109321.21625887923
2016-05,110028.4245831092
2016-06,112987.3859124482
2016-07,119208.12687843067
2016-08,121514.66146245059
2016-09,123388.00775916137
2016-10,123721.34635483283
2016-11,124508.2209308886
2016-12,124294.06805805903
2017-01,128890.07899581591
2017-02,135328.30270831365
2017-03,138286.05094004303
2017-04,137394.65445562673
2017-05,137411.88466268603
2017-06,137691.3097791798
2017-07,140990.83131235608
2017-08,141299.11194926003
2017-09,141132.50791123157
2017-10,148984.81232170478
2017-11,147232.0506203055
2017-12,150016.00298507462
2018-01,154132.87133338684
2018-02,149789.3162436548
2018-03,145211.76216216217
2018-04,149607.59562877723
2018-05,153210.2059663219
2018-06,148070.79511065365
2018-07,148764.82745398773
2018-08,148205.4813149086
2018-09,147135.32508638565
2018-10,135051.9895918007
2018-11,140570.4664495114
2018-12,135629.88209606986
2019-01,145032.8164345404
2019-02,149330.61217589348
2019-03,154094.52144192255
2019-04,157080.4932964878
2019-05,147061.01824051654
2019-06,153346.90966608084
2019-07,154522.80435835352
2019-08,149325.79958318232
2019-09,154082.931839471
2019-10,156509.24168908017
2019-11,159635.5910034602
2019-12,165171.87126580023
2020-01,161680.8403908795
2020-02,155911.2977316207
2020-03,134324.24277108436
2020-04,148599.68236484
2020-05,144680.58168103447
2020-06,155732.3418110377
2020-07,158911.08514517217
2020-08,163744.34969849247
2020-09,163197.15081995216
2020-10,167276.62044793981
2020-11,178207.50726210352
2020-12,185619.56772879141
2021-01,194312.0963414634
2021-02,197220.01786981273
2021-03,199638.46162899784
2021-04,199223.62501241517
2021-05,200177.85851979346
2021-06,204979.36050151466
2021-07,191411.9957615003
2021-08,196578.2967551124
2021-09,192888.42236808015
2021-10,195126.09264061827
2021-11,191438.21555927128
2021-12,195772.1053858379
2022-01,190827.90064539263
2022-02,187982.23766407714
2022-03,188462.9833528511
2022-04,187977.45108159393
2022-05,185324.46233548026
2022-06,180316.75892943103
2022-07,183819.14126299275
2022-08,187159.24008
2022-09,167931.0938038572
2022-10,158179.46731894292
2022-11,177754.67469159598
2022-12,172157.27849240578
2023-01,184136.9009692606
2023-02,175160.3644599303
2023-03,175850.4562758621
2023-04,171216.6519078408
