Date,MSCI AC Asia Pacific ex-Japan
1987-12,10000
1988-01,10070.142336874052
1988-02,10354.794822485206
1988-03,11382.341738284416
1988-04,11904.163552833079
1988-05,12806.857435897438
1988-06,13606.682522796355
1988-07,14851.699583148558
1988-08,14335.385762220007
1988-09,14034.353506797517
1988-10,14517.431506849316
1988-11,13864.331567850215
1988-12,13937.883130699087
1989-01,15998.779213483147
1989-02,15029.717650195522
1989-03,15412.814279323613
1989-04,16165.926153846154
1989-05,16226.852209815144
1989-06,15985.285173863203
1989-07,16618.419004111467
1989-08,17602.30337724995
1989-09,18405.341347150254
1989-10,17178.694106980965
1989-11,17121.461340482572
1989-12,17177.77789203085
1990-01,16586.928880385956
1990-02,16194.37793646885
1990-03,16352.65016286645
1990-04,15341.722955145115
1990-05,16554.375602238622
1990-06,17176.311856932876
1990-07,17602.05773342837
1990-08,15292.581268927925
1990-09,13616.34121037464
1990-10,13100.019964664309
1990-11,12566.157973733583
1990-12,12901.425613317757
1991-01,13669.413570487483
1991-02,14838.142517814726
1991-03,16674.64888749608
1991-04,18021.0377785113
1991-05,18235.812945308582
1991-06,18670.467678695353
1991-07,19528.464379397203
1991-08,18768.91758409786
1991-09,18240.742045266812
1991-10,18809.384952978056
1991-11,18060.16099420313
1991-12,17987.827371982163
1992-01,18712.63526132404
1992-02,19624.915954415952
1992-03,20065.23198179898
1992-04,20604.347515903053
1992-05,21250.444577837457
1992-06,20653.281341107875
1992-07,19208.096996711727
1992-08,17842.329282712446
1992-09,18266.780279842587
1992-10,19839.039942310614
1992-11,20718.41753477839
1992-12,20778.968525703196
1993-01,21447.461161928306
1993-02,23405.304375000003
1993-03,23815.33922933288
1993-04,24510.601918504548
1993-05,25512.469170707656
1993-06,25632.96653696498
1993-07,27576.36980865885
1993-08,29844.326894713457
1993-09,29270.134630151013
1993-10,34554.32203711696
1993-11,34731.09126041482
1993-12,42127.83088508904
1994-01,41312.87828663793
1994-02,39308.899955273286
1994-03,34620.85624178713
1994-04,36068.791723774375
1994-05,36716.6166437414
1994-06,34766.39411366712
1994-07,35433.48186885246
1994-08,38095.43500738553
1994-09,36732.760155869466
1994-10,36718.969708552315
1994-11,34361.94006788427
1994-12,34396.31860465117
1995-01,30628.01596251717
1995-02,32462.82799616491
1995-03,31162.248425741054
1995-04,30727.79322084966
1995-05,33744.09678751721
1995-06,32969.313622572816
1995-07,33665.388799760105
1995-08,33525.623125048274
1995-09,34251.526073691624
1995-10,33149.87431651906
1995-11,32748.438712664967
1995-12,34689.222218737756
1996-01,37457.02486906841
1996-02,38238.50959297685
1996-03,38423.83365768065
1996-04,40206.17142857142
1996-05,40224.122706179274
1996-06,39246.31097826965
1996-07,36117.65684964201
1996-08,37105.59802916831
1996-09,37954.252242366405
1996-10,37806.360947595116
1996-11,39017.26388976378
1996-12,39754.437826961774
1997-01,41225.92857142857
1997-02,43475.676731947206
1997-03,41945.28217839064
1997-04,41891.557792207794
1997-05,43470.713165952235
1997-06,45563.24347133758
1997-07,47064.52684124385
1997-08,40897.16470588236
1997-09,40114.71263090793
1997-10,31480.558744635193
1997-11,29082.258569051584
1997-12,29228.702886950265
1998-01,28542.69257521391
1998-02,32796.779619939414
1998-03,32565.190841242053
1998-04,30180.0274000183
1998-05,26008.668493150686
1998-06,24107.84575163399
1998-07,23775.012229299362
1998-08,20298.69020389669
1998-09,20996.784933045357
1998-10,23757.703386305016
1998-11,26279.50134406301
1998-12,26424.105188839745
1999-01,27542.458081517918
1999-02,27873.02483209294
1999-03,31216.576913051573
1999-04,36644.297914504095
1999-05,35584.29210022953
1999-06,40558.716460108444
1999-07,38562.04146250234
1999-08,39131.65423247896
1999-09,36768.02717299578
1999-10,38196.848942887205
1999-11,42866.69390908191
1999-12,46331.82870794346
2000-01,46884.03284649168
2000-02,46231.520568252
2000-03,47788.22242227572
2000-04,46432.31042377545
2000-05,41953.11757497581
2000-06,43793.221682712436
2000-07,43176.521324245376
2000-08,44626.733640242535
2000-09,40869.027313177416
2000-10,39362.25372460497
2000-11,37260.08477660065
2000-12,35030.16135411069
2001-01,38824.20949101475
2001-02,37187.54455017301
2001-03,34653.64952445652
2001-04,35493.21543488058
2001-05,37128.1491509434
2001-06,36794.34021226415
