Date,MSCI USA High Dividend Yield
1994-06,10000
1994-07,9967.441129541136
1994-08,10319.59421945665
1994-09,10030.580248695554
1994-10,9991.452720359028
1994-11,9866.688535048208
1994-12,10087.587353992649
1995-01,10352.317541129145
1995-02,10551.390264943464
1995-03,10344.497520187204
1995-04,10471.950917282024
1995-05,11195.844080802213
1995-06,11169.56143888409
1995-07,11264.486866757075
1995-08,11756.143933114474
1995-09,12615.7877412292
1995-10,12490.37364310078
1995-11,13101.705719268155
1995-12,13859.980043404617
1996-01,14384.850970642692
1996-02,14560.777724090547
1996-03,14702.147506934947
1996-04,14909.385752104297
1996-05,15344.18507124601
1996-06,15376.570844825019
1996-07,14664.719605564866
1996-08,14719.127170148271
1996-09,15502.083878743768
1996-10,16340.329542389467
1996-11,17173.015284291894
1996-12,17455.08528930844
1997-01,18957.213360453894
1997-02,20307.66817732753
1997-03,19486.287305323505
1997-04,20308.34923804466
1997-05,21482.648596380892
1997-06,22663.469803302247
1997-07,24740.737257417208
1997-08,24342.80609123378
1997-09,25020.86035533948
1997-10,24257.842196825357
1997-11,24904.742388376475
1997-12,26232.457141295934
1998-01,26611.89444560821
1998-02,27965.9700199463
1998-03,29738.58836700819
1998-04,29336.455947682956
1998-05,28711.85601035506
1998-06,29110.019764344965
1998-07,28716.566977169252
1998-08,25456.894650194285
1998-09,26168.272940120725
1998-10,26638.505250002574
1998-11,28810.269071576742
1998-12,29066.97763927461
1999-01,29958.249315453697
1999-02,30135.266269917087
1999-03,30836.923911801223
1999-04,34395.63591104249
1999-05,34272.09018291239
1999-06,35640.45156568968
1999-07,33320.50314595003
1999-08,32184.636450543563
1999-09,30627.11280276769
1999-10,32425.543891529647
1999-11,33372.81961411539
1999-12,32440.166298626133
2000-01,32154.584519535838
2000-02,29014.79355128798
2000-03,33092.778895142925
2000-04,34719.720157686854
2000-05,34522.32698017681
2000-06,31373.117662726538
2000-07,32378.69760682962
2000-08,35018.51102466439
2000-09,37198.12093053066
2000-10,41007.19359470848
2000-11,39221.494733658685
2000-12,38158.7878004022
2001-01,37560.490821997344
2001-02,37537.4838324796
2001-03,38280.342175461476
2001-04,39255.92449780978
2001-05,42045.5313282425
2001-06,40723.938353099984
2001-07,40108.83778513992
2001-08,37198.743610829
2001-09,36335.69775044055
2001-10,35645.42590689686
2001-11,37511.75369328941
2001-12,38425.33520271871
2002-01,39191.807778268456
2002-02,40023.01063845211
2002-03,40786.176308579124
2002-04,38244.70435694042
2002-05,37194.44926639071
2002-06,33090.26896288211
2002-07,32049.510425868095
2002-08,31793.059784350156
2002-09,27881.18875353635
2002-10,29475.413336411475
2002-11,30495.615895017214
2002-12,28010.526038874694
2003-01,26401.59625637636
2003-02,25865.0674441841
2003-03,25814.437128255842
2003-04,27508.82594279059
2003-05,27151.487465724513
2003-06,28542.275851716768
2003-07,28511.82707892941
2003-08,29968.06068148037
2003-09,27982.38552725777
2003-10,29079.51572584817
2003-11,28339.48106376762
2003-12,28907.37663242441
2004-01,29899.222282135186
2004-02,30209.785381084457
2004-03,30167.798782797374
2004-04,30690.89979874077
2004-05,30121.867355689377
2004-06,30889.022807602854
2004-07,30907.41054740245
2004-08,31479.995960459495
2004-09,30735.988035409402
2004-10,30052.520004350394
2004-11,29776.594226638812
2004-12,29975.89844069591
2005-01,30707.467336219128
2005-02,31430.874939772508
2005-03,31584.3436321415
2005-04,31681.73834516973
2005-05,33664.01715285532
2005-06,34210.8432215076
2005-07,34655.18059765233
2005-08,34054.405730365805
2005-09,34786.9401795849
2005-10,33997.34159554638
2005-11,35709.05792533174
2005-12,35891.832594151834
2006-01,35492.24623907342
2006-02,36679.74653221257
2006-03,36292.493605543896
2006-04,36136.12249543485
2006-05,34367.80619186372
2006-06,34957.3197056664
2006-07,36084.50321715233
2006-08,36705.82854444642
2006-09,37926.61725693484
2006-10,38661.10706377151
2006-11,37719.371605968736
2006-12,38919.60396565209
2007-01,39926.89452968529
2007-02,38492.72361280035
2007-03,38651.232315954745
2007-04,39421.71461830171
2007-05,40954.3373203606
2007-06,39768.880048563406
2007-07,37685.678069103174
2007-08,38627.798440406026
2007-09,38400.29633716217
2007-10,37615.78461385721
2007-11,35723.48229195419
2007-12,34809.01874244514
2008-01,33546.36088666577
2008-02,31011.001358531106
2008-03,30114.018520762096
2008-04,31131.864583837425
2008-05,30809.64015855879
2008-06,27262.36498281066
2008-07,28375.091225945624
2008-08,30661.81976301425
2008-09,30792.919389178114
2008-10,30227.622872118143
2008-11,28838.728255260514
2008-12,26655.010670398846
2009-01,24706.805281426754
2009-02,21763.53459315801
2009-03,22796.987228109403
2009-04,25175.364578080447
2009-05,25372.761433920852
2009-06,25378.997224914983
2009-07,27374.30167474433
2009-08,27755.694335567958
2009-09,28039.236197942657
2009-10,27357.29837049576
2009-11,28791.055382791594
2009-12,30485.347740835794
2010-01,30735.478749586528
2010-02,32168.28712518377
2010-03,34080.4062870404
2010-04,34993.119692480286
2010-05,35292.53645754914
2010-06,34465.788754500936
2010-07,34577.4785535326
2010-08,35069.34400733796
2010-09,34772.31360238069
