Date,FTSE EPRA/NAREIT Developed Europe ex UK
1989-12,10000
1990-01,9834.416770056989
1990-02,9617.501120916426
1990-03,9906.934560238264
1990-04,9983.4331631033
1990-05,10114.44674842759
1990-06,9950.427324196171
1990-07,9885.330474986971
1990-08,9247.42962275187
1990-09,7996.657064551503
1990-10,8064.991439390116
1990-11,7725.20973365759
1990-12,7542.506736975371
1991-01,7485.148262734741
1991-02,7948.535458430328
1991-03,7972.888788690316
1991-04,7814.634685189415
1991-05,7606.386390852786
1991-06,7464.950477053558
1991-07,7308.44018628309
1991-08,7053.550521362071
1991-09,6887.5367528720035
1991-10,6791.078387177207
1991-11,6456.857040977911
1991-12,6084.589301351486
1992-01,5981.784487914947
1992-02,5764.33820975464
1992-03,5700.682469615098
1992-04,5494.373999395355
1992-05,5420.5885895951415
1992-06,5031.6334117387305
1992-07,4848.824365062725
1992-08,4602.693774712902
1992-09,4476.631961785141
1992-10,4554.366396646873
1992-11,4800.054434644745
1992-12,4650.897624331046
1993-01,4650.125634706896
1993-02,5162.85297959166
1993-03,5342.63570564474
1993-04,5506.745701961798
1993-05,5730.660840217676
1993-06,5974.926121522697
1993-07,6417.146909304335
1993-08,6808.075446745285
1993-09,6538.553378099571
1993-10,6736.573354801761
1993-11,6575.141752579165
1993-12,6988.355771751539
1994-01,7777.990253306432
1994-02,7545.83893054503
1994-03,7155.70022970395
1994-04,6929.334643770953
1994-05,6784.405945208138
1994-06,6449.79850416947
1994-07,6554.9373229795865
1994-08,6487.473227746455
1994-09,6088.753385102746
1994-10,6013.571373115694
1994-11,6110.8765804407785
1994-12,6045.018976252324
1995-01,5852.917046170233
1995-02,5822.117430396353
1995-03,5659.702043908522
1995-04,5855.345035086753
1995-05,6149.124060323562
1995-06,6022.746698124178
1995-07,6158.6039842468845
1995-08,6171.205939123109
1995-09,6139.107526801019
1995-10,6184.852947616619
1995-11,6345.287530383133
1995-12,6395.512110408101
1996-01,6695.485952532747
1996-02,6685.848175004695
1996-03,6618.432377162499
1996-04,6694.556867405491
1996-05,6604.52511869913
1996-06,6716.699899736007
1996-07,6654.92553618401
1996-08,6885.028826350952
1996-09,6970.335475046231
1996-10,7071.20092765021
1996-11,7323.858657157916
1996-12,7534.599368519879
1997-01,8205.236754589525
1997-02,8467.639901526643
1997-03,8470.499555613464
1997-04,8266.377734764215
1997-05,8386.828458525099
1997-06,8528.922573000616
1997-07,8713.656271231848
1997-08,8528.880308835103
1997-09,8931.253843312003
1997-10,8603.150924732781
1997-11,8491.389909244539
1997-12,8618.55634994217
1998-01,9074.285950608853
1998-02,9212.481843360825
1998-03,9792.77348977249
1998-04,10078.46103315117
1998-05,10233.834771650063
1998-06,10128.424194466275
1998-07,10104.21494563152
1998-08,8978.799997654938
1998-09,8796.683508399636
1998-10,9009.98078060764
1998-11,9191.067451982455
1998-12,9339.39322497888
1999-01,9616.92671152792
1999-02,9714.456832863852
1999-03,9808.128237994179
1999-04,10167.550366776726
1999-05,10273.920237331633
1999-06,10599.1331672299
1999-07,10552.004568943712
1999-08,10576.785363227506
1999-09,10427.31168749353
1999-10,10362.208689237828
1999-11,10398.197531683447
1999-12,10529.189216294168
2000-01,10381.675275373887
2000-02,10533.295600088522
2000-03,10738.509497914096
2000-04,11013.637212135864
2000-05,11259.914947904983
2000-06,11568.420191942403
2000-07,11690.558786851416
2000-08,12161.74000428058
2000-09,12087.193344629217
2000-10,12021.175328243053
2000-11,12070.241349990982
2000-12,11989.58776059417
2001-01,12465.717696954993
2001-02,13011.445574035519
2001-03,12489.303080799491
2001-04,12613.968681120414
2001-05,12944.26934683556
2001-06,12970.487027984133
2001-07,12874.144946655042
2001-08,12528.787540360594
2001-09,11482.186132260953
2001-10,11965.054749720202
2001-11,12102.671252777169
2001-12,12181.113712438562
2002-01,12706.520254331639
2002-02,13147.06153114139
2002-03,13494.41948338693
2002-04,14016.035517162145
2002-05,14643.891070129766
2002-06,13860.83526811397
2002-07,13546.960137576238
2002-08,13367.332169546262
2002-09,12368.006821027784
2002-10,13228.768039459832
2002-11,13896.529219557207
2002-12,13796.291338218087
2003-01,13496.10415366154
2003-02,13426.927380510486
2003-03,13294.786055845994
2003-04,13731.115656969225
2003-05,14355.917745064122
2003-06,14624.517361971786
2003-07,14825.624876003005
2003-08,15043.894968456781
2003-09,15174.45691473883
2003-10,15555.087104907863
2003-11,16264.227998625276
