Date,MSCI Emerging Markets IMI
1994-05,10000
1994-06,9715.580886856183
1994-07,9947.315801097431
1994-08,11360.764605877172
1994-09,11448.55950214725
1994-10,11189.083368564021
1994-11,10698.020415913517
1994-12,10479.020655065551
1995-01,9388.283115469116
1995-02,9288.955014789008
1995-03,8955.587497153505
1995-04,8985.224695389465
1995-05,9677.072061406898
1995-06,9566.64282621503
1995-07,9630.022951365832
1995-08,9651.74333004386
1995-09,9722.429604793004
1995-10,9282.462521191233
1995-11,9041.610441353007
1995-12,9598.559044690846
1996-01,10473.603295502944
1996-02,10387.14628790625
1996-03,10388.033890810035
1996-04,10841.051905807086
1996-05,10825.959117427636
1996-06,10777.605720814261
1996-07,9890.489447395372
1996-08,10046.902670883883
1996-09,10206.293751819629
1996-10,9951.06550047583
1996-11,9958.34072150223
1996-12,10182.957301432203
1997-01,11164.203070712027
1997-02,12209.493004029677
1997-03,12042.257542814734
1997-04,11882.70176456047
1997-05,12016.402848976764
1997-06,12755.085425593368
1997-07,13233.754436166351
1997-08,11865.618343017875
1997-09,11689.914416048832
1997-10,9536.807073435759
1997-11,8867.053983199967
1997-12,9146.375145212218
1998-01,8699.730403976537
1998-02,9601.601082521569
1998-03,9965.366025294863
1998-04,9832.677843097417
1998-05,8404.273583458207
1998-06,7499.650492287158
1998-07,7655.919569771093
1998-08,5486.989467065266
1998-09,5411.9451000740555
1998-10,5729.739341119849
1998-11,6325.0572976861895
1998-12,6093.460330636734
1999-01,5976.872134574183
1999-02,6255.713386133914
1999-03,7280.434818808901
1999-04,8310.276265798322
1999-05,8336.02291134506
1999-06,9307.379460178372
1999-07,8775.39754460554
1999-08,8826.602420871634
1999-09,8400.269015550202
1999-10,8764.705423357873
1999-11,9973.408276107719
1999-12,11616.119269264134
2000-01,11971.69568734046
2000-02,12042.144353278827
2000-03,12241.883391205783
2000-04,11515.484829657327
2000-05,10645.433866559766
2000-06,10695.404306779932
2000-07,10518.41584468607
2000-08,11030.07239179946
2000-09,10094.359132268657
2000-10,9668.6234979768
2000-11,8599.764380731593
2000-12,8124.238980641487
2001-01,9238.692172196595
2001-02,8593.504410507649
2001-03,8156.157141404759
2001-04,8452.561507113085
2001-05,8944.086321817718
2001-06,8784.390105972654
2001-07,7961.705476254839
2001-08,7531.041286846492
2001-09,6391.544059475631
2001-10,6807.858132752285
2001-11,7684.790779679033
2001-12,8422.291950631154
2002-01,8879.40491086991
2002-02,8993.90180445348
2002-03,9500.534936494443
2002-04,9263.980882245292
2002-05,8703.02073622862
2002-06,7568.8024802729415
2002-07,7164.81789109615
2002-08,7235.632762231957
2002-09,6434.473739614273
2002-10,6827.321619544465
2002-11,7237.83771059774
2002-12,6629.432008779135
2003-01,6433.350059983105
2003-02,6271.968579399352
2003-03,6004.933581343629
2003-04,6373.518834697483
2003-05,6439.471676969554
2003-06,7058.157523487937
2003-07,7552.030395169433
2003-08,8338.002920414507
2003-09,7856.862847729387
2003-10,8512.219489619876
2003-11,8381.351124327964
2003-12,8499.96568358658
2004-01,8992.977204185127
2004-02,9408.317803240634
2004-03,9685.311231498965
2004-04,9137.795059855469
2004-05,8770.4803538211
2004-06,8824.470283718678
2004-07,8716.240771390481
2004-08,9032.217769010527
2004-09,9323.690109232237
2004-10,9317.30805820522
2004-11,9752.112782084272
2004-12,10011.17283446848
2005-01,10488.782861613263
2005-02,11215.519622431146
2005-03,10738.054391071322
2005-04,10451.318555403272
2005-05,11361.986300885446
2005-06,11996.837425232328
2005-07,12811.059840299235
2005-08,12782.251317695926
2005-09,14079.157848154155
2005-10,13188.425945742107
2005-11,14598.431578690503
2005-12,15486.127447681034
2006-01,16681.137393235866
2006-02,17015.88917277546
2006-03,16829.33155314168
2006-04,17428.87738380472
2006-05,15283.612296496116
2006-06,15314.198758952778
2006-07,15465.581444356772
2006-08,15772.74922592474
2006-09,16174.409404296402
2006-10,16889.939566710866
2006-11,17490.50252062019
2006-12,18321.69581719529
2007-01,18436.830225844344
2007-02,18048.33385130123
2007-03,18623.424431131418
2007-04,19131.018577967156
2007-05,20360.707888902063
2007-06,21246.896617088725
2007-07,22138.361174863076
2007-08,21592.507528298203
2007-09,23093.09847581964
2007-10,25094.58078534805
2007-11,22832.72442621719
2007-12,22982.143797307053
2008-01,19858.276903958777
2008-02,20915.92809587453
2008-03,18983.033810311805
2008-04,20835.847827467023
2008-05,21221.72688969112
2008-06,18751.371514301678
2008-07,18270.78302112444
2008-08,17833.913296394923
2008-09,15098.8984269831
2008-10,12246.064138375203
2008-11,11373.32391284407
2008-12,11271.807707801758
2009-01,11457.52310895934
2009-02,10984.601617817905
2009-03,11935.348558976139
2009-04,14035.219888321155
2009-05,15574.917758814536
2009-06,15349.299500196776
2009-07,17106.537605871494
2009-08,16920.340749138617
2009-09,17971.98148285675
2009-10,17815.979003156543
2009-11,18315.0222663215
2009-12,19914.374127541298
2010-01,19445.95122448258
2010-02,20084.99991836221
2010-03,21873.38146287029
2010-04,22449.909875451776
2010-05,22113.62971000628
2010-06,22079.864807055383
2010-07,22513.52190384152
2010-08,22754.231018206792
2010-09,23519.354751411352
2010-10,23878.114242680764
2010-11,24799.79590095741
2010-12,25811.20975927315
2011-01,24494.472500837965
2011-02,23934.267054655993
2011-03,24645.598331436067
2011-04,24335.69703225839
2011-05,24474.172025106713
2011-06,23975.15151198703
2011-07,24277.338868891948
2011-08,21762.517451636504
2011-09,19859.830139721747
2011-10,21614.777865977914
2011-11,21011.146214972043
2011-12,21525.58461265281
2012-01,23525.924411521064
2012-02,24518.631696257864
2012-03,23859.826294197806
2012-04,23815.03631454387
2012-05,22604.77947366742
2012-06,23115.87402541685
2012-07,24113.47369505717
2012-08,23489.846508232848
2012-09,24301.386342334335
2012-10,24015.914137266438
2012-11,24348.797070020508
2012-12,25137.366917239917
2013-01,24855.638215126422
2013-02,25405.44089166689
2013-03,25667.397076625937
2013-04,25380.416606882256
2013-05,24927.036736436614
2013-06,23144.211903739266
2013-07,23042.10592775429
2013-08,22677.997419906038
2013-09,23675.72358112603
2013-10,24547.05514302485
2013-11,24234.775281140803
2013-12,23600.85489909116
2014-01,22634.430339571263
2014-02,22910.79733072535
2014-03,23634.71624148795
2014-04,23617.45662543638
2014-05,24868.695750596115
2014-06,25417.156267713508
2014-07,26429.32118976606
2014-08,27432.114591256006
2014-09,26738.053974286635
2014-10,27080.123250635457
2014-11,26866.65065234726
2014-12,26426.418350309315
2015-01,28584.53071625659
2015-02,29611.292728775796
2015-03,30553.74286411967
2015-04,31626.317967823994
2015-05,31235.849680919913
2015-06,29763.71703973032
2015-07,28244.86760301391
2015-08,25108.93209877787
2015-09,24490.64248092264
2015-10,26639.908877937458
2015-11,26713.042464069455
2015-12,25477.318966012703
2016-01,23703.12243802863
2016-02,23729.79246733593
2016-03,25599.099601415306
2016-04,25735.65404806667
2016-05,25341.6062512223
2016-06,26447.739716499782
2016-07,27738.993518869065
2016-08,28364.767171140444
2016-09,28663.710878646238
2016-10,29229.92307050831
2016-11,28699.061005044245
2016-12,29023.146432683447
2017-01,29973.95946457518
2017-02,31440.059260813552
2017-03,31962.02156287305
2017-04,31909.28957825642
2017-05,31913.955052761434
2017-06,31706.151892792062
2017-07,32620.965955280633
2017-08,33072.96053925426
2017-09,33020.34296804583
2017-10,34673.73925970179
2017-11,34195.70802721629
2017-12,35019.9992533889
2018-01,36416.65531240206
2018-02,35457.41910726454
2018-03,34531.08433504561
2018-04,35088.592246309236
2018-05,35021.783184336426
2018-06,33605.89040243723
2018-07,34107.557210150924
2018-08,33461.982691706464
2018-09,33402.90370594511
2018-10,31122.188121707175
2018-11,32335.69750085753
2018-12,31285.723400907635
2019-01,33796.39944688898
2019-02,34128.87212874215
2019-03,34980.40700371021
2019-04,35704.769095424905
2019-05,33414.217972373415
2019-06,34724.921264499666
2019-07,35024.311184092316
2019-08,33670.12844790948
2019-09,34788.963318689595
2019-10,35383.54581437091
2019-11,35872.79871674439
2019-12,37657.27744741116
2020-01,36521.53172667605
2020-02,34765.141314331966
2020-03,29201.49361514768
2020-04,32248.046095022542
2020-05,31792.38354341707
2020-06,34008.21389722029
2020-07,35053.90066539169
2020-08,35627.93159396899
2020-09,35758.15801729708
2020-10,36439.32088795034
2020-11,39040.15972453628
2020-12,40949.43193900313
2021-01,42553.52816325382
2021-02,43165.155187701304
2021-03,44104.08745199086
2021-04,44038.39967073909
2021-05,44639.17842159467
2021-06,46040.91937095606
2021-07,43239.19256856928
2021-08,44521.815634979976
2021-09,43820.59929707014
2021-10,43967.54782916688
2021-11,43289.834343542636
2021-12,44393.86641285669
2022-01,44076.284638317156
2022-02,42626.97932158695
2022-03,42307.789106857505
2022-04,42120.35182147097
2022-05,41521.52507250817
2022-06,39798.8129736041
2022-07,40625.57954496444
2022-08,41728.886843858985
2022-09,37903.96309230825
2022-10,36266.34363667444
2022-11,39541.96110133415
2022-12,37966.86517112037
2023-01,40240.52506689882
2023-02,38585.4614705507
2023-03,38728.7989221531
2023-04,38018.92465169945
2023-05,38580.16582211229
2023-06,39443.162782755564
