Date,MSCI Europe Growth
1978-12,10000
1979-01,10170.604929725458
1979-02,10375.16600031354
1979-03,11074.077142717346
1979-04,11268.77714603975
1979-05,10772.041572439699
1979-06,11007.395190302976
1979-07,10857.972272223424
1979-08,11190.408586143272
1979-09,11723.608434290822
1979-10,10799.978590193954
1979-11,11275.891265564416
1979-12,10993.948894372588
1980-01,11501.02596226098
1980-02,11834.935543124424
1980-03,10542.241726706667
1980-04,11658.894252873508
1980-05,11633.109743494784
1980-06,12332.032960947765
1980-07,12409.081018376368
1980-08,12840.480347912939
1980-09,13284.780345490197
1980-10,14489.262561730853
1980-11,15022.532749874004
1980-12,14647.645072557852
1981-01,14122.437489804704
1981-02,14820.577370014184
1981-03,14982.070914575734
1981-04,14980.304276108087
1981-05,14682.847909612696
1981-06,14740.757645901109
1981-07,14995.603433878961
1981-08,15930.24650619432
1981-09,13800.510284982245
1981-10,13837.552967073641
1981-11,15280.36740998546
1981-12,14992.185095330662
1982-01,15463.217563075674
1982-02,15254.809882765734
1982-03,15438.34119445334
1982-04,16176.52840567873
1982-05,15709.95422224387
1982-06,15428.91918399192
1982-07,16331.963984109178
1982-08,16605.52931501526
1982-09,17465.250508524812
1982-10,17706.70022217208
1982-11,18476.76885754557
1982-12,18491.980588635473
1983-01,17993.17316708741
1983-02,18983.77542511133
1983-03,19878.19339757379
1983-04,21763.5036926285
1983-05,21683.89423212457
1983-06,22382.552268549043
1983-07,22528.88761862281
1983-08,22552.896782177704
1983-09,23002.917478434094
1983-10,22952.070842995432
1983-11,24155.44720650292
1983-12,24747.57458713366
1984-01,25695.709774756255
1984-02,25680.809364245313
1984-03,25383.54837355574
1984-04,25340.45590893768
1984-05,24134.878758178653
1984-06,24299.54725893778
1984-07,23704.286482653864
1984-08,26017.850024580253
1984-09,26742.137205007526
1984-10,27415.667492873898
1984-11,26564.738848772908
1984-12,28410.533702939938
1985-01,30306.543944262237
1985-02,30054.55302030968
1985-03,33849.40515947423
1985-04,32604.789682141025
1985-05,34630.01285919345
1985-06,34114.70731086714
1985-07,35703.04698080703
1985-08,36317.97962172425
1985-09,37362.77917921636
1985-10,39077.081856350094
1985-11,41378.64173443297
1985-12,41874.73449436859
1986-01,41963.291942892836
1986-02,44595.87342086416
1986-03,46842.655700395066
1986-04,52315.22071847182
1986-05,47137.71355075387
1986-06,49108.17375828919
1986-07,47934.059281469024
1986-08,51337.92983935809
1986-09,47200.986845712156
1986-10,47235.112003868206
1986-11,50723.13793520662
1986-12,51146.45398208006
1987-01,49618.14639661887
1987-02,50582.63484326999
1987-03,52352.61706721469
1987-04,53504.758895012936
1987-05,52227.331519698324
1987-06,54605.61148860399
1987-07,57157.714859960906
1987-08,57967.23504084356
1987-09,56841.76387252133
1987-10,45300.73919884142
1987-11,40430.56744488263
1987-12,41467.12902227323
1988-01,39964.84623550606
1988-02,43559.28039785894
1988-03,43751.35973929326
1988-04,44087.62183750264
1988-05,43673.6812855873
1988-06,44895.19733185062
1988-07,47071.15339864658
1988-08,46009.84071341293
1988-09,48459.32336412548
1988-10,51533.52549839153
1988-11,49932.585484357944
1988-12,50175.3534302647
1989-01,53985.00662537361
1989-02,54038.2093608297
1989-03,54567.07675812648
1989-04,56587.11928177834
1989-05,55892.623954498005
1989-06,59531.683126949414
1989-07,63678.45992616302
1989-08,63971.01899577758
1989-09,66046.0567939447
1989-10,59427.02073617453
1989-11,61868.37862450619
1989-12,65049.04782029171
1990-01,62809.50464643043
1990-02,60095.5108643507
1990-03,62260.39107932351
1990-04,59780.82557151655
1990-05,64299.42533049443
1990-06,67470.34505266832
1990-07,68334.57338529648
1990-08,58938.23000275099
1990-09,51943.445422529905
1990-10,55673.25714891288
1990-11,54767.895524792286
1990-12,54594.45946172976
1991-01,56814.24960459597
1991-02,60506.41607775451
1991-03,61610.249484089
1991-04,64168.53333505668
1991-05,66867.14811981379
1991-06,63737.48098286348
1991-07,68032.10371369471
1991-08,67543.25072954345
1991-09,67853.31309166037
1991-10,66987.27995770755
1991-11,63718.32193684928
1991-12,67310.62755772959
1992-01,67787.7297065073
1992-02,69628.61461057559
1992-03,69160.09736137709
1992-04,71375.47796020689
1992-05,74216.05701660937
1992-06,71654.19539418281
1992-07,66223.22168089979
1992-08,64637.706779792396
1992-09,65036.699608007606
1992-10,63088.241766337786
1992-11,67419.04270508538
1992-12,68614.31601628773
1993-01,68769.52861492881
1993-02,70507.3837488564
1993-03,73872.64717705005
1993-04,72806.82278824449
1993-05,73678.39918395704
1993-06,73883.79058107345
1993-07,76097.24501885954
1993-08,83623.20913295569
1993-09,80171.0851637791
1993-10,84464.1105796497
1993-11,84916.91493632703
1993-12,90578.06701503192
1994-01,95719.59721573057
1994-02,91824.3391836313
1994-03,87351.50842743441
1994-04,91013.40194123017
1994-05,84972.13209112569
1994-06,82470.71428856764
1994-07,83995.12226345332
1994-08,87517.02555413877
1994-09,83093.21304666287
1994-10,84552.72640065812
1994-11,82794.97209842227
1994-12,85504.88456805932
1995-01,83002.25945791906
1995-02,84622.21577521377
1995-03,85734.57988180943
1995-04,86793.08190577292
1995-05,89610.13598571272
1995-06,90928.7864969224
1995-07,94515.90992459023
1995-08,94400.83663758883
1995-09,98965.58243232606
1995-10,97174.65322209115
1995-11,97740.65424640646
1995-12,102094.34694650455
1996-01,104561.14421217851
1996-02,107086.53610126491
1996-03,108574.72252788223
1996-04,109932.95067157048
1996-05,112089.32630026297
1996-06,112773.0950121072
1996-07,109431.1128683029
1996-08,111353.63056877695
1996-09,115355.39309523464
1996-10,118720.85884664905
1996-11,122712.36342056899
1996-12,127604.04003589849
1997-01,130867.74445132882
1997-02,137517.0901718745
1997-03,143663.43661257433
1997-04,143466.58737235743
1997-05,148101.2838167816
1997-06,158554.4593954272
1997-07,170519.16939028856
1997-08,165244.9609180615
1997-09,176486.49375318884
1997-10,162078.91973662053
1997-11,160987.58398868405
1997-12,171381.27837076865
1998-01,182956.88972899463
1998-02,198145.63521556655
1998-03,207809.53981962815
1998-04,210114.0635421736
1998-05,210724.6065842486
1998-06,217061.08376745365
1998-07,219231.1656298904
1998-08,195658.7258843385
1998-09,179129.43646354586
1998-10,187971.21033941602
1998-11,203235.91390172148
1998-12,215492.04451828223
1999-01,223593.7421023303
1999-02,222002.5813688871
1999-03,222850.22945560332
1999-04,223573.83971895676
1999-05,218064.4886690536
1999-06,224334.1413935362
1999-07,214487.71931115116
1999-08,220345.8788061359
1999-09,217565.83698715252
1999-10,234339.0023270487
1999-11,257493.5911319619
1999-12,290912.72534352815
2000-01,284209.8183647796
2000-02,309259.9733566764
2000-03,318884.4898432269
2000-04,319655.11158942315
2000-05,297612.8639469836
2000-06,293888.8890840813
2000-07,291621.9074427771
2000-08,297187.0509666383
2000-09,285153.9376335883
2000-10,290063.5176060664
2000-11,266329.02858185594
2000-12,262240.23210448516
2001-01,259686.51632609844
2001-02,232306.54859986017
2001-03,222624.99282191333
2001-04,238737.6838569017
2001-05,235262.23797559243
2001-06,225172.88508582092
2001-07,217485.45960882935
2001-08,198817.83680364548
2001-09,181284.37476398525
2001-10,191142.3389203355
2001-11,203332.65408418747
2001-12,210408.92273766536
2002-01,204600.35916577373
2002-02,205749.4763196367
2002-03,211325.65689982785
2002-04,202421.03754796865
