Date,MSCI USA
1978-12,10000
1979-01,10608.236014100143
1979-02,10296.588414454316
1979-03,10884.12948299342
1979-04,11010.674377605224
1979-05,10921.745761440096
1979-06,11214.327691172746
1979-07,10936.536781110352
1979-08,11516.732800342266
1979-09,11377.07218511331
1979-10,10696.395192449447
1979-11,11097.436637017536
1979-12,11027.769901803298
1980-01,11579.413159564396
1980-02,11570.992791233582
1980-03,11109.380106582114
1980-04,11732.571087331524
1980-05,11766.990688556967
1980-06,11972.900873018387
1980-07,12611.365425995933
1980-08,12952.355153753842
1980-09,13249.0829124236
1980-10,13927.442951335755
1980-11,15921.272961858442
1980-12,15853.848686982406
1981-01,15313.080003351179
1981-02,16704.798803231548
1981-03,17275.606610955816
1981-04,17408.404885312306
1981-05,18422.298308632977
1981-06,19091.76043348146
1981-07,19820.6841524128
1981-08,19198.924601172053
1981-09,17468.019609557046
1981-10,17794.473682572538
1981-11,18376.44037288091
1981-12,18138.2061967109
1982-01,18208.767052176947
1982-02,17845.96225896018
1982-03,18075.20812113406
1982-04,19161.582304584947
1982-05,17895.892517416447
1982-06,18699.21893834633
1982-07,18761.788528838504
1982-08,21202.385616189913
1982-09,21686.708332571663
1982-10,24392.208557064077
1982-11,25767.943790630474
1982-12,25156.70348114083
1983-01,25983.73429685471
1983-02,27028.55658387171
1983-03,28112.41361833851
1983-04,30764.657881689953
1983-05,30485.6343721148
1983-06,32644.995891306364
1983-07,32023.606065036925
1983-08,33745.74875035968
1983-09,34214.60908659449
1983-10,33280.654775675066
1983-11,34914.35099848095
1983-12,35612.54006844349
1984-01,36015.87616401853
1984-02,33473.136754560415
1984-03,32886.93091811067
1984-04,33825.36301664291
1984-05,33124.853450509094
1984-06,33833.13004857856
1984-07,34848.207830443636
1984-08,39079.48085467838
1984-09,41000.65879608137
1984-10,41970.154694796314
1984-11,40484.15620679292
1984-12,43155.502737293755
1985-01,47771.39819631346
1985-02,50150.91007950511
1985-03,50412.61996806395
1985-04,46832.980066751144
1985-05,50092.09236845231
1985-06,49952.65278770513
1985-07,47385.24720087323
1985-08,45354.42019359274
1985-09,44642.15438313894
1985-10,43811.19100150298
1985-11,45959.90373525523
1985-12,47198.68343728989
1986-01,46523.25778107529
1986-02,48086.644844804025
1986-03,49378.62168865626
1986-04,48955.692109788004
1986-05,50479.69369155077
1986-06,51351.8740777273
1986-07,47194.51237222733
1986-08,49169.76175807439
1986-09,44644.52586898491
1986-10,46661.36827309529
1986-11,48254.489325697716
1986-12,46376.604006181624
1987-01,49390.52571610308
1987-02,50268.26006436283
1987-03,51545.95208137332
1987-04,50421.18316651333
1987-05,50098.805886569804
1987-06,53644.8914271589
1987-07,57015.26356396453
1987-08,59729.58273057869
1987-09,56939.71883720197
1987-10,44536.53996140428
1987-11,38313.22345468794
1987-12,39769.809388861526
1988-01,41913.831936700306
1988-02,44935.57049396235
1988-03,42847.64308453215
1988-04,42986.719446074974
1988-05,43787.08568282934
1988-06,47531.58263737964
1988-07,49775.93563532586
1988-08,49188.25788016239
1988-09,50920.74008725356
1988-10,51186.62102773221
1988-11,48404.22759960158
1988-12,49251.11876749014
1989-01,55101.495497145894
1989-02,54114.24562286711
1989-03,55705.166991784594
1989-04,59059.536415694456
1989-05,63975.78374845027
1989-06,64888.58427476409
1989-07,67750.47334253987
1989-08,69841.99868745719
1989-09,70764.8047938013
1989-10,66560.96471395699
1989-11,66967.08603111653
1989-12,65662.23203525277
1990-01,59606.36236399301
1990-02,59694.99793924107
1990-03,62182.35188922934
1990-04,60140.201365542096
1990-05,64632.21981991391
1990-06,64833.38661033939
1990-07,62785.624565727914
1990-08,54537.076729198074
1990-09,52098.7349895035
1990-10,50421.45479075645
1990-11,52675.29406774311
1990-12,54784.268286367536
1991-01,57544.88259284109
1991-02,60503.30540882849
1991-03,67464.38895182028
1991-04,71343.53648107772
1991-05,75306.94371994302
1991-06,74541.18321233432
1991-07,78137.58237304144
1991-08,78275.17506354558
1991-09,74827.62188829678
1991-10,76021.42625153073
1991-11,70224.52269025617
1991-12,75763.53574261216
1992-01,75028.2248793459
1992-02,77565.30241446267
1992-03,78172.92478126289
1992-04,79737.10008561547
1992-05,78535.08446912117
1992-06,75125.2620625351
1992-07,74538.08594064978
1992-08,70919.00906395561
1992-09,73348.2209276703
1992-10,76867.92556927787
1992-11,84628.63748575706
1992-12,85509.7228288062
1993-01,87949.01484486906
1993-02,91328.30293878939
1993-03,93670.7369715786
1993-04,88490.40075692291
1993-05,90980.57754321705
1993-06,93930.17025463998
1993-07,97812.17763477346
1993-08,102123.25854193419
1993-09,97102.46511341412
1993-10,99974.94692408845
1993-11,101972.46643631149
1993-12,103168.77126207366
1994-01,108378.27761022
1994-02,104937.15987570769
1994-03,98329.06236045432
1994-04,100027.5703209473
1994-05,99517.25815940918
1994-06,95162.6041839291
1994-07,95359.56707944696
1994-08,99243.26651175813
1994-09,96119.58928856319
1994-10,96466.66095322692
1994-11,94577.74946954483
1994-12,97949.62166147807
1995-01,98616.07212028654
1995-02,101405.62578841198
1995-03,100100.31011431056
1995-04,101290.97790453573
1995-05,106896.95010775456
1995-06,108637.51864401941
1995-07,111046.94284786844
1995-08,114443.21443818745
1995-09,121137.39784559925
1995-10,119222.98666805078
1995-11,124760.15071750079
1995-12,128678.85103756706
1996-01,134916.18599572853
1996-02,137133.43038648207
1996-03,138463.5966667459
1996-04,141739.47521800926
1996-05,147320.10143080208
1996-06,147070.69260523727
1996-07,138494.17575847212
1996-08,140341.94503548756
1996-09,149518.78250788077
1996-10,153849.4734383301
1996-11,163385.7183980911
1996-12,163871.9626882448
1997-01,179893.14597298045
1997-02,189094.18352839554
1997-03,182763.54815206287
1997-04,195899.8614072812
1997-05,206400.9783598323
1997-06,218271.15161840452
1997-07,242125.65027648362
