Date,MSCI India
1992-12,10000
1993-01,9987.31866501854
1993-02,10488.404797297297
1993-03,8911.473264301478
1993-04,8050.57410838731
1993-05,8486.722215829703
1993-06,8839.460159025546
1993-07,9775.636363636364
1993-08,11182.94692136828
1993-09,11211.854517532634
1993-10,11155.090720759603
1993-11,13918.006523666016
1993-12,14758.16167272083
1994-01,17440.787068965517
1994-02,18581.46242061007
1994-03,16170.306964520369
1994-04,15843.268845545597
1994-05,15693.358700137553
1994-06,16218.369418132614
1994-07,16184.705606557378
1994-08,17506.59320531758
1994-09,16352.975742815393
1994-10,15892.76894409938
1994-11,15588.879974139321
1994-12,15100.96160316675
1995-01,13876.248905404316
1995-02,12999.101054650046
1995-03,12022.748947934266
1995-04,11196.585447423924
1995-05,11832.416521340065
1995-06,11350.446662621358
1995-07,11686.573206387286
1995-08,11606.860554568626
1995-09,11418.37944144567
1995-10,10946.909480169426
1995-11,9376.824450104192
1995-12,9914.574519796157
1996-01,9070.378352642438
1996-02,11141.415514764565
1996-03,11249.165512840964
1996-04,12751.758301158297
1996-05,12422.865912236422
1996-06,12832.439486226674
1996-07,11594.739188544152
1996-08,11259.739156484036
1996-09,10441.727958015264
1996-10,10246.743622876285
1996-11,9222.010866141733
1996-12,9956.746623742456
1997-01,11150.858234126985
1997-02,12439.992097316885
1997-03,11567.787606912203
1997-04,13105.786837486838
1997-05,12902.33680342927
1997-06,15056.977919320594
1997-07,15734.646153846154
1997-08,14429.873300289908
1997-09,14296.921409707677
1997-10,13559.751824034336
1997-11,11848.690077940277
1997-12,12380.122636927781
1998-01,11351.073806237924
1998-02,12519.310052327184
1998-03,13480.726361374735
1998-04,13669.095561453281
1998-05,11926.893439077146
1998-06,10518.8954248366
1998-07,10430.530373066422
1998-08,9520.666026280021
1998-09,9521.790479481644
1998-10,8477.4809218737
1998-11,8565.923294238508
1998-12,9222.170466144946
1999-01,10660.308151791987
1999-02,10645.669195861317
1999-03,12755.299348352262
1999-04,11323.00103802963
1999-05,13630.261744452944
1999-06,14366.757397366382
1999-07,15392.346025808865
1999-08,17014.922689870426
1999-09,16857.35752461322
1999-10,15982.048521955421
1999-11,17578.606160245614
1999-12,20218.601712124233
2000-01,22976.084036359924
2000-02,27399.254848672015
2000-03,25001.075473673187
2000-04,22157.387253714915
2000-05,19070.407997420185
2000-06,20545.857764755125
2000-07,18940.149302174617
2000-08,20528.823759263418
2000-09,18586.795071306333
2000-10,17698.706760128312
2000-11,18399.147167204057
2000-12,17082.53429339065
2001-01,18608.723469277953
2001-02,18018.865484429065
2001-03,15545.686956521738
2001-04,15119.180576836414
2001-05,16462.4925
2001-06,15611.771603773586
2001-07,14626.798766419188
2001-08,13788.335968552086
2001-09,11904.815069543312
2001-10,12826.816721964167
2001-11,14368.928118678354
2001-12,14527.86978327471
2002-01,15085.331295588745
2002-02,16009.662605479134
2002-03,15785.361623108665
2002-04,14611.815452930727
2002-05,13140.917098114414
2002-06,12739.501112781953
2002-07,12072.659061637534
2002-08,12760.032624834741
2002-09,12107.244219066935
2002-10,12088.161435523112
2002-11,13261.108975521303
2002-12,13231.32724325355
2003-01,12299.822374260355
2003-02,12514.859766277126
2003-03,11461.843230839837
2003-04,10728.439098014554
2003-05,10924.658095076975
2003-06,12916.164452612233
2003-07,13932.874606820993
2003-08,16294.876214880569
2003-09,16161.535530381048
2003-10,17901.289726381005
2003-11,17770.437718859426
2003-12,19595.563135391927
2004-01,19501.584786821706
2004-02,19205.691834433885
2004-03,19968.87761780105
2004-04,20096.344856449316
2004-05,16582.719626168222
2004-06,16704.490168654873
2004-07,18069.861450286568
2004-08,17956.919593757742
2004-09,19014.933483761786
2004-10,19215.696569050793
2004-11,20661.100413689357
2004-12,21641.41739960355
2005-01,22216.35341772152
2005-02,22446.82281059063
2005-03,22198.12030237581
2005-04,21028.389627228527
2005-05,24050.20079474495
2005-06,26647.06979821369
2005-07,28146.325576779953
2005-08,28002.629414658142
2005-09,31141.43976083707
2005-10,28010.854229393666
2005-11,31438.482997705833
2005-12,34375.42948207172
2006-01,35998.252384882
2006-02,37654.846181052635
2006-03,40622.660641110386
2006-04,40597.07441971763
2006-05,33948.391109729564
2006-06,35070.284496185
2006-07,34955.28500039164
2006-08,37998.53150727571
2006-09,41605.68739336493
2006-10,44243.152930056705
2006-11,44987.12263636363
2006-12,46496.737858769935
2007-01,48477.82056507642
2007-02,43430.861342820375
2007-03,44436.92058867697
2007-04,48769.41459757442
2007-05,52746.12247082435
2007-06,52955.5495890411
2007-07,55426.59610418034
2007-08,53694.118905508934
2007-09,60627.948092249106
2007-10,69618.81201633556
2007-11,66776.95012533027
2007-12,72010.40195638883
2008-01,61065.67932750504
2008-02,58437.24586272829
2008-03,48947.40963824944
2008-04,55321.31042471042
2008-05,49821.153675522306
2008-06,39422.68264399898
2008-07,42483.011799372245
2008-08,44482.69266372582
2008-09,37397.20934069776
2008-10,29989.856016304773
2008-11,26853.27678164532
2008-12,26938.903211899116
2009-01,28664.696067415734
2009-02,26042.7468838975
2009-03,27750.262128043283
2009-04,33257.05437288136
2009-05,42801.082309547455
2009-06,41763.94699306637
2009-07,45476.76972697694
2009-08,44560.69843049327
2009-09,48212.7791026429
