Date,MSCI Japan
1978-12,10000
1979-01,10108.139337558892
1979-02,9769.361783279008
1979-03,9422.420345525985
1979-04,9235.3826089426
1979-05,9482.519740612592
1979-06,9437.365147466055
1979-07,9076.325642121761
1979-08,9141.412438960255
1979-09,9217.616493168627
1979-10,8542.626188753278
1979-11,8170.239630939092
1979-12,8494.401833694465
1980-01,8580.87279320325
1980-02,8325.423623448514
1980-03,8523.615664240846
1980-04,9331.549102149595
1980-05,9461.430905766882
1980-06,9688.855196570355
1980-07,9095.879875387349
1980-08,9895.58351241258
1980-09,10524.408346098768
1980-10,11054.030562082597
1980-11,11076.93115233692
1980-12,12231.214705932935
1981-01,12513.271677539078
1981-02,13177.944380347657
1981-03,13979.237462097704
1981-04,15398.247131224274
1981-05,15922.34459145697
1981-06,17118.11444556023
1981-07,16993.578084780525
1981-08,18134.843799459555
1981-09,15679.331746887505
1981-10,15203.614801454387
1981-11,16413.883447911736
1981-12,16912.749261716497
1982-01,16887.30897202358
1982-02,16064.430908145976
1982-03,14789.783395176195
1982-04,16358.485348813592
1982-05,15198.106153031762
1982-06,15114.258520626565
1982-07,14867.63506440527
1982-08,15047.004937835136
1982-09,14610.695264876997
1982-10,14842.91732548936
1982-11,17891.28824226959
1982-12,19107.650418442896
1983-01,18191.45841177999
1983-02,18834.602929711957
1983-03,19692.32628918091
1983-04,20402.864136623957
1983-05,20580.55200936296
1983-06,21888.886600203263
1983-07,22371.834869466653
1983-08,22815.31180313957
1983-09,24635.12952242096
1983-10,24114.459564043304
1983-11,25068.05224647429
1983-12,27687.845098871403
1984-01,29638.063820520478
1984-02,28647.044714481708
1984-03,32615.434550797665
1984-04,32472.16195965412
1984-05,29541.71946230307
1984-06,29678.510069894724
1984-07,28628.01798405985
1984-08,31437.10676678144
1984-09,32786.38374277586
1984-10,35033.87720698379
1984-11,34353.88115668315
1984-12,37084.634810608964
1985-01,37803.95985063379
1985-02,40504.7980236782
1985-03,42918.955620216235
1985-04,38591.858158443334
1985-05,40223.94750862937
1985-06,41313.84307875805
1985-07,39504.24893137268
1985-08,39072.603859979085
1985-09,43927.65928628428
1985-10,42537.51135774854
1985-11,42346.05323717519
1985-12,43801.73921228146
1986-01,44094.44742362234
1986-02,47473.42884897691
1986-03,56081.177228797256
1986-04,58533.89865696227
1986-05,57147.732067326404
1986-06,63220.269364496475
1986-07,69496.91003876935
1986-08,73557.10060516895
1986-09,74819.42102903669
1986-10,64134.00537404421
1986-11,69102.7348405461
1986-12,73140.70869779521
1987-01,79828.0555122991
1987-02,79842.34179905908
1987-03,88462.6242683598
1987-04,101065.87751031666
1987-05,99679.99524332889
1987-06,93970.65653469927
1987-07,92009.95037680023
1987-08,104300.33171615875
1987-09,98009.39918923838
1987-10,90017.44344134962
1987-11,87975.45467113532
1987-12,86425.80419584684
1988-01,92055.1414314264
1988-02,101887.38920261766
1988-03,108098.95772167319
1988-04,108589.40395950932
1988-05,104722.46199031851
1988-06,104535.46191270274
1988-07,114854.44912317513
1988-08,108575.15594974092
1988-09,112443.99355855957
1988-10,118830.61822921154
1988-11,124282.32453833499
1988-12,125142.18747724139
1989-01,130501.97772201021
1989-02,134690.49827468398
1989-03,130868.6148119388
1989-04,131394.97322211007
1989-05,129289.9930546308
1989-06,125738.14492679301
1989-07,136220.75214606826
1989-08,128796.20053047262
1989-09,139118.66366961892
1989-10,130385.01911762489
1989-11,135087.03470744763
1989-12,129303.36399323116
1990-01,117976.49570894676
1990-02,104390.10357943618
1990-03,85632.8366803762
1990-04,85613.8602548613
1990-05,96280.92993509088
1990-06,92417.84420941211
1990-07,88429.24025416082
1990-08,76322.58950607904
1990-09,63948.27824920441
1990-10,77134.05537140818
1990-11,66533.12300149433
1990-12,70493.70114345747
1991-01,72687.94265555618
1991-02,80503.00537685436
1991-03,82185.11001221246
1991-04,88732.47104778669
1991-05,89517.33231262268
1991-06,86184.96764354536
1991-07,88976.32515340293
1991-08,82223.24619739606
1991-09,86948.56801497728
1991-10,90596.55959196166
1991-11,81059.8358680508
1991-12,80978.86274172319
1992-01,77781.99982140832
1992-02,72872.1809866014
1992-03,66720.06329825688
1992-04,62058.559210841944
1992-05,65752.84376556553
1992-06,58042.06966990741
1992-07,54658.45614119831
1992-08,62729.714962527825
1992-09,62651.15592029172
1992-10,62237.75542918557
1992-11,68039.82645245896
1992-12,67002.1985226503
1993-01,68099.69407423754
1993-02,72830.8359296359
1993-03,83498.5674229031
1993-04,95006.71702589681
1993-05,97877.53771180646
1993-06,99350.6085695843
1993-07,110137.9278826231
1993-08,113414.67669014401
1993-09,103742.57616510584
1993-10,104496.32474625361
1993-11,89507.52720524011
1993-12,92318.3703336693
1994-01,108690.88462549694
1994-02,113237.43147629203
1994-03,106166.14395849274
1994-04,111026.25337522641
1994-05,111031.22349196642
1994-06,114628.65272509804
1994-07,107118.683781968
1994-08,107984.77289153475
1994-09,104203.29858840916
1994-10,105027.34628600988
1994-11,101238.12890709647
1994-12,104507.29211875147
1995-01,96413.75935107957
1995-02,90765.98563110178
1995-03,95280.52854907693
1995-04,98032.4430910725
1995-05,93387.32808611472
1995-06,88196.91007531354
1995-07,94123.52806369873
1995-08,93087.3826206481
1995-09,95093.93360373074
1995-10,88390.61383478546
1995-11,93836.72399684522
1995-12,100208.2022341836
1996-01,100103.74677053482
1996-02,98898.52840593658
1996-03,102335.39835728527
1996-04,109088.14044980139
1996-05,104741.24672809664
1996-06,104490.5380061772
1996-07,98306.73402660096
1996-08,93073.17993625412
1996-09,97143.99912456823
1996-10,90919.53289592195
1996-11,91475.76837387383
1996-12,87048.47001980044
1997-01,79694.78707784692
1997-02,85121.21951769607
1997-03,83283.87326404576
1997-04,86785.27396228543
1997-05,96087.51782695847
1997-06,104441.46953436694
1997-07,104089.51157752772
1997-08,97786.22956984126
1997-09,93794.32913357671
1997-10,83525.65436411992
1997-11,76797.01736978006
1997-12,74367.49129349836
1998-01,82877.74720501756
1998-02,83137.93804767726
1998-03,77778.88145796875
1998-04,76950.68973690533
1998-05,71624.70527655444
1998-06,73169.03871071665
1998-07,72387.02717069566
1998-08,63881.68092469811
1998-09,59249.44559103796
1998-10,66641.53114078921
1998-11,71716.41241378643
1998-12,74028.68833786283
1999-01,77014.47212083478
1999-02,77838.99662622776
1999-03,90925.84905654936
1999-04,96030.40244937946
1999-05,91852.73987837943
1999-06,101805.68142641497
1999-07,108150.40799050653
1999-08,108637.28296448413
1999-09,114248.02908678494
1999-10,121575.44624416411
1999-11,131272.53654496066
1999-12,140141.25631218124
2000-01,137577.0803636203
2000-02,135086.00877652693
2000-03,148704.65700339005
2000-04,144621.5396935644
2000-05,134058.30075099706
