Date,FTSE Japanese Government Bond
1985-01,10000
1985-02,10243.92292791518
1985-03,9873.243281893941
1985-04,9953.187518938505
1985-05,9944.297047743532
1985-06,10026.14138549343
1985-07,9867.912999388967
1985-08,9928.696220899708
1985-09,10725.848469968909
1985-10,10430.302806048721
1985-11,10680.096045090391
1985-12,10829.003937208672
1986-01,11206.803960609914
1986-02,11548.732082800389
1986-03,12475.99122753506
1986-04,12437.019162015587
1986-05,12517.403422381387
1986-06,12852.451179912536
1986-07,13335.586786099664
1986-08,13195.58936623641
1986-09,13085.483530627123
1986-10,12752.615888642098
1986-11,12457.620253873456
1986-12,12548.955094620016
1987-01,12592.397397062045
1987-02,12801.638486839804
1987-03,13451.67293866575
1987-04,14085.666540326638
1987-05,14092.266890145178
1987-06,13546.337955911664
1987-07,13204.65984697189
1987-08,13579.489712954788
1987-09,12924.535000355017
1987-10,13440.872366235411
1987-11,13468.843848723984
1987-12,14278.48675979827
1988-01,14640.015920843805
1988-02,14711.649717435024
1988-03,14967.423273433493
1988-04,15146.1727471556
1988-05,15456.969219368628
1988-06,15201.725691461648
1988-07,15735.203965810191
1988-08,15251.258316690786
1988-09,15729.493663164149
1988-10,16334.265716082953
1988-11,16506.014818785396
1988-12,16453.07201281668
1989-01,16644.782173455194
1989-02,16525.475850220064
1989-03,16364.68732842841
1989-04,16265.872091220836
1989-05,15933.984501178564
1989-06,15601.72689152525
1989-07,15861.370652644591
1989-08,15813.258102679443
1989-09,15778.026235390475
1989-10,15041.00717338019
1989-11,14657.166829841983
1989-12,13839.613499515475
1990-01,13206.309934426523
1990-02,12804.248625177135
1990-03,11863.85878451558
1990-04,11810.965981197003
1990-05,12763.956489693954
1990-06,12336.323825162734
1990-07,12137.253274423545
1990-08,11932.642430048792
1990-09,12304.532140203431
1990-10,13128.88583094904
1990-11,13055.051917751642
1990-12,12985.098210205142
1991-01,13407.100576330546
1991-02,13829.832981148002
1991-03,14475.897222552794
1991-04,15053.387829554968
1991-05,15285.750144757672
1991-06,15903.022860211595
1991-07,15670.360529108044
1991-08,15983.1971094468
1991-09,16051.440726358498
1991-10,16538.93656363787
1991-11,16384.95840279535
1991-12,16372.717754040965
1992-01,17267.695187844958
1992-02,17126.26769218769
1992-03,16858.43349697534
1992-04,16673.643703116268
1992-05,17102.40642754066
1992-06,16781.239405688506
1992-07,16520.04556241481
1992-08,16507.0848754984
1992-09,17788.282778987286
1992-10,19021.988165372764
1992-11,19650.221461737474
1992-12,20125.466649732436
1993-01,20316.626781219406
1993-02,22634.02960356899
1993-03,22333.583679935036
1993-04,22528.263997991893
1993-05,23383.909347195404
1993-06,25534.793344047237
1993-07,27696.127894778423
1993-08,27044.41335390776
1993-09,26606.800160408504
1993-10,26949.728335601787
1993-11,27933.60048082548
1993-12,27726.249491223036
1994-01,27430.28380504167
1994-02,28024.53530037092
1994-03,28061.987285326122
1994-04,28204.454836106313
1994-05,27565.220956710706
1994-06,27965.64217903549
1994-07,27424.46349656532
1994-08,26970.029411558815
1994-09,27194.551311219497
1994-10,26964.269106262633
1994-11,27695.26784919601
1994-12,27446.07464195602
1995-01,27304.087116617186
1995-02,27864.536820451485
