Date,TRINIDAD AND TOBAGO SMALL CAP
2014-05,1000.0
2014-06,1003.0305385033807
2014-07,994.787816437812
2014-08,1047.190525391902
2014-09,1045.6332728697812
2014-10,1026.786832623169
2014-11,1049.8235178063917
2014-12,1103.693562630427
2015-01,1314.8202838276175
2015-02,1302.5621233310533
2015-03,1144.831511376167
2015-04,1109.986483440657
2015-05,1110.003960515233
2023-03,1015.286190978721
2023-04,1002.5011078563845
2023-05,828.7476040730731
