Date,SERBIA SMALL CAP
2010-11,1000.0
2010-12,1054.0408201259004
2011-01,1183.564399398113
2011-02,1235.1303344611933
2011-03,1270.4218740997276
2011-04,1300.0445059210422
2011-05,1250.6276942810318
2011-06,1182.4451194546727
2011-07,1079.9664243550953
2011-08,967.9238089844023
2011-09,780.7126389814944
2011-10,812.2365187958422
2011-11,690.2338203019765
2011-12,672.748148050305
2012-01,733.6051031097509
2012-02,769.4338938992806
2012-03,762.9133625074091
2012-04,708.8119710871479
2012-05,558.2027235333001
2012-06,551.0511608040485
2012-07,533.3380931726322
2012-08,562.8993118344428
2012-09,599.3421256746466
2012-10,655.0240258061918
2012-11,677.1593722793264
2012-12,714.4384404984593
2013-01,800.3935622368056
2013-02,749.8520962327422
2013-03,772.8796839228398
2013-04,766.8813888564005
2013-05,693.5442641014585
2013-06,631.3649659736687
2013-07,678.799098881852
2013-08,706.7146480968859
2013-09,762.9180732504602
2013-10,781.9937356981062
2013-11,818.6977638078869
2013-12,848.5029094496447
2014-01,845.494750042083
2014-02,893.0016457637921
2014-03,976.6507526401402
2014-04,974.1471198235951
2014-05,1003.1718486312184
2014-06,946.6021700571837
2014-07,987.5110181538067
2014-08,1078.1261513378272
2014-09,1145.1892444527507
2014-10,1133.3970375722351
2014-11,1183.183764712272
2014-12,1145.2893504474744
2015-01,1062.9584269762613
2015-02,1105.4195749061564
2015-03,1175.8965862382684
2015-04,1392.3157689593663
2015-05,1470.0673753677038
2015-06,1389.0621322670486
2015-07,1444.625770457419
2015-08,1368.2942488860667
2015-09,1290.2128867270683
2015-10,1287.531860864826
2015-11,1195.4923251735852
2015-12,1378.0391218066795
2016-01,1306.3263933642622
2016-02,1213.3624590400725
2016-03,1350.172806400028
2016-04,1484.366309891972
2016-05,1546.9153669497962
2016-06,1606.2239290184377
2016-07,1658.5483260299266
2016-08,1677.6897440667367
2016-09,1690.4562704159198
2016-10,1788.0990268480218
2016-11,1816.0117102935444
2016-12,1815.0627287454627
2017-01,1681.6031835324998
2017-02,1693.4309857364935
2017-03,1907.8718190011873
2017-04,1796.292775
2017-05,2002.81094
2017-06,2063.660148
2017-07,2222.778898
2019-11,1000.1813900133465
2019-12,1197.208795590412
2020-01,1269.1260496291532
2020-02,1231.9836928135126
2020-03,880.0458129743013
2020-04,992.3510511538734
2020-05,1069.7407847403283
2020-06,1095.6605252291479
2020-07,1137.073521279208
2020-08,1181.025411382582
2020-09,1161.4925110493928
2020-10,1140.2059945281817
2020-11,1186.526882846756
2020-12,1354.8755938678594
2021-01,1297.9334900988629
2021-02,1297.9819284414832
2021-03,1256.15256599491
2021-04,1287.6596449390595
