Date,LEBANON SMALL CAP
2010-11,1000.0
2010-12,1052.7455574517332
2011-01,1093.853835295239
2011-02,1081.1612150149924
2011-03,1086.7745898497374
2011-04,1110.08080269366
2011-05,1075.0123519882104
2011-06,1042.1172928075323
2011-07,1037.371803557471
2011-08,1026.2225286772318
2011-09,1027.5491657813257
2011-10,1005.029509836832
2011-11,998.0729587466149
2011-12,1016.786826723114
2012-01,998.0729587466153
2012-02,1023.0247827152805
2012-03,1072.9284306526115
2012-04,1079.4166583304816
2012-05,1065.9239501013506
2012-06,1026.20154680647
2012-07,1037.0450327740089
2012-08,1049.4768094092553
2012-09,1026.6973291004106
2012-10,1020.7896069538047
2012-11,1027.0597765720022
2012-12,1040.2695486179443
2013-01,1043.57199162943
2013-02,1089.8061937902276
2013-03,990.7329034456615
2013-04,1023.7573335605168
2013-05,1013.8500045260605
