Date,KOREA SMALL CAP
1994-05,772.2559678524474
1994-06,801.5794435728577
1994-07,816.6037213634188
1994-08,790.3504760736023
1994-09,829.6417049781471
1994-10,966.170870020082
1994-11,980.0010884492659
1994-12,1032.9655858298113
1995-01,912.6529012491326
1995-02,836.7274236476832
1995-03,886.482175692759
1995-04,827.0526060904643
1995-05,819.4136936202599
1995-06,828.9563848688937
1995-07,863.8905826898483
1995-08,829.637268466186
1995-09,881.2505586143108
1995-10,870.6035420644623
1995-11,830.7682919936375
1995-12,752.6277966933578
1996-01,747.6398592210053
1996-02,710.440277743713
1996-03,711.8357996984879
1996-04,837.2190869112087
1996-05,812.1104031619163
1996-06,723.8892261117575
1996-07,761.5996062234346
1996-08,713.915055033479
1996-09,732.1039568718595
1996-10,738.252597801475
1996-11,705.6708014791809
1996-12,606.106449415527
1997-01,631.8891848883801
1997-02,645.1678313572397
1997-03,615.7722257186583
1997-04,656.9879278971528
1997-05,662.9210082317583
1997-06,643.7575209853095
1997-07,614.6716483688078
1997-08,581.53181108796
1997-09,534.6139419432649
1997-10,374.6302478564903
1997-11,243.2945349828309
1997-12,122.62359059978316
1998-01,197.0898765932666
1998-02,176.3769074839197
1998-03,192.7250108780578
1998-04,156.68732517163883
1998-05,119.9119414139764
1998-06,106.55741917417896
1998-07,140.71936645493545
1998-08,113.26586259728396
1998-09,109.92378036814624
1998-10,134.82187823088475
1998-11,187.20130476713408
1998-12,253.58148424437687
1999-01,267.9599863004164
1999-02,236.41131436121364
1999-03,281.7292362884171
1999-04,387.3415985951742
1999-05,360.96139576970035
1999-06,390.07750540280864
1999-07,400.1186082618983
1999-08,382.6452261637669
1999-09,325.88705781878866
1999-10,331.6511181930863
1999-11,359.30394796895996
1999-12,324.80246364558985
2000-01,312.9709689676062
2000-02,296.0254004453952
2000-03,293.9296499706462
2000-04,242.48594893483292
2000-05,216.50343819556323
2000-06,236.73122573986515
2000-07,223.27703653622518
2000-08,227.78891657743475
2000-09,205.02552987578193
2000-10,174.1585602513587
2000-11,157.4444740965458
2000-12,139.09974682289925
2001-01,186.577694868841
2001-02,186.16067193886764
2001-03,157.37191636712603
2001-04,174.3698954072254
2001-05,207.82020148597582
2001-06,204.3570148114586
2001-07,175.6617969387175
2001-08,176.51489231708217
2001-09,157.87602479460645
2001-10,176.45421124575122
2001-11,212.6332989591793
2001-12,216.67257312164173
2002-01,249.43417875284683
2002-02,269.3179194918386
2002-03,309.1373964973718
2002-04,269.51202938591933
2002-05,263.74850962411534
2002-06,241.53539827664324
2002-07,246.9467733356283
2002-08,252.07782823083073
2002-09,205.28384555942088
2002-10,211.48974928632668
2002-11,237.61503633711538
2002-12,211.4479227588065
2003-01,206.55880851177653
2003-02,205.0285319340242
2003-03,185.27411481817228
2003-04,217.69156046194362
2003-05,246.55674164406753
2003-06,258.91671730501656
2003-07,267.6252745833365
2003-08,290.3315971132466
2003-09,266.64893252776744
2003-10,282.8277692225352
2003-11,294.0694486518298
2003-12,311.49407472136227
2004-01,311.9027474893337
2004-02,317.3224481039227
2004-03,323.72243314585063
2004-04,315.99024503920606
2004-05,287.03725695210437
2004-06,288.7744216811558
2004-07,263.8730605253543
2004-08,296.7830771840424
2004-09,313.85338760758515
2004-10,328.492830448378
2004-11,373.4135266810485
2004-12,384.5403994690221
2005-01,403.18790316427436
2005-02,460.6746195493035
2005-03,435.08457234910065
2005-04,415.0806549166958
2005-05,436.46239686670833
2005-06,468.2447732465897
2005-07,501.2231245862599
2005-08,493.7650544683596
2005-09,566.4063092198612
2005-10,551.6659459727929
2005-11,649.2986472136512
2005-12,668.4084559275906
2006-01,692.8737760750757
2006-02,688.7882221535655
2006-03,687.25939832148
2006-04,740.9103636406444
2006-05,682.9980978141926
2006-06,641.8066043170973
2006-07,629.7386835651633
2006-08,657.2582344519252
2006-09,692.1593742885344
2006-10,700.8776503107696
2006-11,765.6827050549858
2006-12,759.2043297755081
2007-01,689.0299849718155
2007-02,721.3496291392987
2007-03,768.5532309231105
2007-04,851.3752237224186
2007-05,1000.0
2007-06,1049.7573705324214
2007-07,1197.5941893042097
2007-08,1143.4311306141126
2007-09,1199.4461915544755
2007-10,1325.1754038852816
2007-11,1147.310288313953
2007-12,1122.894329761673
2008-01,944.3858146475617
2008-02,1018.8901551456986
2008-03,927.2721319185728
2008-04,963.321480102382
2008-05,952.0111688535745
2008-06,890.5591838382171
2008-07,841.7975618733237
2008-08,714.8968873873816
2008-09,613.4189297669317
2008-10,393.5180142388382
2008-11,363.5611499840768
