Date,PHILIPPINES SMALL CAP
1994-05,1557.5756994967476
1994-06,1471.222003294163
1994-07,1487.0240197679866
1994-08,1715.7697262346985
1994-09,1759.6073331352736
1994-10,1964.3986382270257
1994-11,1835.6271691907625
1994-12,1794.5800155085037
1995-01,1597.0767866387232
1995-02,1548.485586962142
1995-03,1463.0145110645396
1995-04,1455.5387389537368
1995-05,1583.1626748134581
1995-06,1674.1699908406842
1995-07,1681.3423287564174
1995-08,1644.392588717359
1995-09,1624.8232054287396
1995-10,1567.3397371334784
1995-11,1435.5433105895104
1995-12,1439.9585677117902
1996-01,1476.0845894078036
1996-02,1487.6865546937809
1996-03,1501.84353910793
1996-04,1700.9773608280307
1996-05,1805.8117657739153
1996-06,1831.6312646356505
1996-07,1710.4868568379545
1996-08,1768.951411210472
1996-09,1818.450231717577
1996-10,1778.5913273336955
1996-11,1858.8048565441757
1996-12,1873.9213737440696
1997-01,2107.2571163900043
1997-02,2246.7743023140397
1997-03,2143.3521672070206
1997-04,1816.1378032146827
1997-05,1762.881712301776
1997-06,1737.609374515799
1997-07,1425.3463662312183
1997-08,1181.1323452656661
1997-09,940.6761403933624
1997-10,833.4747312228179
1997-11,714.8828859100616
1997-12,607.9092342545122
1998-01,505.9619345321428
1998-02,673.8631055897304
1998-03,735.8985668912705
1998-04,628.4000009148897
1998-05,630.497734187457
1998-06,513.6972292392034
1998-07,449.04857541785213
1998-08,337.29760270915847
1998-09,324.49645214005204
1998-10,513.5243527488437
1998-11,589.6811879169895
1998-12,546.3895130457173
1999-01,552.5618023116308
1999-02,553.0781257033973
1999-03,557.553793190593
1999-04,712.8632575628994
1999-05,751.1973874281726
1999-06,868.9717277134766
1999-07,848.2204459012087
1999-08,803.6929000596841
1999-09,755.5295747092705
1999-10,779.801931167151
1999-11,734.1433640510581
1999-12,759.7392682647932
2000-01,703.8377938751287
2000-02,639.9767031000345
2000-03,624.7328788663965
2000-04,582.1288232397986
2000-05,517.6631472547642
2000-06,509.5557333571097
2000-07,460.10309620308675
2000-08,458.9892757083784
2000-09,398.6196565080463
2000-10,317.8535529908715
2000-11,353.86178215728387
2000-12,358.1028585657972
2001-01,411.59044099904924
2001-02,404.99371466360174
2001-03,359.2873792836777
2001-04,332.3393075834891
2001-05,361.6690512092262
2001-06,352.4593097462352
2001-07,347.81340625541424
2001-08,347.5146341665189
2001-09,305.7713351410061
2001-10,279.0177387994777
2001-11,304.32029495017315
2001-12,321.9080894100024
2002-01,355.8875892788716
2002-02,359.33554025531726
2002-03,365.5057985810084
2002-04,359.77204079302237
2002-05,360.58338076158964
2002-06,313.5967849332882
2002-07,287.4750019830808
2002-08,296.8146050523266
2002-09,301.67257898528413
2002-10,241.03334481439248
2002-11,205.91581800817164
2002-12,212.7166146233935
2003-01,213.69664381534434
