Date,PAKISTAN SMALL GROWTH
2017-05,1000.0
2017-06,895.0816285167683
2017-07,854.660464
2017-08,730.980005
2017-09,716.860283
2017-10,659.344739
2017-11,659.622958
2017-12,618.654964
2018-01,688.647861
2018-02,662.555744
2018-03,660.076934
2018-04,669.5854347425714
2018-05,631.7840234743625
2018-06,585.739495998106
2018-07,588.3685708259918
2018-08,584.9946350008029
2018-09,556.1984209190331
2018-10,538.7467726538093
2018-11,496.97719631087836
2018-12,438.90865226458527
2019-01,482.3470102450488
2019-02,468.4035496636103
2019-03,454.4596796670189
2019-04,423.7010303895101
2019-05,402.8122684064892
2019-06,355.4642546736033
2019-07,336.74654535552344
2019-08,322.12288959729904
2019-09,338.3544094588207
2019-10,356.5722358848319
2019-11,428.15245531730875
2019-12,433.6533552697473
2020-01,451.6702463798188
2020-02,427.93062622707913
2020-03,306.2870534154347
2020-04,381.00580323729366
2020-05,366.7978608048734
2020-06,356.4803376046943
2020-07,416.2186954733554
2020-08,429.11003419228075
2020-09,430.5754237592692
2020-10,445.6744338463294
2020-11,453.43284481575097
2020-12,471.5635626780226
2021-01,490.34110680022576
2021-02,540.7861726760804
2021-03,537.6877793027408
2021-04,523.8609854218114
2021-05,561.6340823778705
2021-06,537.4135980006499
2021-07,507.7536069755711
2021-08,499.9896022932213
2021-09,477.0490096649939
2021-10,466.3303315755375
2021-11,419.8718795725204
