Date,MAURITIUS SMALL CAP
2010-11,1000.0
2010-12,996.8886872885897
2011-01,1034.1049870054433
2011-02,1064.8405709418996
2011-03,1095.6432911608717
2011-04,1121.8066948598407
2011-05,1164.5622311275251
2011-06,1156.9878258681995
2011-07,1156.5725900201664
2011-08,1166.411408930642
2011-09,1107.990839884576
2011-10,1106.8401051586204
2011-11,1095.0062879489608
2011-12,1084.993928534029
2012-01,1095.5362316439866
2012-02,1090.081648413045
2012-03,1055.2452066940398
2012-04,1094.3455428413345
2012-05,1080.276544292515
2012-06,968.6776562076254
2012-07,999.8165629033961
2012-08,877.8909761636954
2012-09,862.1104244852597
2012-10,839.2105678335464
2012-11,874.3435078731713
2012-12,894.637865283946
2013-01,984.3671745478441
2013-02,996.6253752629001
2013-03,1023.5620395289893
2013-04,1005.5749448981406
2013-05,1005.2461946321173
2013-06,997.0587521329188
2013-07,949.3819270239304
2013-08,960.0831013138051
2013-09,1060.1029935570866
2013-10,1151.2539708130828
2013-11,1093.820684324655
2013-12,1134.9132361211846
2014-01,1091.0864902826838
2014-02,1089.2851177543582
2014-03,1086.069416784125
2014-04,1112.5633244174678
2014-05,1065.9141578385231
2014-06,1093.9900425746648
2014-07,1083.5891191590747
2014-08,1081.1603583026317
2014-09,1097.0535121096195
2014-10,1052.3475412215519
2014-11,1024.6296981247053
2014-12,986.6454759081697
2015-01,895.4279956103522
2015-02,862.2876311679693
2015-03,805.3672516101628
2015-04,810.4491048027559
2015-05,789.6303299369539
2015-06,804.5345602142417
2015-07,784.7978808828624
2015-08,796.4797113130178
2015-09,781.3544454406133
2015-10,774.5467311043243
2015-11,741.5217211890176
2015-12,744.6714962197027
2016-01,806.3987464563468
2016-02,770.9760770219009
2016-03,786.1973918920017
2016-04,779.6832049012062
2016-05,730.2949881051097
2016-06,722.0544063003796
2016-07,765.9211172818729
2016-08,773.3353647106466
2016-09,760.2852338938976
2016-10,739.3165157681767
2016-11,735.8358481754619
2016-12,738.7333508856783
2017-01,792.8269928065563
2017-02,794.9993531700966
2017-03,797.5407077774155
2017-04,874.073563
2017-05,880.230203
2017-06,880.22816
2017-07,924.288134
2017-08,947.796931
2017-09,911.256174
2017-10,877.096706
2017-11,905.951155
2017-12,896.936557
2018-01,969.99177
2018-02,930.954737
2018-03,931.398929
2018-04,889.8427621166935
2018-05,871.6721923990825
2018-06,859.2990638652252
2018-07,893.3288241979354
2018-08,855.8010735980266
2018-09,845.8789411403374
2018-10,842.0817470065521
2018-11,822.8182923827491
2018-12,813.0539644513532
2019-01,818.1072706873146
2019-02,802.7573369658825
2019-03,751.7324400181868
2019-04,728.0147619934969
2019-05,692.0918772578684
2019-06,697.7436155292969
2019-07,708.5494119340717
2019-08,675.2145394968579
2019-09,630.208229360179
2019-10,659.8813159824101
2019-11,663.1660198618985
2019-12,679.3217205787103
2020-01,647.0321262293
2020-02,579.9260632155899
2020-03,411.72368995108127
2020-04,429.6104551017547
2020-05,439.1403060303627
2020-06,472.59924385510664
2020-07,435.2818089995028
2020-08,422.7912642573999
2020-09,402.9238964424493
2020-10,370.57237680326205
2020-11,420.6000280575053
2020-12,473.787676595282
2021-01,466.67842090270733
2021-02,463.71418115978224
2021-03,523.0195313863843
2021-04,565.0959441780644
2021-05,598.8543611460991
2021-06,599.4567877283209
2021-07,597.2006953825809
2021-08,631.283320372938
2021-09,599.0355245225035
2021-10,593.6361813311487
2021-11,546.2989444682813
2021-12,611.6879204785184
2022-01,644.488349573404
2022-02,638.1311515674074
2022-03,694.074936379706
2022-04,756.2596159040702
2022-05,729.3597290566985
