Date,ESTONIA SMALL CAP
2010-11,1000.0
2010-12,1027.5185997143567
2011-01,1171.9500332578737
2011-02,1188.8434534439905
2011-03,1209.930972534815
2011-04,1225.3620858820884
2011-05,1158.2521066258435
2011-06,1170.8345986809397
2011-07,1191.46580312617
2011-08,1058.4521366134568
2011-09,887.5530106221854
2011-10,1001.9815856779095
2011-11,970.8703768371341
2011-12,895.0808641615719
2012-01,900.4918173451597
2012-02,1047.572686989055
2012-03,1036.5087145060247
2012-04,1084.3899112669928
2012-05,983.1095142880458
2012-06,1065.6639367170892
2012-07,1091.8093312887174
2012-08,1107.3656750175985
2012-09,1126.0601381057713
2012-10,1193.5897800208618
2012-11,1117.985653434373
2012-12,1193.745145236739
2013-01,1256.5827818715682
2013-02,1208.1126266518029
2013-03,1276.6140823083053
2013-04,1279.2165143880834
2013-05,1245.2187507505907
2013-06,1260.9064993028508
2013-07,1376.652262530251
2013-08,1355.1661403330504
2013-09,1397.1930391425444
2013-10,1437.1961070816812
2013-11,1466.5965847083394
2013-12,1457.4944640788851
2014-01,1435.3177854637893
2014-02,1474.9556911598415
2014-03,1413.5845019998408
2014-04,1421.6173430790157
2014-05,1462.521615194378
2014-06,1506.3946782175287
2014-07,1451.177702247994
2014-08,1391.7055042527204
2014-09,1325.0029837928455
2014-10,1345.5558727629048
2014-11,1354.1589277178468
2014-12,1236.6819416321166
2015-01,1238.2142797359147
2015-02,1273.5745512543228
2015-03,1280.5587533424343
2015-04,1407.7098857420692
2015-05,1362.5215466562563
2015-06,1323.8478776513755
2015-07,1318.60764539535
2015-08,1344.0281794720377
2015-09,1334.3141902682303
2015-10,1356.2172998703818
2015-11,1329.0786075233207
2015-12,1382.6348545523838
2016-01,1346.069912287674
2016-02,1414.989031841579
2016-03,1551.4869078243698
2016-04,1577.8243932709152
2016-05,1498.267453101617
2016-06,1491.004628925291
2016-07,1547.8288971892118
2016-08,1574.6447666524302
2016-09,1597.0528162307585
2016-10,1623.945220238729
2016-11,1562.6227163656943
2016-12,1592.2697708301691
2017-01,1691.7780404066677
2017-02,1693.6388023823981
2017-03,1739.9671942527013
2017-04,1771.012317
2017-05,1829.09888
2017-06,1892.556644
2017-07,2015.5779
2017-08,2130.188024
2017-09,2065.629393
2017-10,1998.062218
2017-11,2023.479845
2017-12,1939.443553
2018-01,2134.40087
2018-02,2158.658049
2018-03,2205.221727
2018-04,2175.827795913926
2018-05,2044.8289566142557
2018-06,2054.8022614002457
2018-07,2070.3428604370965
2018-08,2027.89944354964
2018-09,2038.4706193688673
2018-10,1906.30983999781
2018-11,1878.366086920331
2018-12,1813.4205864223866
2019-01,1983.0732314511677
2019-02,2006.8280866773819
2019-03,2015.4940698747457
2019-04,2029.2363280338948
2019-05,2000.0401973064206
2019-06,2112.7373307545236
2019-07,2097.020570071351
2019-08,2073.179410566893
2019-09,2026.703166835548
2019-10,2125.448884966499
2019-11,2099.482315307488
2019-12,2174.0456324616216
2020-01,2312.5089219567753
2020-02,2210.0662961221615
2020-03,1870.9021829139972
2020-04,2100.1319702460323
2020-05,2202.89754404355
2020-06,2349.7706319568642
2020-07,2521.5144579380035
2020-08,2518.747536037196
2020-09,2458.4845002855955
2020-10,2529.3834598345934
2020-11,3033.5878218194252
2020-12,3296.995994763866
2021-01,3840.159800933439
2021-02,3646.7229894381653
2021-03,3606.379920877738
2021-04,3916.5363446256047
2021-05,4001.0079412417676
2021-06,3977.967013328567
2021-07,4006.783506788692
2021-08,4252.331820545033
2021-09,3975.458186065463
2021-10,3975.989030222777
2021-11,3906.7214539785914
2021-12,3970.866724841885
2022-01,3857.5018292923123
2022-02,3783.122381844397
2022-03,3729.954947500976
2022-04,3528.8977813486026
2022-05,3458.947154635823
2022-06,3238.788530859877
2022-07,3152.8596007501046
2022-08,3070.6134150084245
2022-09,2868.7260660203315
2022-10,2873.2714196550214
2022-11,3123.7507481405896
2022-12,3234.2305299023055
2023-01,3429.160056236952
2023-02,3429.816776155411
2023-03,3503.76894256179
2023-04,3586.3146248773432
2023-05,3383.733616594544
2023-06,3513.639527685245
2023-07,3645.083565874701
