Date,BULGARIA SMALL CAP
2010-11,1000.0
2010-12,1017.7368960077199
2011-01,1031.8841630709355
2011-02,1247.4430157802456
2011-03,1219.789310945223
2011-04,1277.4119293472922
2011-05,1211.5629471624318
2011-06,1155.789212511062
2011-07,1152.2572027805859
2011-08,1049.5303727081657
2011-09,934.0028032966485
2011-10,915.6474419439984
2011-11,742.0474872571191
2011-12,756.063144096046
2012-01,779.9222899518732
2012-02,772.1439486951559
2012-03,749.0105576199235
2012-04,749.2607492489565
2012-05,572.413098991386
2012-06,607.1666577974534
2012-07,693.6930626023382
2012-08,715.8882818513885
2012-09,732.1388100256579
2012-10,724.0057918169263
2012-11,723.4332496812227
2012-12,717.5036386900938
2013-01,957.8903599160102
2013-02,919.9918163528737
2013-03,911.1107140547045
2013-04,952.4270220501047
2013-05,993.4053900574567
2013-06,1105.8305583394226
2013-07,1102.827622126902
2013-08,1129.7750555620935
2013-09,1157.25638572346
2013-10,1148.7881873630502
2013-11,1131.8088599792993
2013-12,1165.434317228761
2014-01,1256.0711127115324
2014-02,1340.936639560324
2014-03,1327.362965128815
2014-04,1413.6564116478173
2014-05,1399.4202915289247
2014-06,1301.7311385024534
2014-07,1252.5396264892422
2014-08,1254.2976181176655
2014-09,1182.559950865639
2014-10,1124.6680519511017
2014-11,1112.114892749808
2014-12,1099.7150082895002
2015-01,994.2789405378913
2015-02,1001.2403783932643
2015-03,941.5533411437925
2015-04,1013.9578775631414
2015-05,965.8182970057527
2015-06,969.14453240398
2015-07,940.0762596029278
2015-08,894.6414693027825
2015-09,885.5325526194508
2015-10,904.9435019014895
2015-11,817.4011869394883
2017-05,1000.0
2017-06,1064.045398
2017-07,1080.403696
2017-08,1199.634674
2017-09,1144.832624
2017-10,1104.968277
2017-11,1074.546274
2017-12,1152.483086
2018-01,1630.624619
2018-02,1531.12829
2018-03,1491.148987678387
2018-04,1542.774627062367
2018-05,1396.4130714349844
2018-06,1421.8002320805629
2018-07,1420.9160190543191
2018-08,1374.3939489511604
2018-09,1371.9455763690808
2018-10,1257.0654176501803
2018-11,1187.4109980127612
