Date,GHANA SMALL CAP
2010-11,1000.0
2010-12,1198.0084461793172
2011-01,1140.2791555010256
2011-02,1095.2992960368551
2011-03,1114.0777843712442
2011-04,1213.3541120309258
2011-05,1382.1239063276716
2011-06,1383.1831569319265
2011-07,1373.8638322316726
2011-08,1294.5015387432024
2011-09,1068.3285463837228
2011-10,923.1373218141703
2011-11,848.9413875609041
2011-12,843.6967304598727
2012-01,805.851349568268
2012-02,793.3725787614135
2012-03,762.6664602768874
2012-04,740.6610036304817
2012-05,724.1063518193771
2013-11,985.5477855477855
2013-12,938.3688897430966
2014-01,961.2936083524318
2014-02,851.3037350246649
2014-03,877.2702782586658
2014-04,732.105043366527
2014-05,705.504159733776
2014-06,676.2461224833478
2014-07,618.4904471016526
2014-08,513.181935376643
2014-09,663.1679724809455
2014-10,701.8372329144858
2014-11,739.1045270412956
2014-12,741.2830914882195
2015-01,718.7373123096093
2015-02,678.6933763380747
2015-03,650.9016129921632
2015-04,652.2701401773578
2015-05,643.5429719208704
2015-06,619.1414577751614
2015-07,695.408251425201
2015-08,674.6039176152544
2015-09,782.839100034678
2015-10,750.4606535801173
2015-11,761.5710551097056
