Date,PERU SMALL VALUE
1995-05,167.8509323797882
1995-06,179.32389426463567
1995-07,188.81276274671242
1995-08,183.56806118546868
1995-09,165.86557348653852
1995-10,156.1133303504443
1995-11,150.02060432926174
1995-12,147.07029743874907
1996-01,145.7953245279749
1996-02,156.00439342581257
1996-03,147.16007479590203
1996-04,149.2795832601891
1996-05,136.96276603357975
1996-06,143.4821192085156
1996-07,133.27834189840303
1996-08,128.2279604561088
1996-09,143.95664172356
1996-10,133.1651338697995
1996-11,125.57455867461162
1996-12,125.29695165298484
1997-01,122.98203908784998
1997-02,124.11019145282823
1997-03,125.70120100341629
1997-04,127.58774790813207
1997-05,147.49972226538287
1997-06,145.20583222126135
1997-07,145.22990563727336
1997-08,131.62367623095247
1997-09,129.249114951766
1997-10,105.0768612989226
1997-11,99.42484962342475
1997-12,95.59663223893514
1998-01,82.55737669675071
1998-02,81.6375079108244
1998-03,87.37483181963087
1998-04,107.06562296238221
1998-05,106.06438235116346
1998-06,93.93600696618775
1998-07,96.58751289578278
1998-08,81.0774502015539
1998-09,73.75002499060075
1998-10,68.67470570670083
1998-11,77.85676138390026
1998-12,68.80895655753255
1999-01,67.83400874767777
1999-02,65.2895581267512
1999-03,68.7412464862236
1999-04,73.13451143331973
1999-05,69.14600180447057
1999-06,73.96092039883028
1999-07,72.70389048878488
1999-08,73.14665905079167
1999-09,82.40619992725367
1999-10,84.07283252642873
1999-11,83.37736275504012
1999-12,81.14270794801536
2000-01,78.15113944141575
2000-02,78.01670766027648
2000-03,77.90133362773959
2000-04,77.56712527110226
2000-05,69.6708781009376
2000-06,71.08527564353014
2000-07,72.76630209703968
2000-08,74.01873785694806
2000-09,75.9933940052249
2000-10,70.1927140765028
2000-11,67.31582664773136
2000-12,67.83880263643552
2001-01,73.24301950080655
2001-02,64.25941955305736
2001-03,65.44831838660525
2001-04,58.92954091073625
2001-05,61.96717513518703
2001-06,64.62789900129435
2001-07,63.668010120417115
2001-08,62.23394863505515
2001-09,58.13734062958674
2001-10,54.83358593774884
2001-11,55.83602024833637
2001-12,54.816891742054935
2002-01,56.37507805956986
2002-02,58.436734239627285
2002-03,58.40430620254763
2002-04,60.759513501677674
2002-05,59.687292679554936
2002-06,58.6083046114138
2002-07,60.98142121036681
2002-08,61.62942200103631
2002-09,66.63491525807929
2002-10,69.2597498508764
2002-11,78.95471519425762
2002-12,76.36894226044247
2003-01,79.12633095836159
2003-02,80.93651299357232
2003-03,81.52975432562768
2003-04,91.56402206766225
2003-05,96.97447579015092
2003-06,97.97289707496614
2003-07,101.07893475028301
2003-08,105.76229396925642
2003-09,126.16892257205421
2003-10,146.76573101090761
2003-11,181.23640530394118
2003-12,199.8954044610616
2004-01,197.97295696753565
2004-02,205.19119667363432
2004-03,219.4536662141357
2004-04,238.10593279129512
2004-05,247.93167931436065
2004-06,246.6623559785682
2004-07,240.97670136718116
2004-08,252.49543825001297
2004-09,286.2803463111979
2004-10,303.3964970992631
2004-11,302.3687495708416
2004-12,304.44615246810184
2005-01,312.9932899151615
2005-02,315.0285514061903
2005-03,314.7742476600977
2005-04,312.158042374577
2005-05,290.7154351818555
2005-06,288.87317953918614
2005-07,303.1462180953895
2005-08,298.83622551256997
2005-09,302.0940553487913
2005-10,264.7833499988257
2005-11,257.43244801862323
2005-12,249.50059921112248
2006-01,310.6449585753774
2006-02,335.9848822264342
2006-03,311.5652984374964
2006-04,367.09047948132303
2006-05,371.14962320530407
2006-06,380.59334810703893
2006-07,406.6126680490462
2006-08,428.0938537317941
2006-09,439.8861693829681
2006-10,506.1212503029714
2006-11,514.1282148358154
2006-12,589.6703343228221
2007-01,641.6879645435808
2007-02,706.614411744316
2007-03,828.3885743918449
2007-04,982.5074839024128
2007-05,1000.0
2007-06,1162.3981105483908
2007-07,1171.7651403315272
2007-08,1034.7744340017491
2007-09,1146.03696299483
2007-10,1147.8476534195177
2007-11,1018.7820802433592
2007-12,1019.5822276565848
2008-01,929.7365865340789
2008-02,975.2261467452288
2008-03,1060.5342312692876
2008-04,1032.0257499651639
2008-05,1094.4816970563395
2008-06,1018.4195291992448
2008-07,933.5410782166905
2008-08,844.3099804524716
2008-09,768.0180595557476
2008-10,518.1028669653168
2008-11,454.6884546593286
2008-12,433.5543492251524
2009-01,394.84609322717796
2009-02,349.4421601444849
2009-03,651.5624214792007
2009-04,664.8104412769079
2009-05,933.0179495277274
2009-06,814.0953928140407
2009-07,801.8443276078667
2009-08,767.424529333924
2009-09,794.3703314631842
2009-10,734.4144184652283
2009-11,731.4424629899318
2009-12,836.5910601810859
2010-01,882.4745164691628
2010-02,840.4045488378442
2010-03,855.6886169900407
2010-04,829.7673501733042
2010-05,686.9770447365602
2010-06,688.3234366556754
2010-07,680.1740806365508
2010-08,716.6711387260345
2010-09,833.0037679684382
2010-10,823.4995553279446
2010-11,773.8725885322219
2010-12,809.1295799190312
2011-01,878.0126957106949
2011-02,879.5629648977999
