Date,OMAN DOMESTIC SMALL CAP
2002-05,232.51957152721698
2002-06,222.23109491096838
2002-07,229.43302854234236
2002-08,226.3170937271138
2002-09,221.20224724934351
2002-10,226.3464855574678
2002-11,221.14480703972274
2002-12,213.6312979620113
2003-01,208.33652480053206
2003-02,207.26479574060275
2003-03,214.68215214417583
2003-04,241.97618281452338
2003-05,245.00605968608915
2003-06,257.6341255098282
2003-07,288.9902642424603
2003-08,294.63425118048895
2003-09,297.38991041307526
2003-10,303.74928320194897
2003-11,308.8180807348496
2003-12,304.9793673432595
2004-01,321.2740217299895
2004-02,324.1730037118819
2004-03,324.6443886874436
2004-04,342.96469403062383
2004-05,362.66975727372323
2004-06,378.45602473135926
2004-07,379.8464925935443
2004-08,371.08144333596147
2004-09,375.6043704054686
2004-10,380.03198439234933
2004-11,377.989312721721
2004-12,368.78741678872547
2005-01,389.4288248829605
2005-02,405.39204149481293
2005-03,482.7251026728181
2005-04,489.37384438517523
2005-05,490.9265020794147
2005-06,552.6064818904183
2005-07,547.5011142018171
2005-08,545.077462371197
2005-09,528.179798944528
2005-10,506.0540616864334
2005-11,496.08934449153776
2005-12,494.19121909348786
2006-01,557.6677143388441
2006-02,549.3771906675053
2006-03,590.3206622500355
2006-04,549.2615626159243
2006-05,485.4047983940618
2006-06,493.40790086694426
2006-07,439.0453090552739
2006-08,492.56014666825826
2006-09,514.63374713213
2006-10,538.5370375821399
2006-11,506.25035773957615
2006-12,514.3937920168995
2007-01,544.7145549693621
2007-02,546.9733384031719
2007-03,550.7134477305079
2007-04,570.6686716192585
2007-05,637.7480821248645
2007-06,648.473074879311
2007-07,662.1021293704608
2007-08,703.7747725312669
2007-09,744.5831902024563
2007-10,831.2292097713495
2007-11,1000.0000000000005
2007-12,1113.9957229920278
2008-01,1064.5811949417484
2008-02,1229.5287411052793
2008-03,1230.082632637337
2008-04,1470.0178534308468
2008-05,1528.537449505404
2008-06,1586.0581708059037
2008-07,1511.0595421225526
2008-08,1391.875679341546
2008-09,1190.708881959925
2008-10,824.3543411836527
2008-11,767.7488527838027
2008-12,742.7860089108577
2009-01,676.6880171877867
2009-02,741.3565559784629
2009-03,804.59127455
2009-04,842.7550918939825
2009-05,945.967872811694
2009-06,963.4661288332496
2009-07,997.1870094455383
2009-08,1121.8980273946672
2009-09,1193.8245940773334
2009-10,1150.4224234321555
2009-11,1168.4814842278818
2009-12,1127.9531006836053
2010-01,1122.7195637143884
2010-02,1143.863813816695
2010-03,1149.7675991873064
2010-04,1194.3875500406632
2010-05,1061.37343240836
2010-06,1039.625088075289
2010-07,1108.7276989273594
2010-08,1098.0861685798548
2010-09,1146.4342355589615
2010-10,1181.1910627434006
2010-11,1144.3863703565505
2010-12,1160.4343679077656
2011-01,1193.1886763225302
2011-02,1001.830983549218
2011-03,1054.0947165966734
2011-04,1069.6301069031101
2011-05,1013.0876415583101
2011-06,992.3093812377389
2011-07,954.8067229957262
2011-08,929.8388836684821
2011-09,917.8707187965281
2011-10,907.7028921131117
2011-11,871.0527113787081
2011-12,909.799229386072
2012-01,899.7100204833326
2012-02,960.3000619825792
2012-03,928.3970444609798
2012-04,1008.2633634008711
