Date,FINLAND SMALL CAP
2000-12,100.0
2001-01,98.57036446983778
2001-02,90.81117655858856
2001-03,86.73966320383407
2001-04,96.32316612153224
2001-05,97.67695638665194
2001-06,88.58942122589526
2001-07,92.08040096053857
2001-08,93.04220945977805
2001-09,83.1477648558111
2001-10,89.15743830849054
2001-11,94.43511980471601
2001-12,97.72647237248633
2002-01,98.21136582656318
2002-02,106.14090324172484
2002-03,110.3402064792917
2002-04,118.07850556534996
2002-05,123.1779373845001
2002-06,124.11717976819601
2002-07,110.06456305396195
2002-08,109.4908373770032
2002-09,101.04814021927129
2002-10,102.30107685389518
2002-11,111.23922669231754
2002-12,118.91377200664765
2003-01,120.68882380799359
2003-02,114.28883099814743
2003-03,115.00014102501466
2003-04,125.9122759184886
2003-05,132.5555039494374
2003-06,133.21307655747168
2003-07,140.84513158711874
2003-08,143.3985354411211
2003-09,154.27409185620007
2003-10,175.34902750190136
2003-11,190.85354247864916
2003-12,193.89218883996395
2004-01,199.52229272650683
2004-02,215.27421191531624
2004-03,215.00278255068278
2004-04,210.73806984349156
2004-05,208.36251091306727
2004-06,219.28162665517584
2004-07,215.2111458432357
2004-08,217.32018609004012
2004-09,228.49031241689485
2004-10,239.955287845546
2004-11,271.1215562072239
2004-12,275.97539304781293
2005-01,272.3553059555139
2005-02,300.4169748565355
2005-03,302.80277528758194
2005-04,298.4217760616964
2005-05,307.6663719127364
2005-06,316.4627582066687
2005-07,335.3472965311546
2005-08,341.59794461313135
2005-09,358.78421376403287
2005-10,318.5162724178628
2005-11,310.2473473216521
2005-12,322.04639592487223
2006-01,349.30859171825915
2006-02,361.0448290873339
2006-03,375.32731701568696
2006-04,391.04098152067843
2006-05,380.2477823912856
2006-06,368.780291314836
2006-07,365.6349079260835
2006-08,377.5409446332302
2006-09,374.10285420519654
2006-10,400.59625726911463
2006-11,441.184114450692
2006-12,463.88006961049433
2007-01,476.1864445067951
2007-02,480.5617421108242
2007-03,503.8003846716246
2007-04,532.7505551744642
2007-05,555.4433794142651
2007-06,548.7887662917788
2007-07,550.5253381489847
2007-08,519.7409266287625
2007-09,543.7169537641482
2007-10,577.1885250786564
2007-11,534.1731702278389
2007-12,517.3085833589415
2008-01,454.01697739237255
2008-02,489.4215441308393
2008-03,517.2757237639779
2008-04,511.7666060048173
2008-05,500.8344535732326
2008-06,453.6718515829802
2008-07,420.2607640819152
2008-08,392.9106353883114
2008-09,311.2790061963562
2008-10,224.8161996324604
2008-11,205.01429661301847
2008-12,216.45164421302752
2009-01,207.71871417410173
2009-02,206.33220560680954
2009-03,212.63095474149262
2009-04,271.3903557248579
2009-05,306.60978096803706
2009-06,304.54029088638526
2009-07,338.7857528917176
2009-08,386.27277462253824
2009-09,421.0903295507525
2009-10,415.1609082527139
2009-11,437.6738160164137
2009-12,441.95037125448687
2010-01,451.8208169088818
2010-02,433.35208689111346
2010-03,471.42876456912313
2010-04,472.1734125991144
2010-05,396.18614659257344
2010-06,389.9625320432488
2010-07,457.21088159146285
2010-08,428.76842607007205
2010-09,505.10328894023877
2010-10,516.2973618705091
2010-11,486.67783166456405
2010-12,549.4363412347535
2011-01,547.6853211873957
2011-02,557.9479151833291
2011-03,586.9983062608544
2011-04,630.2201941037907
2011-05,586.3185825750273
2011-06,561.9070216441908
2011-07,500.337614859743
2011-08,435.31367611550087
2011-09,354.1510183877774
2011-10,412.01316087904263
2011-11,393.6117960481695
2011-12,366.27848839760316
2012-01,420.9202502664385
2012-02,467.1005768325846
2012-03,455.9962778545732
2012-04,452.391860192944
2012-05,353.6795418501368
2012-06,370.4415063271655
2012-07,373.2803219330967
2012-08,375.7732183464221
2012-09,400.19657225954177
2012-10,405.89305021787834
2012-11,416.02949343272746
2012-12,432.22708997394903
2013-01,464.95778613628477
2013-02,470.9092787907415
2013-03,454.4636696055638
2013-04,462.43794604573856
2013-05,464.72645263249785
2013-06,430.1874390301902
2013-07,455.10481991600705
2013-08,466.9797069856252
2013-09,501.8030235009387
2013-10,495.70727818167745
2013-11,513.8569200562736
2013-12,519.6296742475138
2014-01,496.9466678662878
2014-02,542.5894060894668
2014-03,541.3332653950752
2014-04,557.1797217234101
2014-05,567.8007868568222
2014-06,566.4301339213088
2014-07,529.0031196273668
2014-08,515.3970217857504
2014-09,474.2777573108191
2014-10,459.5706603028386
2014-11,468.7483996794795
2014-12,459.29890506431116
2015-01,473.26604520266574
2015-02,518.2958176326873
2015-03,517.5110813658486
2015-04,532.3037960685978
2015-05,522.1954902558323
2015-06,507.02731761756013
2015-07,537.0292769590619
2015-08,504.5129231611456
2015-09,457.74475946364294
2015-10,490.43681754592563
2015-11,500.16421643912525
2015-12,501.0991430675814
2016-01,481.6452667940598
2016-02,477.6723035952111
2016-03,525.9057304088901
2016-04,540.4285785437727
2016-05,549.2820175976226
2016-06,542.9504578885137
2016-07,592.572077891949
2016-08,601.9723280283022
2016-09,637.9201341555281
2016-10,600.1761245358081
2016-11,593.7841395906823
2016-12,620.5086173516506
2017-01,632.4646113489957
2017-02,613.0570512481836
2017-03,623.1362476251865
2017-04,675.568326
2017-05,687.87737
2017-06,703.312856
2017-07,709.900437
2017-08,731.959939
2017-09,742.742103
2017-10,729.546249
2017-11,723.665412
2017-12,750.038765
2018-01,780.599873
2018-02,764.909717
2018-03,756.405479
2018-04,761.6853388761467
2018-05,754.0677833884149
2018-06,738.4137162403667
2018-07,725.5121302145961
2018-08,726.5293695668798
2018-09,718.456838832523
2018-10,654.7693524293404
2018-11,636.2218468148833
2018-12,613.9382676841781
2019-01,667.5450601405689
2019-02,685.7971716364746
2019-03,702.52385393263
2019-04,729.1614607078319
2019-05,659.6938555636451
2019-06,732.2819256178153
2019-07,677.3140127904305
2019-08,667.3580794115802
2019-09,691.1085933990466
2019-10,753.2954859762489
2019-11,752.7286831663677
2019-12,781.1429426151493
2020-01,771.8749004263299
2020-02,724.6130406098772
2020-03,558.0090234728849
2020-04,653.9739958599328
2020-05,707.4564159576424
2020-06,715.0532566460842
2020-07,814.3109515531263
2020-08,864.7273050169821
2020-09,877.458005
2020-10,870.2058468827643
2020-11,970.8905542575104
2020-12,1044.1131549044153
2021-01,1066.0762627502058
2021-02,1078.328918449296
2021-03,1109.1728575699935
2021-04,1210.387954604888
2021-05,1221.3141810349043
2021-06,1198.4702357083388
2021-07,1260.9353547769063
2021-08,1252.2891626408186
2021-09,1106.1626164396982
2021-10,1149.693708184962
2021-11,1108.7644137024306
2021-12,1155.844132328117
2022-01,1067.115631988895
2022-02,950.50622748424
2022-03,931.9588205133167
2022-04,865.1509768802431
2022-05,887.0102882550242
2022-06,763.3245122234507
2022-07,818.5373204846888
2022-08,758.921337646515
2022-09,654.5954645183514
2022-10,722.5604554540972
2022-11,805.7637674051277
2022-12,835.7611225587247
2023-01,916.6866003091372
2023-02,915.8335192552316
2023-03,912.3258611296974
2023-04,957.0182887072392
2023-05,885.5507972759243
2023-06,886.213002378682
2023-07,881.0593639354196
