Date,SAUDI ARABIA SMALL CAP
2014-08,1019.8880164931803
2014-09,1036.234087358567
2014-10,976.2672209219364
2014-11,899.933495285469
2014-12,814.0089361979844
2015-01,890.2715723349658
2015-02,922.7602713239038
2015-03,892.8711826577907
2015-04,986.1912138269779
2015-05,1000.0
2015-06,956.4190848145112
2015-07,950.0045780099215
2015-08,772.4619773449675
2015-09,776.5679179055611
2015-10,754.3643559242387
2015-11,753.5246370297127
2015-12,711.4775768635106
2016-01,610.1869997176499
2016-02,619.3675561640382
2016-03,645.9495762950597
2016-04,724.5195353049431
2016-05,709.644184453711
2016-06,715.7507123939415
2016-07,699.4030148834476
2016-08,660.8770910074397
2016-09,599.7003738392135
2016-10,610.2256682900461
2016-11,721.1921773306
2016-12,783.2307980853296
2017-01,749.9336654888831
2017-02,737.9091315892537
2017-03,744.5492665836618
2017-04,742.889951
2017-05,714.393741
2017-06,723.090012
2017-07,727.785596
2017-08,716.355285
2017-09,727.384678
2017-10,686.739133
2017-11,682.944259
2017-12,728.799565
2018-01,755.355254
2018-02,752.955724
2018-03,773.8809027950825
2018-04,819.6825606314756
2018-05,777.6490692924798
2018-06,796.9692625432308
2018-07,765.1947536684061
2018-08,730.77850328551
2018-09,707.4796887137416
2018-10,703.7477480030847
2018-11,693.104542609541
2018-12,695.872493361198
2019-01,727.068625977535
2019-02,731.5070782428751
2019-03,761.6211357960866
2019-04,793.8109772432055
2019-05,783.4321303495635
2019-06,810.1492087484984
2019-07,856.6006275062232
2019-08,836.7768819138657
2019-09,871.7691471265449
2019-10,829.1139393228898
2019-11,838.9831916722432
2019-12,931.1185521773868
2020-01,981.2528048659345
2020-02,910.9467408045239
2020-03,760.0863056796194
2020-04,838.9482580720144
2020-05,796.8565138879385
2020-06,878.5382144748667
2020-07,945.5482306013707
2020-08,1009.2920870129368
2020-09,1073.005367763949
2020-10,1004.1962207235665
2020-11,1107.3817521456256
2020-12,1139.6676800884015
2021-01,1175.1698363373778
2021-02,1177.53951052402
2021-03,1247.7030748792877
2021-04,1337.0173252268032
2021-05,1399.7511313460839
2021-06,1481.41286493413
2021-07,1496.546092549888
2021-08,1477.1682114873647
2021-09,1456.543375844222
2021-10,1422.0960793261252
2021-11,1287.567261493326
2021-12,1325.4875902832382
2022-01,1427.876240239
2022-02,1398.0705223771945
2022-03,1454.334852244047
2022-04,1469.9282792651882
2022-05,1365.1174674115848
2022-06,1243.4870848008632
2022-07,1301.7901953682638
2022-08,1365.8712047967115
2022-09,1320.2472053780643
2022-10,1338.4636209840676
2022-11,1273.6531877855714
2022-12,1239.1256153854333
2023-01,1306.665703671815
2023-02,1328.1117394054638
2023-03,1402.4283487015296
2023-04,1487.3433225201527
2023-05,1566.3541150318067
2023-06,1687.7037828424686
2023-07,1713.045230788507
