Date,RUSSIA SMALL VALUE
1997-11,49.96851597177502
1997-12,48.828520731301545
1998-01,40.34796684984605
1998-02,43.95768134131258
1998-03,44.222361654581455
1998-04,42.48239529920791
1998-05,28.479761747195404
1998-06,22.74612315010712
1998-07,20.187485117467347
1998-08,11.096429154670005
1998-09,4.668380060303692
1998-10,7.334856081949144
1998-11,10.936756812433854
1998-12,6.555474035638152
1999-01,8.390661786511757
1999-02,9.803766281125428
1999-03,13.743688936842148
1999-04,14.765598565244055
1999-05,16.98657805978279
1999-06,28.00940203332622
1999-07,25.321608314654647
1999-08,23.347182077812047
1999-09,18.40678454280414
1999-10,20.995366565201543
1999-11,24.82147208548007
1999-12,36.841146984470306
2000-01,45.71212504690114
2000-02,46.31855153643624
2000-03,57.90224733962285
2000-04,58.034420615895606
2000-05,44.93122457131465
2000-06,44.57624274660362
2000-07,47.18239512248254
2000-08,56.46503833636156
2000-09,51.16834902729004
2000-10,51.55172396392551
2000-11,41.64658187472597
2000-12,36.62370512907086
2001-01,40.17055206129737
2001-02,39.621013526540324
2001-03,41.556343966698314
2001-04,46.822825454716245
2001-05,47.19072848752568
2001-06,49.62292825038105
2001-07,47.45603998152338
2001-08,48.50538837708918
2001-09,45.250779386129395
2001-10,47.802759734699144
2001-11,58.4605909622631
2001-12,66.56375905741996
2002-01,77.53729042079418
2002-02,77.92608725975278
2002-03,86.86081456819224
2002-04,93.40708262650391
2002-05,89.90697054753657
2002-06,80.40651433298206
2002-07,73.77740850563934
2002-08,71.02830655963942
2002-09,70.46695507573355
2002-10,78.09536472648978
2002-11,84.93471193119746
2002-12,79.55952737620498
2003-01,81.61607246676611
2003-02,95.8229126759305
2003-03,99.79900174031214
2003-04,118.56975266733845
2003-05,130.30054249543693
2003-06,131.77037121284494
2003-07,127.89023767364371
2003-08,148.9403646006846
2003-09,161.3859182389537
2003-10,161.67131626888457
2003-11,165.06820539626318
2003-12,182.4810205331397
2004-01,213.07409933447244
2004-02,248.3093220801331
2004-03,262.73275069170154
2004-04,243.54034770777477
2004-05,231.06478289575668
2004-06,247.2863191002117
2004-07,218.10901503137208
