Date,BAHRAIN SMALL CAP
2002-11,372.40947208716875
2002-12,380.69321257571175
2003-01,402.55089938221
2003-02,398.0390634685947
2003-03,411.8805451395033
2003-04,442.0140382301391
2003-05,468.3597917285879
2003-06,485.6595868490641
2003-07,496.00797195757576
2003-08,490.2191847807914
2003-09,503.75328350707804
2003-10,529.6182332006348
2003-11,537.4616634716461
2003-12,595.5121571683059
2004-01,621.2546771790018
2004-02,645.7048671583847
2004-03,597.211890848472
2004-04,577.7182108396111
2004-05,597.6169993800012
2004-06,607.0147726715184
2004-07,622.1931604934264
2004-08,649.2876821209012
2004-09,712.0983359417157
2004-10,767.4734413893453
2004-11,811.7163572967529
2004-12,832.5237564159418
2005-01,885.3728018816273
2005-02,967.8689947562913
2005-03,934.6154836591066
2005-04,965.9933478935371
2005-05,934.8897222375768
2005-06,960.7473639922238
2005-07,936.7266028914016
2005-08,921.218584562963
2005-09,951.5644887355704
2005-10,950.4779564410943
2005-11,957.9710081997574
2005-12,936.3249446234674
2006-01,975.2724500886127
2006-02,949.7353866718857
2006-03,831.101382439437
2006-04,797.9707655401238
2006-05,776.0010832760788
2006-06,744.0034510617784
2006-07,747.5387606111426
2006-08,765.8059951637495
2006-09,786.7373696480488
2006-10,784.9433271819884
2006-11,761.8571809672029
2006-12,762.9247826920517
2007-01,731.5502038144847
2007-02,735.2322367338985
2007-03,774.9794846262362
2007-04,745.7777618735247
2007-05,813.8778113647431
2007-06,848.8257651364935
2007-07,892.6065909984712
2007-08,960.7804124846928
2007-09,989.0604401462921
2007-10,1061.0864980324213
2007-11,1000.0000000000001
2007-12,993.8601492843924
2008-01,1025.9379667467292
2008-02,1093.6300843659903
2008-03,1109.4400471684712
2008-04,1077.000463365717
2008-05,1082.517671685029
2008-06,1083.2065889062599
2008-07,1090.2972861553965
2008-08,1080.596806172951
2008-09,1026.7787181010317
2008-10,878.5786370235835
2008-11,837.7066662805419
2008-12,804.1238148671698
2009-01,712.9161278830767
2009-02,712.8580421529683
2009-03,691.7485062524288
2009-04,731.8489240619793
2009-05,771.014131340387
2009-06,758.5649128056858
2009-07,732.0365162969376
2009-08,746.0740282563667
2009-09,734.5451033257801
2009-10,708.6105862999226
2009-11,716.344689487119
2009-12,704.967698880904
2010-01,687.0675716138572
2010-02,680.4547500210688
2010-03,694.5813742534554
2010-04,660.9234460531839
2010-05,570.2255526305534
2010-06,554.4860847639067
2010-07,564.8069046582808
2010-08,551.2875570757222
2010-09,550.5666483552772
2010-10,553.9974233143543
2010-11,562.6156289755667
2010-12,548.0279578658432
2011-01,525.8908810179157
2011-02,426.9577678369861
2011-03,445.0753818250063
2011-04,417.44180883909644
2011-05,383.93236835102357
2011-06,383.0081458345028
2011-07,378.4541192523659
2011-08,376.5452766791212
2011-09,362.79894413614744
2011-10,356.3188100884473
2011-11,356.84383965827107
2011-12,352.4511322086839
2012-01,343.36050662050474
2012-02,437.8308098687264
2012-03,427.2952775000258
2012-04,510.0013142810584
2012-05,472.70716479860357
2012-06,467.6812550206129
2012-07,474.6826192269741
2012-08,476.683434388004
2012-09,489.75055744733737
2012-10,498.2207134859425
2012-11,485.5742095005234
2012-12,522.3021535081523
2013-01,546.3469258269168
2013-02,558.872882046697
