Date,FTSE World Government Bond - Developed Markets (Hedged EUR)
1985-01,10000
1985-02,9863.581753295048
1985-03,10049.39859576995
1985-04,10226.071568780246
1985-05,10580.433500296904
1985-06,10712.482022975082
1985-07,10765.88537710817
1985-08,10922.23864019712
1985-09,11030.791265286636
1985-10,11095.626922234695
1985-11,11300.648849766323
1985-12,11551.291485252428
1986-01,11626.868969435605
1986-02,12077.394421351872
1986-03,12602.274229281293
1986-04,12715.255762018713
1986-05,12469.239312917614
1986-06,12747.826481513997
1986-07,12842.49068351164
1986-08,13114.547925909998
1986-09,12907.375660143973
1986-10,13054.76260463171
1986-11,13187.185956910378
1986-12,13281.110363643895
1987-01,13486.408481407465
1987-02,13670.15389714281
1987-03,13734.407581816424
1987-04,13723.182421675408
1987-05,13750.978995732861
1987-06,13719.069160006864
1987-07,13579.247855086933
1987-08,13526.880214323619
1987-09,13285.095394133325
1987-10,13774.356526079262
1987-11,13901.788726309289
1987-12,14027.573649084528
1988-01,14395.567541334825
1988-02,14535.714356170976
1988-03,14532.548032440513
1988-04,14508.529346198537
1988-05,14456.921228573063
1988-06,14567.249362296485
1988-07,14536.602110487927
1988-08,14498.675273280372
1988-09,14781.444751103281
1988-10,15061.807428333565
1988-11,14990.037423776428
1988-12,15039.6727540309
1989-01,15163.336930382306
1989-02,15029.828545049586
1989-03,15113.750919812112
1989-04,15301.777284142538
1989-05,15465.87373766268
1989-06,15781.016656243773
1989-07,16109.0024206101
1989-08,15978.058658859689
1989-09,15981.1263432216
1989-10,16192.747244509239
1989-11,16288.604982866342
1989-12,16368.266136907496
1990-01,16139.294570691876
1990-02,16059.544641219025
1990-03,16105.096301615515
1990-04,16055.94430426694
1990-05,16512.46702979106
1990-06,16720.20153995782
1990-07,16891.962272414316
1990-08,16692.089319921008
1990-09,16760.811367989947
1990-10,17158.564757731845
1990-11,17508.764107895688
1990-12,17756.546201693836
1991-01,18075.90102131202
1991-02,18293.548788018077
1991-03,18383.941905357497
1991-04,18588.30294911984
1991-05,18732.464386255986
1991-06,18729.544660946896
1991-07,18993.72061779809
1991-08,19397.431825400425
1991-09,19822.5379120413
1991-10,20056.974099274605
1991-11,20268.15112340377
1991-12,20859.908423210236
1992-01,20895.6849221834
1992-02,21082.08373693275
1992-03,21063.648038950712
1992-04,21283.0219946064
1992-05,21690.451906403076
1992-06,21998.897211859607
1992-07,22469.160401422774
1992-08,22766.7948320862
1992-09,23276.770231427687
1992-10,23581.40805725818
1992-11,23708.820529614495
1992-12,24198.99900768795
1993-01,24724.667930565774
1993-02,25341.114664320365
1993-03,25477.355360161924
1993-04,25703.446656815882
1993-05,25880.435275805536
1993-06,26539.23775441559
1993-07,26892.889482478688
1993-08,27572.968472885022
1993-09,27856.339650856084
1993-10,28218.188310445712
1993-11,28334.95759493546
1993-12,28803.76092184408
1994-01,28911.77103040657
1994-02,28423.585067577835
1994-03,28148.726467112647
1994-04,28034.166704478423
1994-05,27939.561686101908
1994-06,27787.597874913445
1994-07,28116.865951070926
1994-08,27990.60755932665
1994-09,27923.84843469186
1994-10,27991.288170969645
1994-11,28218.050215329742
1994-12,28287.86716038959
1995-01,28675.115457380885
1995-02,29113.153165238695
1995-03,29579.362276754448
1995-04,30030.302014018627
1995-05,31097.106512762948
1995-06,31152.788436309544
1995-07,31367.062736611188
1995-08,31640.846167959175
1995-09,32065.498513504714
1995-10,32451.997151295036
1995-11,33071.19592343218
1995-12,33400.414679905385
1996-01,33707.73549656044
1996-02,33224.90565144399
1996-03,33320.74366192737
1996-04,33425.3901680223
1996-05,33563.18936588695
1996-06,33861.001347413774
1996-07,34006.65223901503
1996-08,34270.1969039075
1996-09,34897.00077135986
1996-10,35492.98970007714
1996-11,36102.23575992756
1996-12,35979.12396404004
1997-01,36257.73086051013
1997-02,36379.49129704851
1997-03,36135.94083216117
1997-04,36494.51466471492
1997-05,36667.46893353087
1997-06,37171.67392981217
1997-07,37877.6753462735
1997-08,37758.410485759436
1997-09,38320.06305028438
1997-10,38667.283491518
1997-11,38877.74044825674
1997-12,39285.28872729568
1998-01,39767.09272297922
1998-02,39917.70517481855
1998-03,40151.11551261893
1998-04,40298.79837521232
1998-05,40759.28640335216
1998-06,40977.989611301695
1998-07,41186.947249638484
1998-08,42026.7726974119
1998-09,42973.76981911512
1998-10,42869.97161158973
1998-11,43109.42854268224
1998-12,42973.907914231095
1999-01,43369.441918180615
1999-02,42780.75230273606
1999-03,43123.445196953224
1999-04,43467.12448485589
1999-05,43181.425417787046
1999-06,42562.43378832386
1999-07,42419.08119400983
1999-08,42386.61897781995
1999-09,42508.3005028635
1999-10,42486.58011390874
1999-11,42551.36645117252
1999-12,42474.42774370335
2000-01,42428.195471663865
2000-02,42724.57718234671
2000-03,43298.17497440308
2000-04,43323.35760519395
2000-05,43498.53125980229
2000-06,43763.08204625397
2000-07,44030.49337439361
2000-08,44122.592952808955
2000-09,44338.3567075757
2000-10,44648.96221520348
2000-11,45372.195929350535
2000-12,45891.38424571461
