Date,MSCI North America
1969-12,100
1970-01,97.693
1970-02,97.429752
1970-03,97.366375
1970-04,87.857667
1970-05,82.861937
1970-06,92.130559
1970-07,95.339123
1970-08,95.116252
1970-09,95.087391
1970-10,87.629643
1970-11,84.54817
1970-12,86.375017
1971-01,85.764579
1971-02,83.863553
1971-03,87.743749
1971-04,86.224965
1971-05,85.972713
1971-06,89.711586
1971-07,87.139874
1971-08,88.146502
1971-09,83.667038
1971-10,83.645445
1971-11,78.475433
1971-12,94.926563
1972-01,93.181244
1972-02,101.283419
1972-03,106.517673
1972-04,107.611587
1972-05,112.63134
1972-06,116.485749
1972-07,116.098641
1972-08,114.836384
1972-09,114.373191
1972-10,127.864682
1972-11,136.602495
1972-12,157.305015
1973-01,172.168435
1973-02,217.777678
1973-03,196.72719
1973-04,150.377433
1973-05,162.944482
1973-06,154.563711
1973-07,158.925507
1973-08,138.326058
1973-09,133.468821
1973-10,144.368569
1973-11,127.394601
1973-12,118.857064
1974-01,130.545222
1974-02,133.620921
1974-03,124.002708
1974-04,116.828616
1974-05,113.148028
1974-06,107.681509
1974-07,91.070937
1974-08,83.641378
1974-09,63.09084
1974-10,74.398601
1974-11,71.705859
1974-12,69.609066
1975-01,89.547524
1975-02,96.158334
1975-03,97.334841
1975-04,98.853032
1975-05,103.467652
1975-06,100.022572
1975-07,96.194865
1975-08,93.176306
1975-09,97.532462
1975-10,101.222268
1975-11,106.660171
1975-12,112.21797
1976-01,122.221086
1976-02,125.29754
1976-03,123.830483
1976-04,124.033429
1976-05,122.43394
1976-06,124.71601
1976-07,131.235138
1976-08,132.578759
1976-09,125.782305
1976-10,118.817133
1976-11,105.155268
1976-12,117.467787
1977-01,117.186068
1977-02,114.34155
1977-03,116.555407
1977-04,117.54963
1977-05,119.414422
1977-06,120.187014
1977-07,115.223292
1977-08,113.218709
1977-09,111.765908
1977-10,116.109897
1977-11,114.96621
1977-12,120.026995
1978-01,116.56412
1978-02,113.541827
1978-03,121.84693
1978-04,127.137797
1978-05,132.377034
1978-06,142.983542
1978-07,151.15018
1978-08,168.376878
1978-09,165.034265
1978-10,167.43908
1978-11,142.098851
1978-12,147.196176
1979-01,157.526379
1979-02,156.91289
1979-03,159.392328
1979-04,156.78881
1979-05,162.271642
1979-06,157.940872
1979-07,166.320137
1979-08,177.872642
1979-09,196.086086
1979-10,191.655039
1979-11,196.273445
1979-12,221.661173
1980-01,253.483465
1980-02,258.174775
1980-03,213.840689
1980-04,234.033373
1980-05,258.977964
1980-06,286.560568
1980-07,298.054032
1980-08,315.562729
1980-09,321.481019
1980-10,362.278281
1980-11,353.725611
1980-12,354.979162
1981-01,347.289275
1981-02,336.448748
1981-03,343.27391
1981-04,349.010297
1981-05,364.015915
1981-06,368.837975
1981-07,332.100842
1981-08,313.722427
1981-09,267.471366
1981-10,264.940259
1981-11,302.907188
1981-12,297.506259
1982-01,279.795026
1982-02,249.001344
1982-03,233.504555
1982-04,262.805638
1982-05,269.253293
1982-06,240.945055
1982-07,226.168103
1982-08,215.345948
1982-09,209.731517
1982-10,200.913498
1982-11,198.009293
1982-12,212.179357
1983-01,233.554723
1983-02,238.570752
1983-03,231.946676
1983-04,253.792997
1983-05,251.039047
1983-06,252.304287
1983-07,267.042712
1983-08,265.389736
1983-09,255.388831
1983-10,259.300188
1983-11,271.580066
1983-12,283.118166
1984-01,298.236173
1984-02,287.7127
1984-03,289.239427
1984-04,288.902764
1984-05,253.585189
1984-06,245.525722
1984-07,242.164075
1984-08,261.577854
1984-09,261.275053
1984-10,261.944166
1984-11,266.776349
1984-12,260.889035
1985-01,280.241308
1985-02,266.396636
1985-03,269.553759
1985-04,273.877977
1985-05,283.341595
1985-06,279.504881
1985-07,308.231961
1985-08,297.33889
1985-09,306.334485
1985-10,319.148908
1985-11,307.516384
1985-12,304.220738
1986-01,321.136881
1986-02,313.263851
1986-03,323.145171
1986-04,351.472478
1986-05,354.84269
1986-06,340.15337
1986-07,320.555068
1986-08,343.0339
1986-09,363.940381
1986-10,417.139206
1986-11,418.543891
1986-12,448.873499
1987-01,461.65785
1987-02,521.709117
1987-03,538.589376
1987-04,551.292166
1987-05,590.025087
1987-06,614.239379
1987-07,679.822914
1987-08,721.494107
1987-09,749.539822
1987-10,422.900234
1987-11,440.7023
1987-12,465.339874
1988-01,460.558328
1988-02,458.340868
1988-03,513.57397
1988-04,538.267412
1988-05,576.141726
1988-06,586.003533
1988-07,609.420886
1988-08,576.220835
1988-09,566.146746
1988-10,603.126004
1988-11,600.268791
1988-12,603.105936
1989-01,665.819125
1989-02,613.994092
1989-03,624.112544
1989-04,644.58585
1989-05,615.120551
1989-06,589.626029
1989-07,642.356057
1989-08,669.845646
1989-09,688.123891
1989-10,664.569048
1989-11,664.858281
1989-12,693.886611
1990-01,689.170579
1990-02,679.974933
1990-03,670.727583
1990-04,635.699548
1990-05,695.475981
1990-06,717.007761
1990-07,754.929052
1990-08,696.79907
1990-09,632.5492
1990-10,624.224894
1990-11,618.203611
1990-12,617.721326
1991-01,654.316284
1991-02,716.293311
1991-03,733.42678
1991-04,757.695977
1991-05,759.98842
1991-06,756.607024
1991-07,800.232232
1991-08,789.802695
1991-09,797.583619
1991-10,827.009561
1991-11,818.61595
1991-12,837.6263235
1992-01,856.3519888
1992-02,883.0550976999999
1992-03,876.5046073
1992-04,917.6798302
1992-05,979.5997372999999
1992-06,969.3850541999999
1992-07,944.5250969
1992-08,890.325378
1992-09,875.565332
1992-10,902.6260651
1992-11,884.865097
1992-12,891.7346762
1993-01,898.041222
1993-02,966.7791579999999
1993-03,982.874569
1993-04,1032.884701
1993-05,1072.135258
1993-06,1039.3022959999998
1993-07,1075.70597
1993-08,1156.690414
1993-09,1178.730806
1993-10,1369.02851076498
1993-11,1327.8418144622126
1993-12,1603.2388067752047
1994-01,1558.9037655681784
1994-02,1482.698036727549
1994-03,1324.9288436096163
1994-04,1386.0955643379182
1994-05,1431.4998473739884
1994-06,1367.702436062138
1994-07,1439.3917700130955
1994-08,1535.7285644787073
1994-09,1495.0223933631132
1994-10,1518.7292454112376
1994-11,1396.6020727995233
1994-12,1374.6295688154166
1995-01,1255.5821813003975
1995-02,1372.4411405591322
1995-03,1386.4995419695
1995-04,1404.4618358627033
1995-05,1499.3663433515758
1995-06,1470.596108168058
1995-07,1530.870515312901
1995-08,1489.9216540699715
