Date,MSCI ACWI IMI
2006-07,23499.897276269454
2006-08,23960.273301244488
2006-09,24594.253935333396
2006-10,25465.855629961472
2006-11,25237.350614192706
2006-12,25851.294802800585
2007-01,26576.094347099628
2007-02,25976.993931353198
2007-03,26306.917866450098
2007-04,26880.265231295307
2007-05,28043.76835867202
2007-06,27848.963481520048
2007-07,27007.22328172727
2007-08,26893.839677635737
2007-09,27334.25231670937
2007-10,27898.132606885665
2007-11,26053.038053831177
2007-12,25824.6971270573
2008-01,23467.510851652904
2008-02,23111.299376318184
2008-03,21839.090222680796
2008-04,23446.68006155172
2008-05,23947.01976574227
2008-06,21623.591031038537
2008-07,21295.21495561037
2008-08,22120.24641783028
2008-09,19908.15076549039
2008-10,17810.873075060827
2008-11,16656.26725377744
2008-12,15842.042555030848
2009-01,15758.234528338806
2009-02,14418.063689379453
2009-03,14844.075057290447
2009-04,16740.028235821632
2009-05,17357.814332986272
2009-06,17254.772688592988
2009-07,18783.58572583068
2009-08,19322.860472198394
2009-09,19739.177549699834
2009-10,19187.152225948532
2009-11,19654.123141563472
2009-12,20994.422967925126
2010-01,20770.69733086998
2010-02,21677.673401763896
2010-03,23277.5563955464
2010-04,23721.03891438225
2010-05,23244.383003001538
2010-06,22576.44679251368
2010-07,22988.96902084214
2010-08,22788.05165783707
2010-09,23260.41157381494
2010-10,23753.32191086633
2010-11,24848.369560302173
2010-12,26001.641330667215
2011-01,25738.288840825357
2011-02,26232.65101764413
2011-03,25585.666716718177
2011-04,25467.74303229618
2011-05,25765.30733339087
2011-06,25228.621867825463
2011-07,25154.440106632224
2011-08,22976.175566362963
2011-09,22197.991510679385
2011-10,23732.37597946248
2011-11,24032.205257962236
2011-12,24857.610392261387
2012-01,25903.14607995097
2012-02,26677.4230246623
2012-03,27036.077291066416
2012-04,27041.501586318383
2012-05,26252.4450812913
2012-06,27105.92808253567
2012-07,28116.683496496724
2012-08,28030.643245757623
2012-09,28233.924569608116
2012-10,27916.300983601508
2012-11,28294.270036502672
2012-12,28531.449700853234
2013-01,29099.62305894506
2013-02,30074.324488770337
2013-03,31464.140350799695
2013-04,31659.226990067473
2013-05,31804.046152296927
2013-06,30713.814540700292
2013-07,31761.511298976926
2013-08,31207.317479406953
2013-09,32243.76576399977
2013-10,33174.1758942881
2013-11,33733.80543939926
2013-12,33895.05313470618
2014-01,33304.03973032528
2014-02,34192.066222809604
2014-03,34393.80207467349
2014-04,34469.68743860803
2014-05,35821.61993568441
2014-06,36463.31543570244
2014-07,36662.77385233115
2014-08,38070.16843744455
2014-09,38500.89622693444
2014-10,38995.53155815107
2014-11,39718.97255718448
2014-12,40181.683463241214
2015-01,42492.49920741722
2015-02,45146.66700708948
2015-03,46569.926592057374
2015-04,45924.0422999296
2015-05,47015.483800382906
2015-06,45094.46982273139
2015-07,46290.44911031355
2015-08,42248.63471828654
2015-09,40767.387208907785
2015-10,44603.22161081321
2015-11,46182.343751764136
2015-12,44058.132193438614
2016-01,41182.92091127929
2016-02,41110.089543273774
2016-03,42316.55601500795
2016-04,42941.01124001543
2016-05,44024.46343309598
2016-06,43936.51519003787
2016-07,45860.69684508824
2016-08,45957.40060969059
2016-09,46192.680516308785
2016-10,46198.996762885516
2016-11,48089.67277030875
2016-12,49583.69093835031
2017-01,49923.38392106523
2017-02,52085.40130163195
2017-03,52272.9465848576
2017-04,51973.97292788098
2017-05,51679.012529998676
2017-06,51135.60769408496
2017-07,51144.32154903377
2017-08,50923.311574454565
2017-09,52118.03772295849
2017-10,53951.082420966915
2017-11,54053.52466918956
2017-12,54293.97170599271
2018-01,55100.66899414404
2018-02,53871.1541673261
2018-03,52437.27756970051
2018-04,54016.25949439415
2018-05,56036.15492208075
2018-06,55918.64019486352
2018-07,57103.33959546976
2018-08,58073.13726515759
2018-09,58566.35749930919
2018-10,55228.300150389536
2018-11,55831.22862629176
2018-12,51403.10812199201
2019-01,55417.03510326792
2019-02,57341.99797983401
2019-03,58903.55267059317
2019-04,60973.85179752573
2019-05,57716.51551752903
2019-06,60218.97401686395
2019-07,61661.69094787039
2019-08,60760.61426588127
2019-09,62901.069189899135
2019-10,63112.729355764146
2019-11,65724.41484041145
2019-12,66556.00917961668
2020-01,66773.0555005069
2020-02,61752.036474968714
2020-03,53003.593694595176
2020-04,59300.16853941927
2020-05,60612.89585659171
2020-06,62230.70960126677
2020-07,61895.19091320777
2020-08,65159.12293690813
2020-09,64415.692029513186
2020-10,63090.02551671579
2020-11,69427.42521729809
2020-12,71175.77105350858
2021-01,71856.94851615482
2021-02,73880.4506048089
2021-03,78395.81097637527
2021-04,79411.96200601726
2021-05,79851.44110933902
2021-06,82998.46389260741
2021-07,83391.3793277235
2021-08,85893.32640579692
2021-09,84322.67363451063
2021-10,87944.70698536115
2021-11,87735.07053341906
2021-12,91545.68510203791
2022-01,88134.62943577523
2022-02,85812.94051057223
2022-03,88388.04350626939
2022-04,85735.60531831198
2022-05,84457.80049348154
2022-06,79630.86098211526
2022-07,86929.49452105773
2022-08,85537.70732814822
2022-09,79316.42336044164
2022-10,82805.97930636194
2022-11,85176.17385724618
2022-12,79711.35078965807
2023-01,84282.49628487366
2023-02,83621.12157593509
2023-03,83717.75714177174
2023-04,84004.13341293628
2023-05,85366.70625429682
2023-06,88862.0876655126
