Date,MSCI ACWI IMI
1994-05,10000
1994-06,9858.134846119241
1994-07,9706.08536066499
1994-08,10037.233975339737
1994-09,9711.329381405785
1994-10,9732.63522870549
1994-11,9403.648413132274
1994-12,9684.517886991927
1995-01,9294.522224165004
1995-02,9246.439455491898
1995-03,9290.263414451918
1995-04,9394.706933050918
1995-05,9604.758742982944
1995-06,9550.576626943674
1995-07,9902.965948700583
1995-08,10027.962145311025
1995-09,10400.487457694777
1995-10,10033.452137189153
1995-11,10339.843296565672
1995-12,10810.79616289808
1996-01,11140.3255766021
1996-02,11295.602300144843
1996-03,11465.386466975124
1996-04,11927.429086466185
1996-05,12106.270925184279
1996-06,12020.553751405923
1996-07,11330.24999868019
1996-08,11401.371863724655
1996-09,11880.523763451196
1996-10,11898.312520183674
1996-11,12275.863293410173
1996-12,12382.594818386511
1997-01,12855.03472999824
1997-02,13552.13688622886
1997-03,13401.350751570997
1997-04,13728.876986422767
1997-05,14630.963896774014
1997-06,15485.640653905793
1997-07,16542.51078068681
1997-08,16017.776640129634
1997-09,16345.453824538066
1997-10,15108.420192774045
1997-11,14846.423721523768
1997-12,15393.60628769186
1998-01,16032.168213318839
1998-02,17130.949661398663
1998-03,17910.56893638721
1998-04,17949.37482503403
1998-05,17322.656778306493
1998-06,17633.53140053463
1998-07,17552.660662722516
1998-08,14913.062770770453
1998-09,14524.237452125983
1998-10,15188.252091817418
1998-11,16504.401843069227
1998-12,17175.316053328865
1999-01,18060.080178327713
1999-02,18132.24240708371
1999-03,19448.234532300685
1999-04,20712.2313011275
1999-05,20364.6496937231
1999-06,21676.420035489125
1999-07,20912.95821613105
1999-08,21203.2103916912
1999-09,20902.364360404106
1999-10,22355.209923899194
1999-11,24154.12885015287
1999-12,26324.749625021952
2000-01,25765.486862956473
2000-02,26711.4124806658
2000-03,28244.713187624522
2000-04,27880.814061908357
2000-05,26268.821204064763
2000-06,26732.321519460165
2000-07,26730.36880207333
2000-08,29030.139199362307
2000-09,27952.579804893732
2000-10,28163.996148381393
2000-11,25292.918706098575
2000-12,24109.293914178557
2001-01,24835.618160763854
2001-02,22811.1758225807
2001-03,22182.548020484406
2001-04,23742.81201115342
2001-05,24676.934387884507
2001-06,24008.565341811387
2001-07,22703.4205144296
2001-08,20791.736396263575
2001-09,18800.21796616237
2001-10,19536.07262657266
2001-11,21046.88778888023
2001-12,21537.941259786472
2002-01,21399.36664334352
2002-02,21198.536931893876
2002-03,22090.006638167953
2002-04,20936.044590625137
2002-05,20140.70946865907
2002-06,17806.331356514846
2002-07,16617.897645177374
2002-08,16591.831502199315
2002-09,14834.397724843164
2002-10,15803.309574198223
2002-11,16555.766402661768
2002-12,14975.79171657838
2003-01,14107.756972350571
2003-02,13908.882116448442
2003-03,13735.916274924974
2003-04,14621.7196017551
2003-05,14641.80415887953
2003-06,15455.408287316004
2003-07,15976.560397423533
2003-08,16994.919831163945
2003-09,16054.654936084144
2003-10,17100.242585114804
2003-11,16841.9881985224
2003-12,16933.903776030114
2004-01,17625.836217993863
2004-02,17930.970616540362
2004-03,18197.765377481854
2004-04,18136.000356224475
2004-05,17912.942982731875
2004-06,18379.90595855947
2004-07,17926.083838127266
2004-08,17921.969582870737
2004-09,17897.154724794524
2004-10,17863.810065338046
2004-11,18089.287977463457
2004-12,18359.67787021427
2005-01,18804.104907522873
2005-02,19133.739322636786
2005-03,19144.64559274593
2005-04,18707.222667598544
2005-05,20093.762498342072
2005-06,20768.849785773396
2005-07,21581.109455450496
2005-08,21557.90314512507
2005-09,22470.195964627506
2005-10,21906.14223703787
2005-11,23209.21839715428
2005-12,23754.339876385064
2006-01,24336.493875370383
2006-02,24798.817297656795
2006-03,24912.31769885297
2006-04,24834.0124358075
2006-05,23245.75777456821
2006-06,23499.88537512932
