Date,Gold spot price
1978-12,10000
1979-01,10485.354545863223
1979-02,11330.061914822438
1979-03,10822.698918678325
1979-04,11181.144220649852
1979-05,12655.830314436029
1979-06,12641.30483676145
1979-07,13021.765580489895
1979-08,13884.010396038653
1979-09,17315.928285732913
1979-10,16724.15700335673
1979-11,18125.753795494482
1979-12,22340.743253868506
1980-01,27568.71358025448
1980-02,27145.205515054644
1980-03,22193.133006653297
1980-04,23528.511246793627
1980-05,23272.264781184385
1980-06,27987.286923426138
1980-07,25983.145023529
1980-08,27235.35515702091
1980-09,28701.982852224202
1980-10,27761.31125729345
1980-11,28314.791711310303
1980-12,27784.679588526375
1981-01,23946.75333145678
1981-02,24696.172769881432
1981-03,25965.49843162179
1981-04,25048.940991647734
1981-05,26388.401266826793
1981-06,24356.408270214128
1981-07,23922.11739118159
1981-08,25723.0639560484
1981-09,24773.952203830977
1981-10,23944.090957947505
1981-11,22995.591333314533
1981-12,22498.37669630132
1982-01,22101.713933139443
1982-02,21400.09924256838
1982-03,19232.34015814002
1982-04,22048.542947164107
1982-05,19175.33223295302
1982-06,19806.773186266473
1982-07,21852.113001899834
1982-08,26386.605267274514
1982-09,25697.4654453682
1982-10,27723.45632100381
1982-11,29039.257217466995
1982-12,28612.691352437196
1983-01,31679.433550957485
1983-02,26385.79990714296
1983-03,26926.486309912696
1983-04,28271.434808514623
1983-05,28996.556901355587
1983-06,28418.418110593182
1983-07,29221.367644264075
1983-08,29616.87172709642
1983-09,28975.937473377566
1983-10,26882.247746735065
1983-11,29264.528740601145
1983-12,28266.936546789682
1984-01,28315.826835150034
1984-02,28954.654016214587
1984-03,27517.61117488058
1984-04,27090.351532813707
1984-05,28729.170805905782
1984-06,27888.360367617046
1984-07,26560.98956191592
1984-08,27324.85891638211
1984-09,28248.350552739354
1984-10,27906.517055720742
1984-11,26812.082403368462
1984-12,26120.625509806116
1985-01,26617.306424594735
1985-02,25910.45805090065
1985-03,29717.58122142767
1985-04,27001.055102008446
1985-05,26570.31109844119
1985-06,26421.711481965813
1985-07,25906.881495878475
1985-08,25459.547138288064
1985-09,25292.40943832538
1985-10,23693.374261566758
1985-11,23251.92124454298
1985-12,22824.63665729782
1986-01,23962.686218953582
1986-02,22211.359014664053
1986-03,21975.065397673512
1986-04,22205.56615624799
1986-05,21660.58244312308
1986-06,21975.66992880597
1986-07,21995.896860886383
1986-08,22962.361644405537
1986-09,25066.43661888244
1986-10,23491.236785848872
1986-11,23054.676702353692
1986-12,22811.8496617542
1987-01,21972.868553637498
1987-02,21876.441399272684
1987-03,22658.997779599667
1987-04,24080.00880249772
1987-05,23673.606823534792
1987-06,23903.51662046852
1987-07,25076.419944572164
1987-08,24777.008132197407
1987-09,24458.96461181832
1987-10,24776.54464341218
1987-11,24459.433097532637
1987-12,23430.152905583738
1988-01,22291.873546247614
1988-02,21343.389995810856
1988-03,22577.96762241505
1988-04,22054.624459072846
1988-05,22596.091715560742
1988-06,22462.376491737727
1988-07,23609.467260561585
1988-08,23640.287395941257
1988-09,21766.34642428318
1988-10,22069.439652358793
1988-11,21720.74820818291
1988-12,21103.98286126727
1989-01,21077.366821616783
1989-02,20960.486080743955
1989-03,20893.940701551306
1989-04,20700.70402350328
1989-05,20689.676734142085
1989-06,21715.269629143688
1989-07,20507.185565801654
1989-08,20344.315772706446
1989-09,21041.373661415844
1989-10,20735.91291650286
1989-11,22228.48288215616
1989-12,20940.81716222672
1990-01,21039.906373713093
1990-02,20394.195378879172
1990-03,18756.621646492218
1990-04,18479.218534744436
1990-05,17945.62948570067
1990-06,17527.307453833582
1990-07,17968.547171358467
1990-08,17891.009839839622
1990-09,18875.25251372802
1990-10,17025.67016635917
1990-11,16924.3127512047
1990-12,17398.151905342816
1991-01,16326.267678710925
1991-02,15910.05306677011
1991-03,16980.720978249115
1991-04,17991.559217838745
1991-05,18367.343223405813
1991-06,19472.728769659712
1991-07,19206.964385777064
1991-08,17984.55386863684
1991-09,17865.922185883104
1991-10,17970.540106264776
1991-11,17726.69709046113
1991-12,16559.335446267818
1992-01,16709.04484392505
1992-02,17029.74749766785
1992-03,16920.488088295675
1992-04,16505.3566580468
1992-05,16245.230458246459
1992-06,16056.196795039794
1992-07,15935.890177540812
1992-08,14759.201138169463
1992-09,15499.872306340958
1992-10,15693.590116493871
1992-11,16472.805003392663
1992-12,16398.117430452432
1993-01,16595.337300502095
1993-02,16862.124790719925
1993-03,17472.72876128728
1993-04,17702.648119623205
1993-05,18905.842257200857
1993-06,19509.119228736585
1993-07,21588.608135724946
1993-08,20118.327547638615
1993-09,18483.96116795133
1993-10,19442.675721198833
1993-11,20035.0691758977
1993-12,21092.565767963926
1994-01,20680.82111115349
1994-02,20800.252646594792
1994-03,20778.635470328976
1994-04,20156.2078689687
1994-05,20307.173680174314
1994-06,20010.924421006624
1994-07,19181.894675758016
1994-08,19291.44989390117
1994-09,19534.93861777929
1994-10,18627.78319218296
1994-11,18867.838430852014
1994-12,19223.567365669325
1995-01,18456.52714738849
1995-02,18327.53968725341
1995-03,18345.454866712967
1995-04,17891.180138755946
1995-05,17913.5645156705
1995-06,17891.22122417089
1995-07,17514.280601098515
1995-08,17997.494721502437
1995-09,18307.057423472408
1995-10,17958.905783051243
1995-11,18239.94205476112
1995-12,18476.249466632897
1996-01,19612.142439815005
1996-02,19486.515371956863
1996-03,19265.07505678313
1996-04,19181.782169337475
1996-05,19377.25696858526
1996-06,18806.063937856503
1996-07,18680.299702198663
1996-08,18566.19674830212
1996-09,18366.093443896505
1996-10,18447.531589680388
1996-11,17817.277193226953
1996-12,18125.78889264792
1997-01,17407.098302078943
1997-02,18854.259827773
1997-03,18517.301163000848
1997-04,18190.228018214744
1997-05,18425.089978114163
1997-06,18036.364095409877
1997-07,18083.813106807836
1997-08,18542.63085849729
1997-09,18430.923324519503
1997-10,16968.42597516047
1997-11,15840.027527479042
1997-12,15850.854035227907
1998-01,17092.938062867768
1998-02,16638.476930463585
1998-03,16901.949544557232
1998-04,17328.4779684325
1998-05,16125.370858349657
1998-06,16391.84476642181
1998-07,16017.502033224093
1998-08,15098.933802743482
1998-09,15471.22861675491
1998-10,14821.105152829556
1998-11,15375.180404150755
1998-12,14901.254904292893
1999-01,15278.446227899425
1999-02,15877.235681917124
1999-03,15854.008045501654
1999-04,16482.130942051554
1999-05,15655.269278425905
1999-06,15400.839199906774
1999-07,14566.015845457961
1999-08,14686.601118728704
1999-09,17085.607955889125
1999-10,17437.955737820113
1999-11,17585.016271371238
1999-12,17607.559430161084
2000-01,17633.545074354905
2000-02,18422.646312866567
2000-03,17655.00968513806
2000-04,18450.444182523952
2000-05,17834.66580863153
2000-06,18376.491209711177
2000-07,18247.139188804922
2000-08,18954.71184783451
2000-09,19026.707439585236
2000-10,19150.867765510382
2000-11,18884.86964124848
2000-12,17857.030191209404
2001-01,17345.620787937252
2001-02,17574.99875600943
2001-03,17781.789570507884
2001-04,18067.838049906877
2001-05,19224.189660210384
2001-06,19446.974661880115
2001-07,18508.9718643708
2001-08,18166.953985779637
2001-09,19562.195012032334
2001-10,18787.564375099093
2001-11,18869.018492770574
2001-12,19120.157872169933
2002-01,19919.02455068285
2002-02,20911.772693933795
2002-03,21054.634149310416
2002-04,20850.878864804534
2002-05,21203.593559535828
2002-06,19458.826269212852
2002-07,18977.9473422833
2002-08,19386.562676340913
2002-09,20007.18061713547
2002-10,19578.944889434355
2002-11,19586.680332801126
2002-12,19918.026406060264
2003-01,20706.694359716188
2003-02,19638.716321696433
2003-03,18730.232874542602
2003-04,18437.139003484648
2003-05,18630.190749809488
2003-06,18452.872446952606
2003-07,19101.73531237734
2003-08,20948.10532649903
2003-09,20293.23842767697
2003-10,20253.85654762177
2003-11,20240.48362676914
2003-12,20133.213692640784
2004-01,19671.96021557934
2004-02,19426.70306591773
2004-03,21123.46848503452
2004-04,19817.65518947623
2004-05,19647.1793939816
2004-06,19844.535370927875
2004-07,19813.01257638339
2004-08,20492.79507476199
2004-09,20413.200845518208
2004-10,20361.20865209782
2004-11,20783.24142085487
2004-12,19596.802958471853
2005-01,19736.760287992503
2005-02,20017.652554235832
2005-03,20096.35088864193
2005-04,20492.89002903409
2005-05,20483.018373004794
2005-06,22029.405457861412
2005-07,21619.385602290215
2005-08,21645.62103609035
2005-09,23950.36344034816
2005-10,23861.491691072937
2005-11,25665.850250056952
2005-12,26501.22162451681
2006-01,28602.933068192273
2006-02,28533.90964136004
2006-03,29303.141212734474
2006-04,31304.902091578835
2006-05,30925.892176793084
2006-06,29409.431430025284
2006-07,30191.99283828399
2006-08,29567.842934987326
2006-09,28846.58757287254
2006-10,28980.797903039627
2006-11,29857.197304907484
2006-12,29416.198318785657
2007-01,30602.96576996069
2007-02,30639.61381069543
2007-03,30281.33708853677
2007-04,30325.657862641598
2007-05,29857.420031325055
2007-06,29354.3738307346
2007-07,29588.691199057903
2007-08,29882.04679514291
2007-09,31934.73521542203
2007-10,33303.85982085266
2007-11,32347.694204951695
2007-12,34629.70093292768
2008-01,37838.02467996976
2008-02,39035.81278871047
2008-03,35978.878761285814
2008-04,34157.59216865411
2008-05,34807.71200590731
2008-06,35962.7886603957
2008-07,35837.03458475786
2008-08,34452.04212473462
2008-09,37686.93398686704
2008-10,34909.23862033754
2008-11,39001.84507746405
2008-12,37878.30952276487
2009-01,43723.9453862981
2009-02,45885.193718801886
2009-03,41970.07887996042
2009-04,40547.98010099495
2009-05,42168.667306101284
2009-06,40293.43821651425
2009-07,40476.012679066145
2009-08,40800.54485049009
2009-09,41441.967045778016
2009-10,42824.44391293949
2009-11,47695.61230302326
2009-12,46703.10674387147
2010-01,47061.7659955467
2010-02,49771.187255854595
2010-03,50434.998197786525
2010-04,53974.02706376135
2010-05,59793.64754643555
2010-06,61781.796494072274
2010-07,54683.57125972378
2010-08,59885.116272577536
2010-09,58361.53178785961
2010-10,59229.47396957929
2010-11,64866.839622705724
2010-12,64319.80947820593
2011-01,59064.17480396795
2011-02,62158.33185137042
2011-03,61727.47635934174
2011-04,62972.526769018215
2011-05,65094.27685550029
2011-06,63480.86932988161
2011-07,69596.65162779728
2011-08,76483.8641026426
2011-09,73114.72573449754
2011-10,74953.8939380436
2011-11,79300.61586799925
2011-12,74158.69187412411
2012-01,80664.60338185275
2012-02,80241.15587347167
2012-03,75858.69232481773
2012-04,76155.03753058903
2012-05,76552.75379422192
2012-06,77376.13255357883
2012-07,80469.47176411937
2012-08,79663.52769705896
2012-09,83707.53341683264
2012-10,80628.12242671172
2012-11,81000.08995391906
2012-12,76859.39304671875
2013-01,74873.79339058878
2013-02,73735.338644371
2013-03,76065.06463528833
2013-04,68485.6946144431
2013-05,65342.36921284798
2013-06,55537.79329382154
2013-07,60345.677716114194
2013-08,64223.28750865064
2013-09,59859.45716597916
2013-10,59150.971855409865
2013-11,56102.36189755423
2013-12,53094.32758185888
2014-01,56406.51067106308
2014-02,58524.72084460643
2014-03,57094.8983148101
2014-04,56696.30522986486
2014-05,56006.885120945684
2014-06,58675.7639530529
2014-07,58544.22579435345
2014-08,59415.21908492838
2014-09,58918.00392297798
2014-10,56653.050037732864
2014-11,57742.3020972239
2014-12,60197.07321713233
2015-01,67936.98163941868
2015-02,65822.21364910401
2015-03,67235.54348818482
2015-04,64134.96167032932
2015-05,66186.7530916982
2015-06,63780.17838316235
2015-07,61036.94510724451
2015-08,61676.06989690641
2015-09,60599.768235278316
2015-10,63191.10429497133
2015-11,61172.90599927892
2015-12,59461.878500866915
2016-01,62047.47884858503
2016-02,69120.00911940075
2016-03,66215.0594051325
2016-04,68710.59956276062
2016-05,66225.90768659522
2016-06,72500.25009445798
2016-07,73593.8138304099
2016-08,71675.29568747038
2016-09,72212.54994279225
2016-10,70819.32382459992
2016-11,67509.48113384175
2016-12,67013.02163570313
2017-01,68722.48923118699
2017-02,72208.526206699
2017-03,70960.84892345972
2017-04,70613.54172570421
2017-05,68768.70643144609
2017-06,66338.76020118552
2017-07,65871.61066927465
2017-08,67603.63243465732
2017-09,66233.51970424516
2017-10,66511.50393051752
2017-11,65844.00386276576
2017-12,65881.6997968579
2018-01,65802.90589006714
2018-02,65754.9078672233
2018-03,65480.642266279676
2018-04,66255.20485710958
2018-05,67998.34472653664
2018-06,65367.57716604649
2018-07,63401.25968203124
2018-08,62896.13125235936
2018-09,62503.418156882406
2018-10,65419.741558203954
2018-11,65323.104091956244
2018-12,68215.6565676083
2019-01,70196.84353199645
2019-02,70420.69874760466
2019-03,70266.92108652246
2019-04,69661.739508407
2019-05,70804.43656388609
2019-06,75455.14176400144
2019-07,78018.50443192125
2019-08,84400.58280703219
2019-09,83127.80089023834
2019-10,82554.2737555161
2019-11,81028.19074011697
2019-12,82620.07638001579
2020-01,87355.29628241716
2020-02,89376.19386795077
2020-03,89497.44412081149
2020-04,95411.73611947392
2020-05,94604.22189693319
2020-06,96224.67863256238
2020-07,101068.42908403196
2020-08,99904.32082981277
2020-09,98216.91279844959
2020-10,98037.78593875059
2020-11,89661.23904885724
2020-12,93919.25671217049
2021-01,93593.10338289941
2021-02,87627.75147790751
2021-03,87894.90593807196
2021-04,89161.53866719014
2021-05,94900.14002189
2021-06,90416.29911415065
2021-07,93571.38086140853
2021-08,93460.75373791729
2021-09,91726.87662360986
2021-10,92585.98946716468
2021-11,96774.2735894095
2021-12,97935.19687647966
2022-01,98070.08193535286
2022-02,103929.80745752425
2022-03,106620.51473478034
2022-04,110511.72482410034
2022-05,104597.15679155836
2022-06,106606.79917289395
2022-07,104781.85988229516
2022-08,104571.19778761061
2022-09,104514.34898377158
2022-10,100751.18139896919
2022-11,102990.20331124924
2022-12,103552.50307403062
2023-01,108231.5454498668
2023-02,104713.85736203348
2023-03,110940.52731156546
2023-04,110027.78391155116
