Date,MSCI Pacific ex-Japan
1978-12,10000
1979-01,10860.538343315548
1979-02,10880.379807559126
1979-03,11059.254393917772
1979-04,11010.44418841473
1979-05,11532.120678023874
1979-06,11104.329643196532
1979-07,11285.157788104592
1979-08,12117.049021934561
1979-09,13225.247304086166
1979-10,12993.775680417191
1979-11,13265.720900877019
1979-12,14658.21936777415
1980-01,16610.017513650673
1980-02,17087.89666849112
1980-03,14918.867147179208
1980-04,16538.368443635285
1980-05,17523.848513876805
1980-06,19121.740013551607
1980-07,19657.767249241406
1980-08,21242.40828540373
1980-09,21606.08692348894
1980-10,24978.171323292572
1980-11,25261.708571221723
1980-12,26169.236571247926
1981-01,25698.26072967955
1981-02,26611.444685579278
1981-03,27189.42909288349
1981-04,28398.815089803014
1981-05,31451.37719009129
1981-06,33111.92174044724
1981-07,30745.743847781418
1981-08,29855.31726289992
1981-09,24320.1049414529
1981-10,23398.388523591355
1981-11,26486.92813105525
1981-12,26395.418443828898
1982-01,25220.28741765664
1982-02,23208.24293737725
1982-03,22175.962310840674
1982-04,25359.367382749908
1982-05,25109.510827721402
1982-06,23788.98024220254
1982-07,22824.03689802291
1982-08,21879.472599252094
1982-09,21522.807385983568
1982-10,20876.182627908925
1982-11,20933.56553301106
1982-12,21522.732684811195
1983-01,23538.18059756571
1983-02,24500.088385106083
1983-03,23953.490601150366
1983-04,26601.211365427036
1983-05,26490.99319566203
1983-06,27455.015949995017
1983-07,29468.126368771325
1983-08,30251.181551385256
1983-09,29146.73062245464
1983-10,29122.856441706877
1983-11,31334.885770838053
1983-12,33511.915052318625
1984-01,36112.387911365666
1984-02,33788.66197500875
1984-03,32776.820474662716
1984-04,33337.015073942144
1984-05,30367.26985752084
1984-06,29415.760384555695
1984-07,30127.55605626723
1984-08,32929.744962958655
1984-09,34467.64920767494
1984-10,35207.3475228547
1984-11,34941.931065087454
1984-12,35545.27324102256
1985-01,39138.00860507205
1985-02,38614.36024185244
1985-03,39183.99852352346
1985-04,37079.462866340466
1985-05,38649.847207686245
1985-06,37483.5450661965
1985-07,39342.776092472704
1985-08,36671.77038136807
1985-09,38416.04134484187
1985-10,37585.54243962678
1985-11,35536.546727866546
1985-12,34347.30927556212
1986-01,35530.52195703528
1986-02,33318.2952239724
1986-03,33444.13968065577
1986-04,36590.43585446028
