Date,S&P MidCap 400
1991-07,10000
1991-08,10136.101786298814
1991-09,9824.600314242272
1991-10,10196.005740081635
1991-11,9483.94758974902
1991-12,10268.24518680186
1992-01,10523.506497169556
1992-02,10927.009840860317
1992-03,10796.591465885285
1992-04,10571.421392701646
1992-05,10467.538376206316
1992-06,9877.645289905136
1992-07,9874.862765156297
1992-08,9395.64256042166
1992-09,9747.19416716519
1992-10,10395.805212952106
1992-11,11695.847668353697
1992-12,12080.382663861365
1993-01,12470.31018642478
1993-02,12602.21100609361
1993-03,13101.491019659767
1993-04,12324.57750211586
1993-05,12917.763710776062
1993-06,13361.396661599852
1993-07,13901.338868376384
1993-08,14585.992067517891
1993-09,14154.016680960085
1993-10,14366.923193233175
1993-11,14426.441886671408
1993-12,15089.48855011658
1994-01,15649.86125306796
1994-02,15368.487594934002
1994-03,14353.605941395732
1994-04,14502.341865670558
1994-05,14056.293366259391
1994-06,13351.816347947019
1994-07,13378.481205119073
1994-08,14095.336775652766
1994-09,13684.083700090743
1994-10,13569.304298641286
1994-11,13149.937454418148
1994-12,13542.066220756771
1995-01,13403.980206145943
1995-02,13952.217674522562
1995-03,13642.772712125552
1995-04,13650.404328358662
1995-05,14195.725324282477
1995-06,14650.323274216975
1995-07,15235.50716429455
1995-08,15987.076175116295
1995-09,16584.708894471252
1995-10,15906.629019969134
1995-11,16637.199572762573
1995-12,16858.610184152807
1996-01,17310.84984951167
1996-02,18002.064148513793
1996-03,18206.185094947527
1996-04,18922.202458574346
1996-05,19410.730593651977
1996-06,18971.195899904953
1996-07,17418.976368661013
1996-08,18256.52990343222
1996-09,19217.672982430653
1996-10,19333.49858285281
1996-11,20160.39674884357
1996-12,20629.42946980494
1997-01,21986.052343618343
1997-02,22755.28782065559
1997-03,22037.995089379856
1997-04,22732.51956419518
1997-05,24644.534223708735
1997-06,25621.580797065533
1997-07,28941.78569852324
1997-08,29731.167088849474
1997-09,30615.50749086108
1997-10,28751.840145324906
1997-11,28577.518198631285
1997-12,30487.598451275964
1998-01,30595.153513868947
1998-02,33056.95959518662
1998-03,34675.26920043376
1998-04,35068.992528401344
1998-05,32981.31658338117
1998-06,33429.59163320431
1998-07,32209.61758405538
1998-08,26107.12642552272
1998-09,27212.50578453939
1998-10,28549.273641457057
1998-11,30841.341229157828
1998-12,34347.139478037665
1999-01,34088.68471914797
1999-02,33376.78123597055
1999-03,35190.84826861619
1999-04,38486.03157020337
1999-05,39173.99005091215
1999-06,41783.0721088404
1999-07,39495.56946331204
1999-08,38578.154191168025
1999-09,37064.57394884709
1999-10,39743.33587607088
1999-11,43304.093573381855
1999-12,46110.418716288805
2000-01,45979.26226837191
2000-02,49587.08224435865
2000-03,54642.79017302907
2000-04,55451.331989504695
2000-05,53476.23912394367
2000-06,52825.04978965861
2000-07,55476.61895533369
2000-08,64004.291985529286
2000-09,64588.71094545908
2000-10,64978.24649516061
2000-11,58226.490903565755
2000-12,58497.7015139249
2001-01,59877.72982253661
2001-02,56735.326157715535
2001-03,54990.84871944218
2001-04,60754.5143401338
2001-05,65072.62932512449
2001-06,64809.88298239893
2001-07,61839.04684416847
2001-08,57184.23574324584
2001-09,50219.31510916027
2001-10,52956.911102646845
2001-11,57817.14906516692
2001-12,61390.35512565937
2002-01,62315.94587995733
2002-02,62291.653062810845
2002-03,66186.02200843387
2002-04,63799.70183897222
2002-05,60191.22336107836
2002-06,52497.323974807485
2002-07,48342.57794003453
2002-08,48338.732050231505
