Date,FTSE 100
2005-03,10000
2005-04,9984.423543548774
2005-05,10336.232591142641
2005-06,10712.776362132294
2005-07,10843.820715523094
2005-08,11041.761653791109
2005-09,11456.040458443063
2005-10,11194.281826024777
2005-11,11426.573005926104
2005-12,11741.562696821262
2006-01,12110.347845240249
2006-02,12264.739068937233
2006-03,12412.910061275932
2006-04,12638.593834074463
2006-05,12183.889589139588
2006-06,12338.174454043978
2006-07,12703.905491690659
2006-08,12935.92427788638
2006-09,12954.580677826327
2006-10,13518.291894294236
2006-11,13300.590465939837
2006-12,13742.291986046808
2007-01,13884.841328877626
2007-02,13615.856535603785
2007-03,13921.103853415598
2007-04,14194.58054835425
2007-05,14683.5256192645
2007-06,14831.452802745005
2007-07,14279.278775493915
2007-08,14196.43513135411
2007-09,14135.930454315152
2007-10,14761.152209581718
2007-11,13804.746981872153
2007-12,13481.788973699095
2008-01,12109.590187114252
2008-02,11863.031222936834
2008-03,11129.126879223217
2008-04,12093.647762775325
2008-05,12048.925378123744
2008-06,11162.898506442012
2008-07,10806.935913523355
2008-08,11067.389150211364
2008-09,9820.121564387788
2008-10,8838.409514686646
2008-11,8269.822826996278
2008-12,7428.186309752524
2009-01,7485.106154912221
2009-02,6953.481332921928
2009-03,6879.681217569787
2009-04,7727.494754380807
2009-05,8265.08006380297
2009-06,8199.02949398396
2009-07,8881.221344097372
2009-08,9232.391785476873
2009-09,9311.932098130565
2009-10,9355.489517739921
2009-11,9470.887632412003
2009-12,10165.512554900408
2010-01,9999.994577368721
2010-02,10035.181756988817
2010-03,10752.717487608441
2010-04,10812.219708877692
2010-05,10328.9164159023
2010-06,10203.572089740457
2010-07,10784.468766238126
2010-08,10811.209494259121
2010-09,11006.360498849286
2010-10,11225.348681073849
2010-11,11387.458917501632
2010-12,11810.868362234125
2011-01,11842.562156302803
2011-02,12242.466170262054
2011-03,11649.788708186776
2011-04,11917.355543748736
2011-05,12003.494944694721
2011-06,11564.828403071804
2011-07,11710.491978155453
2011-08,10781.24574362068
2011-09,10584.066625560887
2011-10,11418.706011987842
2011-11,11497.742608290526
2011-12,11904.417554790276
2012-01,12251.04163929409
2012-02,12604.554394737592
2012-03,12498.158549862732
2012-04,12746.526506809792
2012-05,12065.746184015452
2012-06,12593.344930823818
2012-07,13122.15570923799
2012-08,13258.769858366972
2012-09,13296.04667401039
2012-10,13283.11601968537
2012-11,13413.366149031297
2012-12,13416.447460520712
2013-01,13611.409699245385
2013-02,13766.827216474074
2013-03,14231.249675730809
2013-04,14294.626092014973
2013-05,14549.749027627735
2013-06,13779.813067666879
2013-07,14373.226205858016
2013-08,14360.336131453463
2013-09,14790.85765094767
2013-10,15235.742957998422
2013-11,15397.100171833812
2013-12,15599.43860657097
2014-01,15290.149507136011
2014-02,15987.717187491757
2014-03,15520.602285692137
2014-04,16111.334111548029
2014-05,16481.732059661917
2014-06,16542.852222547983
2014-07,16686.359054551212
2014-08,17024.224015006203
2014-09,16859.578916425708
2014-10,16586.80837157942
2014-11,16848.206097926064
2014-12,16812.231777631874
2015-01,17927.330834288914
2015-02,19134.506342565513
2015-03,18869.623049087426
2015-04,19319.222931760338
2015-05,20098.06290504041
2015-06,18732.090232647188
2015-07,19299.904057143558
2015-08,17550.25333635886
2015-09,16568.112559692254
2015-10,18358.13289937813
2015-11,18722.647515760236
2015-12,17589.16505481491
2016-01,16125.64607847511
2016-02,16292.530833122833
2016-03,16349.279434489408
2016-04,16755.877617279166
2016-05,17202.49061033011
2016-06,16488.576220207855
2016-07,16927.374190944804
2016-08,17047.224254416615
2016-09,17079.586530593286
2016-10,16595.928074499312
2016-11,17240.638750213664
2016-12,17888.18659136237
2017-01,17802.826654075652
2017-02,18482.28000250527
2017-03,18667.970780368858
2017-04,18685.14747070463
2017-05,18953.822016018643
2017-06,18334.393997672145
2017-07,18119.515886095876
2017-08,17896.72361866333
2017-09,18573.16749375198
2017-10,19003.30015358434
2017-11,18590.96952339606
2017-12,19411.51983134993
2018-01,19359.0296237461
2018-02,18426.157726216697
2018-03,18232.760769163804
2018-04,19454.757885061852
2018-05,20003.43920745802
2018-06,19798.27623588712
2018-07,19918.679867510877
2018-08,19217.669741915874
2018-09,19623.26711120769
2018-10,18659.76050574891
2018-11,18355.962572661767
2018-12,17547.581204920905
2019-01,18681.476189219087
2019-02,19447.813548987517
2019-03,19962.92597264431
2019-04,20476.354943848262
2019-05,19361.107879756204
2019-06,19853.27316469928
2019-07,19962.69970253027
2019-08,19315.122787054817
2019-09,20252.840570212084
2019-10,20440.614338667358
2019-11,21050.519546432606
2019-12,21665.98648008397
2020-01,21199.256035614166
2020-02,18821.934073042226
2020-03,15885.109560595885
2020-04,16794.924291946827
2020-05,16728.981201758612
2020-06,16870.89449664581
2020-07,16323.272220098814
2020-08,16761.556666057677
2020-09,16197.486591774797
2020-10,15577.840024109448
2020-11,17629.939645804054
2020-12,18152.12456460876
2021-01,18281.65491234584
2021-02,18929.7587831396
2021-03,20099.396330264917
2021-04,20461.970737735144
2021-05,20957.957588753532
2021-06,21068.278931905486
2021-07,21230.564169579146
2021-08,21532.783082399135
2021-09,21388.508673714216
2021-10,22326.743144543347
2021-11,21649.149383154476
2021-12,22993.833654121692
2022-01,23396.895570124285
2022-02,22693.297002535684
2022-03,23621.533306956455
2022-04,23589.994620128135
2022-05,23789.52168707563
2022-06,22222.8920385619
2022-07,23416.070380757556
2022-08,22695.867431656032
2022-09,20951.622765285847
2022-10,22282.192314383115
2022-11,23752.519719684362
2022-12,22813.26398511757
