Date,MSCI USA Mid-Cap Equal Weighted
1994-05,10000
1994-06,9572.238809201624
1994-07,9589.22057704918
1994-08,10093.857475791892
1994-09,9788.472479298587
1994-10,9623.835884695016
1994-11,9326.036373040244
1994-12,9678.6854164605
1995-01,9653.742499394133
1995-02,10043.083298178333
1995-03,9911.505538319765
1995-04,9870.947092497741
1995-05,10251.925568303506
1995-06,10600.709915048543
1995-07,11027.96268385936
1995-08,11522.445193481117
1995-09,11935.598566846593
1995-10,11507.62673238352
1995-11,12079.89080188315
1995-12,12358.746932183458
1996-01,12678.243110617363
1996-02,13038.887150837989
1996-03,13277.726680491307
1996-04,13868.474684684685
1996-05,14282.311852153383
1996-06,13789.562633492205
1996-07,12748.172295942722
1996-08,13295.985797398504
1996-09,13996.248396946565
1996-10,14006.238072904205
1996-11,14578.294009448819
1996-12,14882.940381488936
1997-01,15703.988544973543
1997-02,16279.681960141488
1997-03,15671.3637702915
1997-04,16002.012565812565
1997-05,17284.90167439419
1997-06,18124.495881104034
1997-07,19948.541553009636
1997-08,20550.40332179931
1997-09,21082.404152627267
1997-10,19719.12095851216
1997-11,19595.504138716173
1997-12,20554.23254609227
1998-01,20769.097065047383
1998-02,22326.63784815937
1998-03,23473.532479498757
1998-04,23490.43385375675
1998-05,22161.538832011538
1998-06,22414.24945533769
1998-07,21180.82416742493
1998-08,17106.123555958315
1998-09,17374.72091231102
1998-10,17901.840592395372
1998-11,19264.94608338327
1998-12,19953.243484178292
1999-01,20427.4125509487
1999-02,20197.968226538393
1999-03,21321.276246509027
1999-04,23732.397380390677
1999-05,24338.413664881406
1999-06,25634.110100697137
1999-07,24126.980407705254
1999-08,23768.995804407456
1999-09,22808.55784716362
1999-10,24231.69382186932
1999-11,26459.31512330395
1999-12,29143.2893808481
2000-01,28595.40263507303
2000-02,31509.39241507103
2000-03,32723.37423636554
2000-04,32303.337950467805
2000-05,30650.85139847361
2000-06,31147.00493930515
2000-07,31833.548484258357
2000-08,36120.6643970357
2000-09,35552.74019851683
2000-10,35521.36683378876
2000-11,30500.459548595114
2000-12,30413.0234497582
2001-01,32332.4288647369
2001-02,29436.016176470584
2001-03,28651.702173913043
2001-04,31664.083659305994
2001-05,33801.67296226415
2001-06,33736.53101886793
2001-07,31556.440178183897
2001-08,28654.94553395938
2001-09,24801.077524915123
2001-10,26186.909851802695
2001-11,28932.449557203865
2001-12,30605.05511403608
2002-01,30765.730934352203
2002-02,30094.663756791124
2002-03,31898.97333333333
2002-04,30265.823516873883
2002-05,28576.51668051561
2002-06,24708.863486716793
2002-07,22609.3834283962
2002-08,22572.467958913865
2002-09,20339.932267748478
2002-10,21541.216366585562
2002-11,23017.345824518987
2002-12,20749.593515781442
2003-01,19715.906612426035
2003-02,19424.05909107772
2003-03,19423.464855438273
2003-04,20401.98041505705
2003-05,21173.34921333108
2003-06,21974.63652052157
2003-07,22891.55606290864
2003-08,24827.512400475887
2003-09,22875.068726398902
2003-10,24666.425661676134
2003-11,24459.339776554945
2003-12,24075.219179730797
2004-01,25198.355387596897
2004-02,25715.731100016106
2004-03,26113.259541884814
2004-04,25860.515155269102
2004-05,25905.917284800787
2004-06,26613.90116330728
2004-07,25692.594255336826
2004-08,25532.811467261166
2004-09,25888.694386332507
2004-10,25923.241227918657
2004-11,26343.824631816475
2004-12,26797.38332281036
2005-01,27026.78914307633
2005-02,27374.6314007694
2005-03,27750.98747300216
2005-04,26731.802904993434
2005-05,29500.934827670095
2005-06,30779.77073106186
2005-07,32482.338357727607
2005-08,32049.27826856862
2005-09,32902.41893373194
2005-10,32042.61418947018
