Date,MSCI USA Mid-Cap Equal Weighted
2005-11,34358.08547880024
2005-12,34680.792716792406
2006-01,35278.53710513286
2006-02,35961.88301473684
2006-03,36158.16425644416
2006-04,35190.5808407115
2006-05,33076.506795150766
2006-06,33512.74997246912
2006-07,32487.218435027804
2006-08,33158.35063419189
2006-09,34427.568518167456
2006-10,35579.389161940766
2006-11,35489.73429090909
2006-12,35609.89743963554
2007-01,37382.378162729656
2007-02,36585.1801801529
2007-03,36470.54727736896
2007-04,37028.17424182285
2007-05,38850.170995317036
2007-06,38023.126036282854
2007-07,35660.97775443204
2007-08,35757.30270704122
2007-09,35471.59490514141
2007-10,35155.137481830134
2007-11,32706.306141860307
2007-12,32579.76150533252
2008-01,30485.524207128445
2008-02,29010.194195292413
2008-03,27436.476083986847
2008-04,29467.8007001287
2008-05,30749.67354139799
2008-06,27317.46865262624
2008-07,26970.450999935943
2008-08,29212.08457685782
2008-09,26782.226609802143
2008-10,23202.6623312691
2008-11,21292.592152117544
2008-12,20567.778124595818
2009-01,20571.549600499373
2009-02,18746.14923125593
2009-03,19468.915779981966
2009-04,22858.44407683616
2009-05,22445.7996084551
2009-06,22306.94827225131
2009-07,24346.0853529495
2009-08,25418.438419282513
2009-09,26317.10806801885
2009-10,24888.495254054054
2009-11,25696.437569060774
2009-12,28419.89247813411
2010-01,28307.62887011313
2010-02,30651.314334561535
2010-03,33041.8959626085
2010-04,34655.40149305295
2010-05,34761.97728122207
2010-06,32720.509819900573
2010-07,32951.256027018724
2010-08,32388.00136277602
2010-09,33270.11947245018
2010-10,34075.313167352244
2010-11,37003.389432220334
2010-12,38571.53615327047
2011-01,38477.58896874087
2011-02,39570.148596212224
2011-03,39140.701592172874
2011-04,38626.66263257066
2011-05,39697.69930344109
2011-06,38563.35962360756
2011-07,37735.325520336606
2011-08,34794.24213702422
2011-09,33714.01203288158
2011-10,36845.300878508686
2011-11,38219.43352511551
2011-12,39518.9715928588
2012-01,41437.06663023679
2012-02,42393.54780926876
2012-03,43438.17814914645
2012-04,43478.69769638263
2012-05,42755.079255018936
2012-06,43368.54923590151
2012-07,44503.45058938456
2012-08,44813.32458330029
2012-09,44656.300547563806
2012-10,44096.372163472646
2012-11,44906.8560603727
2012-12,45491.778699408824
2013-01,47506.882160885616
2013-02,49722.516298270995
2013-03,53278.13907692307
2013-04,52908.46166462668
2013-05,54464.08985391358
2013-06,53428.82628746177
2013-07,55924.807147269305
2013-08,54642.592181337364
2013-09,56080.77031025546
2013-10,57440.557261197864
2013-11,58375.62485636617
2013-12,59419.83390907114
2014-01,58960.3927907665
2014-02,61140.56421052632
2014-03,61190.33509718596
2014-04,60548.532516967505
2014-05,63192.08167560815
2014-06,64941.886940986966
2014-07,64461.77228193437
2014-08,68301.98737033668
2014-09,69020.71788285782
2014-10,71637.42367294795
2014-11,73361.81169270207
2014-12,75535.03293633144
2015-01,79468.41437240159
2015-02,84896.10025622774
2015-03,88798.25986801747
2015-04,84968.13504770397
2015-05,87813.01119416593
2015-06,84314.34772008222
2015-07,86481.44341387799
2015-08,80007.13631386537
2015-09,76989.79189145764
2015-10,83465.86630843244
2015-11,87481.24937328669
2015-12,82229.16902728024
2016-01,76048.07733333332
2016-02,77124.77519470979
2016-03,80146.43143785684
2016-04,81256.19643953345
2016-05,84441.32244575938
2016-06,84245.54056566385
2016-07,88494.67129308017
2016-08,88440.61842615882
2016-09,88442.42842756024
2016-10,87552.60601498264
2016-11,95162.52402820876
2016-12,96418.37741390761
2017-01,96936.62122547653
2017-02,101350.0539699915
2017-03,100206.83483303715
2017-04,98620.24648490394
2017-05,96176.0733054095
2017-06,96128.80705222573
2017-07,94744.20224098235
2017-08,93002.45837124735
2017-09,95603.22671184145
2017-10,98146.09443547
2017-11,100458.85650434635
2017-12,100318.48813140998
2018-01,100739.94587460865
2018-02,98434.74765351234
2018-03,97711.51894813732
2018-04,99613.48583160856
2018-05,105031.68041029146
2018-06,106588.34232973066
2018-07,108493.75331970007
2018-08,112014.37291906275
2018-09,112181.73713890808
2018-10,104777.38284502564
2018-11,106656.52066555155
2018-12,94786.50635458516
2019-01,104945.72048746518
2019-02,110231.80549404345
2019-03,112446.36281619937
2019-04,116881.41146015335
2019-05,109248.44081427675
2019-06,115206.96683304042
2019-07,118637.59593937763
2019-08,114790.37513591883
2019-09,119996.15638534301
2019-10,118671.89779451318
2019-11,125088.10457840102
2019-12,124870.00665123732
2020-01,125691.76936663048
2020-02,114826.6809365036
2020-03,91571.35929901425
2020-04,105951.91583670466
2020-05,111074.33985632185
2020-06,112698.15585640293
2020-07,112484.28713031736
2020-08,115932.519959799
2020-09,115727.86880765289
2020-10,116892.1337117456
2020-11,131353.5832387312
2020-12,135056.63904816232
2021-01,135892.60358602504
2021-02,144334.1667783186
2021-03,153737.32156588483
2021-04,157272.5249594438
2021-05,157753.18209327105
2021-06,164433.76538539215
2021-07,165712.03884618622
2021-08,171132.00097346626
2021-09,167245.65746955696
2021-10,176947.86190124517
2021-11,176327.27993663642
2021-12,184590.4427900406
2022-01,175001.08357117246
2022-02,173450.7669041879
2022-03,178193.84685343664
2022-04,173431.06729411762
2022-05,170955.448625035
2022-06,158836.94775392316
2022-07,177191.72283192782
2022-08,175108.383904
2022-09,161435.54967583093
2022-10,171527.19204357476
2022-11,174314.97043947573
2022-12,160911.49992874556
2023-01,173735.96217483617
2023-02,170781.9244147283
2023-03,162690.89580137935
2023-04,158682.21651215735
2023-05,159533.34275390807
2023-06,169881.68820173017
