Date,FTSE World Government Bond G7
1999-05,28762.664762719985
1999-06,28619.326373671887
1999-07,28250.58134145403
1999-08,28856.103444263208
1999-09,29116.134173015893
1999-10,29557.44087476357
1999-11,30652.85779372289
1999-12,30739.669478538188
2000-01,30858.186214663412
2000-02,31139.113678634043
2000-03,32395.33388426818
2000-04,32976.014610949926
2000-05,32609.8829033346
2000-06,32243.41590124197
2000-07,32867.45809312114
2000-08,34165.540800407085
2000-09,34355.37664417564
2000-10,35440.38957273621
2000-11,35084.19836021277
2000-12,33391.17820507004
2001-01,33670.15307179049
2001-02,34090.04037339971
2001-03,34458.74595920846
2001-04,34271.612194462905
2001-05,35966.594808458096
2001-06,35590.82831542137
2001-07,35178.702094801556
2001-08,35098.941455611945
2001-09,35264.221909719
2001-10,35891.47898393939
2001-11,35575.96688079492
2001-12,34786.54561878596
2002-01,35380.71701737811
2002-02,35380.884664616766
2002-03,34966.7170923263
2002-04,35024.30884960464
2002-05,34666.75673596743
2002-06,34237.865791482334
2002-07,34850.39949350811
2002-08,35469.00794253447
2002-09,35469.471437841334
2002-10,35238.17741811418
2002-11,35063.19314736981
2002-12,34750.6198017029
2003-01,34309.85548808028
2003-02,34632.596145691365
2003-03,34279.7480163387
2003-04,33843.0269596483
2003-05,33293.97239145827
2003-06,33607.37411171618
2003-07,33301.92084289087
2003-08,34076.87513436433
2003-09,33820.039564748324
2003-10,33784.29125650619
2003-11,33241.666452998616
2003-12,32685.86654885339
2004-01,33365.07454385158
2004-02,33332.01845303017
2004-03,34283.574318020896
2004-04,33587.77910799835
2004-05,33165.80114670711
2004-06,33383.95951220571
2004-07,33542.89895605078
2004-08,34018.77057376774
2004-09,33669.03871073356
2004-10,33807.79145472439
2004-11,33380.458643398546
2004-12,33123.21874808931
2005-01,34171.85222586225
2005-02,33505.73057708124
2005-03,33795.286943041356
2005-04,34584.25457134573
2005-05,35506.84691045862
2005-06,35904.79214700888
2005-07,35372.393825059116
2005-08,35535.85974434782
2005-09,35551.80595522438
2005-10,35135.82384811554
2005-11,35287.298059039436
2005-12,35667.52199630386
2006-01,35019.338602058706
2006-02,35566.085555316684
2006-03,34553.85125153595
2006-04,33903.6758136315
2006-05,33838.50048420467
2006-06,33626.002678411176
2006-07,33946.76115396525
2006-08,34131.735227812875
2006-09,34415.44366362469
2006-10,34462.917416970246
2006-11,33980.24129368443
2006-12,33502.79181960368
2007-01,33574.57442255388
2007-02,33780.12966034669
2007-03,33580.80695519085
2007-04,33017.670018954
2007-05,32836.58141640221
2007-06,32487.677927959023
2007-07,33029.582834500616
2007-08,33800.04023533728
2007-09,33054.01002333255
2007-10,32952.55385914082
2007-11,33450.22947948491
2007-12,33415.29968423149
2008-01,34225.5486502425
2008-02,34143.92416822315
2008-03,33742.438616456646
2008-04,33140.03277996596
2008-05,32704.24857549155
2008-06,32416.388405122503
2008-07,32736.82144780155
2008-08,34183.74531820432
2008-09,35612.51397882122
2008-10,39199.46471222858
2008-11,40655.55987274588
2008-12,39569.107150253345
2009-01,41444.24151458432
2009-02,40423.960143348246
2009-03,39419.9011078524
2009-04,39419.00370204549
2009-05,37986.64541820097
2009-06,38366.97783309041
2009-07,38498.206174546416
2009-08,38810.31602490646
2009-09,38976.25720636586
2009-10,38576.951068701834
2009-11,39187.8378831479
2009-12,38942.777066646675
2010-01,40484.115917217765
2010-02,41367.13364640633
2010-03,40858.50178593617
2010-04,41655.89122258228
2010-05,45071.90094217748
2010-06,46183.49088886566
2010-07,44747.91772267991
2010-08,46906.71121481134
2010-09,44489.71139034785
2010-10,44316.36414558091
2010-11,45344.34742819274
2010-12,44647.63508915874
2011-01,43578.016121747394
2011-02,43386.88840808099
2011-03,42255.03286872037
2011-04,41623.00277899952
2011-05,43011.57554874886
2011-06,42730.8058704146
2011-07,44235.72582378895
2011-08,45012.19880201255
2011-09,47716.42765429956
2011-10,45961.23995842348
2011-11,47166.357341075345
2011-12,49338.68095152628
2012-01,49559.87669052517
2012-02,47793.24953601161
2012-03,47517.164118757355
2012-04,48646.8698288223
2012-05,52177.757353303736
2012-06,50662.05866864425
2012-07,52805.84280211511
2012-08,51885.13402903649
2012-09,51330.961289266445
2012-10,50515.209549186715
2012-11,50122.77694830745
2012-12,48754.56838725328
2013-01,46529.741606297226
2013-02,47805.882248524205
2013-03,48545.19670938055
2013-04,47482.81615803809
2013-05,46723.07831887293
2013-06,46420.27782105925
2013-07,45972.26522976547
2013-08,46185.2363924681
2013-09,45721.96790245692
2013-10,45904.73297739523
2013-11,45257.15114088877
2013-12,44192.42352820517
2014-01,45908.993189577464
2014-02,45319.4370208494
2014-03,45268.72866195808
2014-04,45473.721788421295
2014-05,46400.1305676141
2014-06,46567.43265018727
2014-07,47235.93094511623
2014-08,48165.10097294568
2014-09,48655.715686061805
2014-10,48916.34797255319
2014-11,48788.354236642954
2014-12,50106.06153245355
2015-01,53893.00555997135
2015-02,53507.03230858137
2015-03,55453.79149022616
2015-04,53583.18360133882
2015-05,53583.36111017974
2015-06,52649.0137411566
2015-07,53350.47937248652
2015-08,52950.542092276984
2015-09,53616.03259851247
2015-10,54111.15406386768
2015-11,55538.88725624585
2015-12,54498.803787644196
2016-01,55495.96956315075
2016-02,57035.87848139214
2016-03,55514.96300912987
2016-04,56087.843208413135
2016-05,56958.27753310046
2016-06,59284.540755043716
2016-07,59084.9813714333
2016-08,58800.178297769104
2016-09,58589.633089225805
2016-10,58017.11776922667
2016-11,57244.98389600348
2016-12,57124.17926815077
2017-01,56261.31865400963
2017-02,57472.51078366208
2017-03,57151.11130396022
2017-04,56835.94435689532
2017-05,55820.041537068784
2017-06,54828.21088839231
2017-07,53876.55640737884
2017-08,54035.07180232615
2017-09,53683.44651165541
2017-10,54251.59314184731
2017-11,53671.66189693837
2017-12,53321.53556981324
2018-01,52032.98903192595
2018-02,52922.80140508109
2018-03,53219.58632550782
2018-04,53215.996702280194
2018-05,54615.82156022382
2018-06,54404.34936106679
2018-07,53957.08625154581
2018-08,54255.60681397271
2018-09,53719.85554724989
2018-10,54638.02988854416
2018-11,54908.63225493425
2018-12,55804.115049396765
2019-01,56282.59999171625
2019-02,56204.73278016318
2019-03,57799.71874710315
2019-04,57587.122325286924
2019-05,59010.10222536918
2019-06,58894.68203235789
2019-07,60002.03149006838
2019-08,62538.99770619131
2019-09,62336.19385543285
2019-10,61150.52355246471
2019-11,61197.89868978752
2019-12,60154.935633321955
2020-01,62066.22263158829
2020-02,63437.34036531319
2020-03,63564.8212979052
2020-04,64377.42718685961
2020-05,63294.13017709465
2020-06,62959.67393598242
2020-07,61713.41394864472
2020-08,60614.62436170779
2020-09,61782.10987008324
2020-10,62060.58179508774
2020-11,61180.25628331988
2020-12,60471.374727080154
2021-01,60118.02365601153
2021-02,58756.79710936714
2021-03,59535.7895799694
2021-04,58390.594669647544
2021-05,58282.471269883354
2021-06,59351.2945866316
2021-07,60298.57989785511
2021-08,60261.55183135129
2021-09,60284.79941467732
2021-10,59706.681735876235
2021-11,61304.07299437943
2021-12,61048.019408077955
2022-01,60714.93294555229
2022-02,59883.68982948588
2022-03,58269.17793827684
2022-04,57988.24769637571
2022-05,57007.97136444943
2022-06,57045.04507131308
2022-07,59065.559522172014
2022-08,57724.498597585356
2022-09,56286.831100083866
2022-10,54955.23205689873
2022-11,54763.24335290606
2022-12,53181.73215609703
2023-01,53918.81807671943
2023-02,53288.13112901013
2023-03,53984.93564961549
2023-04,53637.037663330986
