Date,FTSE World Government Bond G7
1985-01,10000
1985-02,10268.422952287596
1985-03,9858.13098969068
1985-04,10062.512696812926
1985-05,10295.197202460666
1985-06,10344.031856919984
1985-07,9887.429810045816
1985-08,10037.128932560447
1985-09,10014.486693740051
1985-10,9924.972929901758
1985-11,9906.955782547724
1985-12,9954.399951086452
1986-01,9932.526917243405
1986-02,9925.357532390432
1986-03,10768.75134364331
1986-04,10451.395120873658
1986-05,10657.23634513241
1986-06,10610.936122457431
1986-07,10524.834473005836
1986-08,10531.708009790598
1986-09,10326.044294372772
1986-10,10444.2947672366
1986-11,10203.168730042582
1986-12,10119.946668454904
1987-01,9993.737882556206
1987-02,10109.177798772032
1987-03,10176.502957494522
1987-04,10194.766644905398
1987-05,10291.489240005758
1987-06,10215.801442555181
1987-07,10186.423729381855
1987-08,10093.971208066001
1987-09,9957.969851109528
1987-10,10036.635852446761
1987-11,9829.88736077883
1987-12,9835.449304461192
1988-01,10464.126449408994
1988-02,10594.644755501295
1988-03,10525.712155608195
1988-04,10579.566365624822
1988-05,10798.62213693032
1988-06,11131.332874440108
1988-07,11389.844916442644
1988-08,11283.487535920885
1988-09,11544.780549764602
1988-10,11551.880903401661
1988-11,11347.094870586192
1988-12,11490.916478145702
1989-01,11958.879090839162
1989-02,11695.21929244976
1989-03,11948.820256519997
1989-04,12033.265156789614
1989-05,12430.194648305678
1989-06,12562.823337284548
1989-07,12499.758390744293
1989-08,12732.600682028413
1989-09,12434.20832043107
1989-10,12379.397534993896
1989-11,12174.67067179207
1989-12,11768.66850618421
1990-01,11452.426644471487
1990-02,11380.367916657626
1990-03,11213.243342925385
1990-04,11087.369851503992
1990-05,11536.644727888808
1990-06,11465.868008370528
1990-07,11263.044434407524
1990-08,11049.34351313664
1990-09,11190.295394434506
1990-10,11230.313776461144
1990-11,11406.550470694276
1990-12,11464.724062506779
1991-01,11585.607583177683
1991-02,11974.085681545193
1991-03,12901.677853010846
1991-04,13146.96548636436
1991-05,13386.898269683265
1991-06,13754.76561929876
1991-07,13561.359875507133
1991-08,13854.939775194915
1991-09,13749.49952368461
1991-10,13970.803740308509
1991-11,13852.681468274239
1991-12,13688.732330474126
1992-01,14133.86533390399
1992-02,14316.058435910432
1992-03,14221.712486958031
1992-04,14292.91325537408
1992-05,14351.82646735711
1992-06,14033.651731598742
1992-07,13964.521899660169
1992-08,13752.477727571264
1992-09,14306.236280045836
1992-10,15165.122668470683
1992-11,15498.178562060048
1992-12,15927.020198533775
1993-01,16131.39204405375
1993-02,16989.982584410383
1993-03,16805.40297465371
1993-04,16766.597569706733
1993-05,16981.097280761787
1993-06,18262.41526418246
1993-07,19355.258304948355
1993-08,19067.358688170218
1993-09,18815.453919691055
1993-10,19183.69601019295
1993-11,19416.17342219294
1993-12,19630.71257965709
1994-01,19758.124481033177
1994-02,19307.271748284573
1994-03,18887.07873700487
1994-04,18740.20003274052
1994-05,18480.05096476055
1994-06,18252.79034036334
1994-07,18338.773650587653
1994-08,18214.034243427734
1994-09,17997.63124313386
1994-10,17773.743286714252
1994-11,18263.440870818926
1994-12,18134.244019431302
1995-01,18220.148436837422
1995-02,18315.539715630835
1995-03,18480.405982442404
1995-04,18919.10922118982
1995-05,19788.300983990674
1995-06,19544.157296500904
1995-07,19299.609283317914
1995-08,19622.202016894895
1995-09,19625.04215834972
1995-10,19729.00316951897
1995-11,20354.268200080074
1995-12,20442.618294850072
1996-01,20977.521463777346
1996-02,20449.10722914616
1996-03,20407.07708025569
1996-04,20859.14279008396
1996-05,20728.1609886848
1996-06,20691.722368283507
1996-07,20524.272361676234
1996-08,20598.254101933464
1996-09,21128.32508574663
1996-10,21215.412895425598
1996-11,21722.831778816093
1996-12,21596.376452860553
1997-01,22365.620876617548
1997-02,22866.491656098315
1997-03,22356.567925730298
1997-04,22948.283785356307
1997-05,23320.22397671084
1997-06,23947.530358942597
1997-07,25069.10024713175
1997-08,24576.306119913137
1997-09,24649.992012102157
1997-10,24408.23483236262
1997-11,24488.291319620446
1997-12,24953.039049972682
1998-01,25711.268063989963
1998-02,25678.941731736806
1998-03,25750.438348221065
1998-04,25485.427510320165
1998-05,25412.77708636989
1998-06,25657.512469996072
1998-07,25364.070632740128
1998-08,25882.475341063517
1998-09,25805.643597749186
1998-10,26419.1733216046
1998-11,26633.653309455105
1998-12,26845.42135668035
1999-01,27509.225528927036
1999-02,27619.68533599465
1999-03,28204.547382040444
1999-04,28804.044045860395
