Date,MSCI ZHONG HUA (A ONSH) ex HONG KONG SMID CAP
2009-12,1024.7468651534464
2010-01,985.7695548171023
2010-02,1037.1113063908651
2010-03,1072.7411603352286
2010-04,1023.0771031364477
2010-05,936.7118323902063
2010-06,872.4421601109044
2010-07,979.4907699324538
2010-08,1033.9866786374857
2010-09,1094.6306044573298
2010-10,1178.5673083213712
2010-11,1181.3030794343765
2010-12,1161.0843433960465
2011-01,1105.8468985641525
2011-02,1179.0976300322586
2011-03,1182.3811395591667
2011-04,1168.4335191056118
2011-05,1092.977707994246
2011-06,1108.9029525813648
2011-07,1117.7626416969995
2011-08,1054.8185713648893
2011-09,896.0193742148666
2011-10,957.7339714148634
2011-11,900.4568549144284
2011-12,799.5815959067309
2012-01,814.0472029860942
2012-02,916.5054196095095
2012-03,845.0549113703916
2012-04,893.3677948203567
2012-05,883.7385186911962
2012-06,831.4785234742279
2012-07,768.1041443372345
2012-08,771.5576153170999
2012-09,800.4966592444558
2012-10,814.1064104061692
2012-11,755.9045766082195
2012-12,860.3054571191817
2013-01,916.6335142806038
2013-02,937.3809272879356
2013-03,902.0478437306446
2013-04,892.1807647956022
2013-05,992.9183299562715
2013-06,849.6096255619611
2013-07,893.1151974329613
2013-08,952.2825149159511
2013-09,992.8584114112518
2013-10,981.2194955177199
2013-11,1037.9152593392948
2013-12,1017.815012623199
2014-01,1014.7932685911984
2014-02,1033.9005713752997
2014-03,994.6111331235861
2014-04,966.6153581010793
2014-05,986.0935325189992
2014-06,1021.1820716759429
2014-07,1096.7284012438672
2014-08,1143.2279396266965
2014-09,1242.878556750466
2014-10,1269.3371179948863
2014-11,1318.937211481837
2014-12,1297.80821822363
2015-01,1352.9692359358162
2015-02,1428.3202420048424
2015-03,1696.0564615098776
2015-04,1988.3498424700522
2015-05,2332.8913585663877
2015-06,2090.1644692480195
2015-07,1754.6399287695717
2015-08,1495.5636773017452
2015-09,1420.7022992053846
2015-10,1656.748077328441
2015-11,1724.6540195812424
2015-12,1789.271957970294
2016-01,1299.1317292563083
2016-02,1286.0714412731054
2016-03,1492.472132015939
2016-04,1473.3790203398864
2016-05,1420.7174657543271
2016-06,1465.8867290008998
2016-07,1470.0658441478859
2016-08,1541.1183720693607
2016-09,1531.8184440669645
2016-10,1548.8865503190261
2017-04,1458.257186
2017-05,1390.582385
2017-06,1451.868197
2017-07,1501.709008
2017-08,1566.306397
2017-09,1601.635839
2017-10,1588.973613
2017-11,1494.229843
2017-12,1506.077559
2018-01,1534.85782
2018-02,1458.783597
2018-03,1472.119396
2018-04,1397.4438655876954
2018-05,1390.6234707307713
2018-06,1207.0296050120678
2018-07,1161.9613947134626
2018-08,1059.2171623952252
2018-09,1043.488884553622
2018-10,918.9323706595433
2018-11,969.8496376950224
2018-12,931.0585923943906
2019-01,966.8203718810211
2019-02,1142.2166198123468
2019-03,1248.068468209023
2019-04,1208.2013382607006
2019-05,1108.8040019761127
2019-06,1128.8356201282495
2019-07,1107.7372897208886
2019-08,1059.6377735535864
2019-09,1070.9013016798858
2019-10,1088.4721288365201
2019-11,1073.9829622178274
2019-12,1169.9000879272887
2020-01,1188.5553292263712
2020-02,1205.309037333383
2020-03,1106.247398440372
2020-04,1165.6519468076583
2020-05,1169.725776194629
2020-06,1287.9839824819076
2020-07,1471.1614470318623
2020-08,1527.520336550166
2020-09,1425.722677980393
2020-10,1430.4966012525342
2020-11,1498.6564171155337
2020-12,1518.6739277371184
