Date,ACWI ex PORTUGAL
1998-12,1000.0
1999-01,1019.834844993495
1999-02,994.0449174968982
1999-03,1040.0157500550324
1999-04,1085.128571335603
1999-05,1047.5622028852488
1999-06,1100.5377456840747
1999-07,1095.4792150158382
1999-08,1094.487750680941
1999-09,1082.7184980948443
1999-10,1136.9528997523992
1999-11,1172.1449010366646
1999-12,1269.3885712448193
2000-01,1200.1338144255635
2000-02,1203.7592318736347
2000-03,1283.913416439409
2000-04,1226.5288788370112
2000-05,1195.7006358271815
2000-06,1236.1065629979419
2000-07,1199.2823665374783
2000-08,1237.225626685995
2000-09,1168.9986147101117
2000-10,1145.844709202329
2000-11,1074.618095921975
2000-12,1091.9887537173288
2001-01,1119.5683387265465
2001-02,1025.4172029726321
2001-03,956.4976821698696
2001-04,1026.3349894811615
2001-05,1015.1078945169082
2001-06,983.8174372718074
2001-07,968.4937777579593
2001-08,923.972398820665
2001-09,839.4166179094428
2001-10,857.2073125689413
2001-11,910.0648993305654
2001-12,918.6126759689275
2002-01,893.5067384690572
2002-02,886.9553271208993
2002-03,927.0012995509497
2002-04,897.5623701845536
2002-05,898.8146745406628
2002-06,843.9016804864544
2002-07,773.1762199220163
2002-08,775.1768827769604
2002-09,690.2482580888027
2002-10,741.0406747353929
2002-11,781.5082500674456
2002-12,744.1940044663764
2003-01,722.43842522703
2003-02,709.8610282439957
2003-03,707.1373415216332
2003-04,770.3047344030292
2003-05,815.0888702431089
2003-06,830.7622097326035
2003-07,849.2591387393954
2003-08,869.4177842216149
2003-09,874.9037017510029
2003-10,928.0220442668274
2003-11,942.1230635613141
2003-12,1001.8945195979979
2004-01,1019.054026000439
2004-02,1037.753494479212
2004-03,1032.2180182316886
2004-04,1008.4970528122991
2004-05,1017.0535405464115
2004-06,1037.596378308017
2004-07,1004.735918488105
2004-08,1011.2565729165274
2004-09,1032.5059214300493
2004-10,1057.9766169420777
2004-11,1116.0892788582898
2004-12,1159.5972130647335
2005-01,1135.198255935457
2005-02,1175.1197258777825
2005-03,1149.7190628920625
2005-04,1125.1232087778426
2005-05,1147.0724613641387
2005-06,1159.2258442586717
2005-07,1202.4346453651183
2005-08,1212.085810640841
2005-09,1248.9250659618829
2005-10,1215.5277326125897
2005-11,1260.443001522492
2005-12,1291.6891410745586
2006-01,1355.575740167607
2006-02,1354.0244545691567
2006-03,1382.9698100447051
2006-04,1429.6967150163982
2006-05,1374.5305870459879
2006-06,1374.47620095209
2006-07,1384.1591080537999
2006-08,1420.7365607431432
2006-09,1437.6512297338331
2006-10,1491.8834269532447
2006-11,1534.7411121696025
2006-12,1569.3230620792888
2007-01,1585.2655918915084
2007-02,1577.4620831131544
2007-03,1609.8058179429763
2007-04,1682.0526390238417
2007-05,1733.5139986768518
2007-06,1728.9914366981288
2007-07,1702.9310671489602
2007-08,1699.096938314657
2007-09,1791.0247328905677
2007-10,1861.0673934972538
2007-11,1779.3975367654193
2007-12,1760.24011000116
2008-01,1616.5511512825738
2008-02,1621.9455943166342
2008-03,1598.8422959817508
2008-04,1689.2332269496433
2008-05,1717.6448027827187
2008-06,1577.3436432665064
2008-07,1536.8951237549127
2008-08,1504.5338031631256
2008-09,1317.0360412399525
2008-10,1056.4920076965532
2008-11,987.7086008540474
2008-12,1023.9280561693504
2009-01,936.7116773142533
2009-02,845.551581926889
2009-03,915.6922812868341
2009-04,1024.6411396429392
2009-05,1127.8699000696433
2009-06,1122.0002957300578
2009-07,1221.2431831544163
2009-08,1265.3751647685121
2009-09,1323.770684868272
2009-10,1303.5538677097193
2009-11,1357.7970216489753
2009-12,1386.3717845301228
2010-01,1326.8353447312998
2010-02,1344.3448535384173
2010-03,1431.4933783558843
2010-04,1434.7911613320825
2010-05,1300.009582677876
2010-06,1260.3832549005922
2010-07,1363.3007601365798
2010-08,1316.1621251639651
2010-09,1442.521936095719
2010-10,1494.8569581133427
2010-11,1462.4290096045945
2010-12,1569.974055756029
2011-01,1594.903162747956
2011-02,1642.0049851483898
2011-03,1641.0436793340552
