Date,MSCI GOLDEN DRAGON + OVERSEAS CHINA
2008-05,1000.0
2008-06,883.4155711083522
2008-07,872.6396159980031
2008-08,828.8851602645974
2008-09,668.3773669167593
2008-10,527.0219797238238
2008-11,514.2422350535834
2008-12,550.9291496117075
2009-01,513.3328229191064
2009-02,505.3197552133964
2009-03,567.3193831961764
2009-04,648.8168846887997
2009-05,758.0809958796576
2009-06,753.400000216879
2009-07,842.9076174932429
2009-08,794.3712061784317
2009-09,858.0779534486666
2009-10,875.838451186819
2009-11,896.3548394149983
2009-12,924.0300025413812
2010-01,854.0426054563973
2010-02,863.535090515899
2010-03,914.4129377767299
2010-04,917.0171363673023
2010-05,855.6276881565024
2010-06,860.0683585446432
2010-07,915.6382215555187
2010-08,901.563430046374
2010-09,1000.4377550912717
2010-10,1034.2407401413582
2010-11,1029.1191636025649
2010-12,1060.5511786193154
2011-01,1075.7254123875693
2011-02,1032.8841420847498
2011-03,1071.078024173601
2011-04,1110.4119720129083
2011-05,1107.1944687660782
2011-06,1065.7041458463282
2011-07,1074.2809527670963
2011-08,983.6351736732288
2011-09,831.5678863471643
2011-10,936.1725008495016
2011-11,855.7167920634485
2011-12,872.4840803565949
2012-01,959.7649287763041
2012-02,1029.002112030128
2012-03,981.0854651856815
2012-04,983.823452178831
2012-05,897.5268278939409
2012-06,913.0358841516303
2012-07,927.9061264466077
2012-08,923.2982731408289
2012-09,988.3625887339442
2012-10,997.3543547277768
2012-11,1030.009372388039
2012-12,1059.0475254537023
2013-01,1095.87873621697
2013-02,1071.5289503078
2013-03,1042.2829415505298
2013-04,1065.9877754359902
2013-05,1061.1260064032354
2013-06,1007.5927453691099
2013-07,1047.6208533166964
2013-08,1057.2672159087965
2013-09,1111.4675515365127
2013-10,1143.2716543166591
2013-11,1167.2594181180095
2013-12,1156.7769793085338
2014-01,1090.7248888624147
2014-02,1125.0141281080814
2014-03,1113.966482572883
2014-04,1110.86653808246
2014-05,1162.069107968063
2014-06,1203.0205528087408
2014-07,1268.6637186983971
2014-08,1280.7627588814462
2014-09,1196.8706434505232
2014-10,1252.7602947194202
2014-11,1272.3797763591836
2014-12,1251.7398903390733
2015-01,1278.9568740137468
2015-02,1305.4442466439107
2015-03,1323.058520207656
2015-04,1469.4003678054644
2015-05,1443.901293145836
2015-06,1384.9745107616986
2015-07,1276.207591643815
2015-08,1132.3730489993
2015-09,1105.0084936872524
2015-10,1214.2151769707268
2015-11,1186.7653114000261
2015-12,1175.719852997376
2016-01,1055.5232399042459
2016-02,1052.878695464377
2016-03,1163.3609503746784
2016-04,1149.1447298816936
2016-05,1148.118371742059
2016-06,1171.447425495768
2016-07,1230.848058183837
2016-08,1287.7963354768342
2016-09,1324.920541438599
2016-10,1312.443523369657
2016-11,1291.9476714311081
2016-12,1241.6587585161558
2017-01,1322.6074066658157
2017-02,1368.9996958382285
2017-03,1400.091746811626
2017-04,1436.523516
2017-05,1496.502648
2017-06,1533.504122
2017-07,1632.683063
2017-08,1684.049619
2017-09,1679.872692
2017-10,1743.989312
2017-11,1757.388988
2017-12,1790.750089
2018-01,1967.659607
2018-02,1867.692539
2018-03,1827.7174701866343
2018-04,1819.7179953065734
2018-05,1841.3539021499687
2018-06,1760.6111122160885
2018-07,1761.5945532639028
2018-08,1719.4118274897487
2018-09,1705.9966969666038
2018-10,1509.7928102333642
2018-11,1592.8111576222802
2018-12,1530.551428256926
2019-01,1658.6833286370813
2019-02,1728.0601574548705
2019-03,1765.9245641366135
2019-04,1807.9514911245994
2019-05,1613.8808553985814
2019-06,1732.2996169663759
2019-07,1728.7687821387367
2019-08,1650.4675692103322
2019-09,1663.40468491284
2019-10,1747.4767897030624
2019-11,1767.8660503039675
2019-12,1899.8188187482185
2020-01,1809.8858553436557
2020-02,1809.6979508683096
2020-03,1649.2314463875132
2020-04,1781.3395569185116
2020-05,1745.2506572519246
2020-06,1908.0069722449687
2020-07,2091.4585603605155
2020-08,2183.04422985963
2020-09,2138.3046653564343
2020-10,2217.8287907227673
2020-11,2332.09800099334
2020-12,2439.9374127069
2021-01,2600.1249225320707
2021-02,2621.598976552617
2021-03,2511.7377761794446
2021-04,2589.327181417579
2021-05,2598.581773403684
2021-06,2599.5907032320806
2021-07,2345.7988893970314
2021-08,2372.391420360581
2021-09,2256.309269790477
2021-10,2307.6052175864324
2021-11,2221.145526446692
2021-12,2212.3103463995253
2022-01,2161.4027784782947
2022-02,2090.1680273511092
2022-03,1979.8957731099483
2022-04,1860.6848210983283
2022-05,1901.0642827780898
2022-06,1896.9445497318638
2022-07,1795.0995816002887
2022-08,1783.5283695084358
2022-09,1525.9572287852802
2022-10,1326.8862810988671
2022-11,1682.1632024138523
2022-12,1724.3088341443374
2023-01,1914.3069920121613
2023-02,1772.2572792962014
2023-03,1837.883619429467
2023-04,1759.9369714427814
2023-05,1690.2739801287485
2023-06,1747.263896454001
