Date,MSCI ZHONG HUA (A ONSHORE) ex HK LARGE CAP
2009-12,1008.2341628036081
2010-01,906.4024444068774
2010-02,926.5680353644765
2010-03,959.854608906746
2010-04,915.0031532773288
2010-05,848.8078070507626
2010-06,828.7766147049578
2010-07,895.0100611831738
2010-08,884.2199201635879
2010-09,935.3963702802237
2010-10,1029.009076635468
2010-11,978.2062315911537
2010-12,982.2739824843048
2011-01,971.7855073528641
2011-02,993.3195920608288
2011-03,1016.8072570448433
2011-04,1025.5596718495983
2011-05,1001.6493316369168
2011-06,996.2956933816907
2011-07,982.8077010016053
2011-08,922.9788059462193
2011-09,811.281720574933
2011-10,885.9041545559525
2011-11,819.4739047081912
2011-12,810.4510143105455
2012-01,875.9977645582227
2012-02,930.1088675416538
2012-03,869.0977556104968
2012-04,915.6915205555713
2012-05,864.5675928145744
2012-06,854.698279495154
2012-07,842.3464782888619
2012-08,803.9031742211702
2012-09,850.1010673928262
2012-10,870.0160087828896
2012-11,859.2776713238566
2012-12,951.976397514265
2013-01,1002.7205495740088
2013-02,976.020010431754
2013-03,920.9527255149213
2013-04,921.9328086476002
2013-05,945.226791807076
2013-06,846.8847845016451
2013-07,865.9985073573699
2013-08,900.3334714761758
2013-09,945.5908806733188
2013-10,952.3706293058597
2013-11,987.2750182369427
2013-12,947.899407522542
2014-01,885.9129323645394
2014-02,885.2950538981045
2014-03,868.8968342052085
2014-04,860.2240392956662
2014-05,884.8680381621231
2014-06,908.2938699891777
2014-07,1000.0136742771606
2014-08,995.9010770344757
2014-09,974.5847586983199
2014-10,1012.0385819811421
2014-11,1079.4603700696468
2014-12,1247.3960500708336
2015-01,1225.652193556748
2015-02,1263.956133453315
2015-03,1371.9195677770333
2015-04,1610.2101486219951
2015-05,1576.3327284989714
2015-06,1487.0204246383546
2015-07,1290.3717443702683
2015-08,1122.8638438907838
2015-09,1084.4540037488482
2015-10,1189.3286912211402
2015-11,1166.4503333284556
2015-12,1180.3848334133834
2016-01,961.627312064066
2016-02,941.4871534931054
2016-03,1058.0985255558544
2016-04,1041.8664757628646
2016-05,1032.1466050091058
2016-06,1034.4858075150473
2016-07,1064.5100419057064
2016-08,1121.420462539046
2016-09,1124.4190885720757
2016-10,1118.2045268102288
2017-04,1176.212563
2017-05,1224.878796
2017-06,1281.074438
2017-07,1360.298967
2017-08,1417.472979
2017-09,1418.202207
2017-10,1484.325863
2017-11,1489.189159
2017-12,1513.218535
2018-01,1686.004233
2018-02,1564.599127
2018-03,1514.189879
2018-04,1476.158701659343
2018-05,1478.6528117544865
2018-06,1373.65626186938
2018-07,1345.6639541015388
2018-08,1287.5112242202354
2018-09,1293.6609804552554
2018-10,1157.9738018654514
2018-11,1212.0505720856663
2018-12,1151.2509617125047
2019-01,1274.1904792720047
2019-02,1372.3289722772788
2019-03,1418.7710651708246
2019-04,1447.2915273439887
2019-05,1283.4320702856353
2019-06,1379.9408733020323
2019-07,1383.2327758741221
2019-08,1326.1648810362303
2019-09,1328.3760129627055
2019-10,1377.302778317966
2019-11,1383.4577713631822
2019-12,1496.9581546972295
2020-01,1445.935479327867
2020-02,1437.5839830569234
2020-03,1335.082060135685
2020-04,1423.5764792995365
2020-05,1405.3914181527102
2020-06,1534.4343977870344
2020-07,1716.4034617037632
2020-08,1805.7802906115166
2020-09,1746.232205749685
2020-10,1839.1309821443326
2020-11,1925.8440871144135
2020-12,2016.711221601636
