Date,EM ASIA WITH PARTIAL A SHARES
2008-11,1070.8720762160228
2008-12,1189.830318097886
2009-01,1115.8093045318267
2009-02,1045.5289937327707
2009-03,1211.6157490583705
2009-04,1412.448092976759
2009-05,1624.8610397402017
2009-06,1623.06321427605
2009-07,1831.3263632363712
2009-08,1776.9316564068731
2009-09,1940.146520696943
2009-10,1923.3821646346553
2009-11,1983.4668947626526
2009-12,2073.4535942266566
2010-01,1949.5133272969836
2010-02,1952.1762903024423
2010-03,2102.7798903598687
2010-04,2151.532401383108
2010-05,1966.165238274899
2010-06,1992.6206707650724
2010-07,2107.893743067711
2010-08,2078.0570378319044
2010-09,2310.829912284786
2010-10,2373.7206857435863
2010-11,2328.9157730038714
2010-12,2473.8884426486916
2011-01,2439.279327129305
2011-02,2346.9130797601974
2011-03,2512.7942562242342
2011-04,2608.406410298171
2011-05,2569.1722993886497
2011-06,2515.8588236553237
2011-07,2536.442522039286
2011-08,2273.8757041718627
2011-09,1986.9907841337517
2011-10,2225.257255606386
2011-11,2037.6962293684724
2011-12,2050.9797654624526
2012-01,2267.8667654576466
2012-02,2398.5378173332524
2012-03,2322.5352068581933
2012-04,2320.491730272957
2012-05,2102.112534718899
2012-06,2155.428247499304
2012-07,2199.858025685277
2012-08,2184.407018974655
2012-09,2343.623327036085
2012-10,2334.1682758280235
2012-11,2397.9779757857114
2012-12,2485.6294352992936
2013-01,2514.664942923288
2013-02,2513.331880776502
2013-03,2453.754040487654
2013-04,2489.9919354429385
2013-05,2471.9625554299305
2013-06,2325.4908267036903
2013-07,2357.8122191004863
2013-08,2333.149540935737
2013-09,2455.315933535844
2013-10,2572.2118059947684
2013-11,2578.4387615917576
2013-12,2545.986141969376
2014-01,2425.679984442115
2014-02,2503.3463892112727
2014-03,2535.833685111446
2014-04,2539.176253734966
2014-05,2643.0892206383014
2014-06,2718.472208345875
2014-07,2815.9532103200986
2014-08,2847.7045724232844
2014-09,2686.3951986717952
2014-10,2726.5161072797614
2014-11,2734.5898988155714
2014-12,2692.180053631406
2015-01,2753.5788842218963
2015-02,2820.1248205635497
2015-03,2840.31367498869
2015-04,3055.111264785671
2015-05,2977.226013953994
2015-06,2854.400471957317
2015-07,2644.5559456884375
2015-08,2397.58061637974
2015-09,2361.2206319957945
2015-10,2547.2155950814904
2015-11,2465.020021178839
2015-12,2446.7870255419134
2016-01,2251.4789912374063
2016-02,2223.5450648584406
2016-03,2479.1478546897806
2016-04,2449.6070864027356
2016-05,2422.488407347332
2016-06,2492.169337519062
2016-07,2612.4312819376346
2016-08,2721.4018785371654
2016-09,2757.067323303857
2016-10,2718.1534644494204
2017-04,3001.520341
2017-05,3135.03608
2017-06,3193.439397
2017-07,3373.97235
2017-08,3424.482619
2017-09,3425.990312
2017-10,3604.937378
2017-11,3606.317044
2017-12,3709.662169
2018-01,4009.772473
2018-02,3794.083658
2018-03,3744.1398933093033
2018-04,3746.603478219564
2018-05,3701.3328705232634
2018-06,3529.907447856918
2018-07,3556.9734525791932
2018-08,3527.3218091705485
2018-09,3468.4480297773434
2018-10,3089.6553225399207
2018-11,3248.9720860816187
2018-12,3148.1752287177906
2019-01,3378.656116485704
2019-02,3436.4662350572194
2019-03,3499.99691236267
2019-04,3563.128718110257
2019-05,3251.4443319906745
2019-06,3460.2652410416913
2019-07,3407.319110517822
2019-08,3281.0771659151915
2019-09,3348.3696293027265
2019-10,3499.473869243087
2019-11,3519.6757017363325
2019-12,3770.642106996374
2020-01,3597.9283961523142
2020-02,3490.8651383898455
2020-03,3075.4580098976353
2020-04,3361.1885419130426
2020-05,3354.4573026924595
2020-06,3629.5394988002276
2020-07,3974.8101429422736
2020-08,4100.380030518239
2020-09,4061.5560605008245
2020-10,4195.944685517863
2020-11,4512.898586944033
2020-12,4831.545694509038
