Date,MSCI AC ASIA ex JAPAN WITH CHINA ALL SHARES
2008-11,1062.5260767981608
2008-12,1153.5421788672422
2009-01,1106.3915312265049
2009-02,1047.3544118629516
2009-03,1191.9355372087098
2009-04,1375.2728620516173
2009-05,1578.5885022418345
2009-06,1600.341328288647
2009-07,1819.537092751059
2009-08,1712.3271310827436
2009-09,1859.6732499565123
2009-10,1865.8678920458433
2009-11,1923.3262286649544
2009-12,2001.8748403583618
2010-01,1868.7513226780607
2010-02,1881.7950962531631
2010-03,2008.1374696147113
2010-04,2028.648355381154
2010-05,1855.5876918866272
2010-06,1874.9810685229784
2010-07,1994.9576934452004
2010-08,1973.6507017776091
2010-09,2180.993435925152
2010-10,2263.3775357005816
2010-11,2217.6587793297335
2010-12,2331.4677336577524
2011-01,2309.417501351486
2011-02,2237.0316086399603
2011-03,2364.6852710765324
2011-04,2447.466274319148
2011-05,2407.2953364514833
2011-06,2363.866618303823
2011-07,2385.18467851883
2011-08,2163.805593076949
2011-09,1889.1017893635224
2011-10,2102.752523768051
2011-11,1931.4768304679628
2011-12,1934.3251874160376
2012-01,2131.5160406679715
2012-02,2259.5356299736422
2012-03,2181.374427708173
2012-04,2195.384665614857
2012-05,2003.5870378192058
2012-06,2049.4261780176366
2012-07,2090.862204035572
2012-08,2071.272050713829
2012-09,2212.9086099838555
2012-10,2206.1979305459454
2012-11,2249.9945573467744
2012-12,2357.2532753524656
2013-01,2409.526150993376
2013-02,2404.6647325381255
2013-03,2343.0481608007212
2013-04,2375.8525252599766
2013-05,2369.798305354509
2013-06,2207.690054567497
2013-07,2246.31102782202
2013-08,2234.3718540500818
2013-09,2351.499686751186
2013-10,2437.099693498219
2013-11,2451.358448235654
2013-12,2416.774190750134
2014-01,2296.0028461091038
2014-02,2356.9243444048425
2014-03,2369.2834706514304
2014-04,2382.9598759108244
2014-05,2468.5658551274637
2014-06,2526.942789786695
2014-07,2643.8596643750766
2014-08,2660.728603764199
2014-09,2538.3378084383385
2014-10,2591.846025451152
2014-11,2637.69953941879
2014-12,2690.298356674875
2015-01,2729.034337367626
2015-02,2790.3767390654207
2015-03,2883.682609699186
2015-04,3172.0814185259774
2015-05,3125.6126436389786
2015-06,2975.247632958824
2015-07,2726.8218635665708
2015-08,2430.690535992611
2015-09,2371.0943735723617
2015-10,2579.4672442015753
2015-11,2508.729644529099
2015-12,2508.116260091848
2016-01,2215.7568833144537
2016-02,2192.3589165310905
2016-03,2450.2141251441435
2016-04,2419.5966287915617
2016-05,2388.244066114065
2016-06,2440.0138343015724
2016-07,2548.1954124276626
2016-08,2637.1102953559766
2016-09,2659.292998212533
2016-10,2631.830628932202
2016-11,2589.790880415679
2016-12,2512.1336900162364
2017-01,2652.888804930285
2017-02,2738.64829835465
2017-03,2807.920406540773
2017-04,2853.881508074139
2017-05,2961.247823413103
2017-06,3035.011781072046
2017-07,3190.2878559241435
2017-08,3251.6738704774325
2017-09,3250.4393040497644
2017-10,3396.459492762858
2017-11,3397.2431650107956
2017-12,3486.3250451997815
2018-01,3758.298032633578
2018-02,3558.2956343652277
2018-03,3499.7126044461734
2018-04,3489.262622086996
2018-05,3448.8211282074453
2018-06,3251.454407851473
2018-07,3265.692715490514
2018-08,3205.809777024991
2018-09,3180.850778288141
2018-10,2840.541773809877
2018-11,2973.3790163115696
2018-12,2892.9172389302935
2019-01,3110.099708064899
2019-02,3235.7875778258235
2019-03,3312.9093890511535
2019-04,3365.451093783549
2019-05,3077.314974252403
2019-06,3276.9133944891546
2019-07,3234.228685156694
2019-08,3097.983589378743
2019-09,3143.4279647395874
2019-10,3278.4787521018998
2019-11,3278.812261284746
2019-12,3506.0973076497603
2020-01,3373.6366816822188
2020-02,3283.8203361417022
2020-03,2915.1141597625824
2020-04,3167.077750279792
2020-05,3127.421548617496
2020-06,3399.7525494040997
2020-07,3731.624368526048
2020-08,3871.3899597350587
2020-09,3789.23877119178
2020-10,3900.951451801869
2020-11,4202.101020221315
2020-12,4490.453505907771
2021-01,4675.549085843421
2021-02,4714.561110118195
2021-03,4561.744534923555
2021-04,4688.694746384901
2021-05,4792.57107313972
2021-06,4775.767517508624
2021-07,4432.758073186487
2021-08,4521.301401521652
2021-09,4379.3240332766045
2021-10,4446.259515683494
2021-11,4307.918859
2021-12,4363.46817328225
2022-01,4177.580735474621
2022-02,4122.383042541688
2022-03,3957.906991666961
2022-04,3721.2369797686342
2022-05,3755.4432024703256
2022-06,3693.7774568004043
2022-07,3613.0282544327406
2022-08,3582.6666003824243
2022-09,3154.1544512135183
2022-10,2941.9736796844963
2022-11,3448.123452392423
2022-12,3460.1069114417946
2023-01,3756.862059602607
2023-02,3522.011021473921
2023-03,3619.2009048709665
2023-04,3544.6671991171247
2023-05,3441.3174670161297
2023-06,3512.4550567622064
