Date,AC EUROPE VALUE
1997-03,106.76438468278359
1997-04,106.41203065833058
1997-05,111.88324990352935
1997-06,116.53011333927522
1997-07,122.02641488936084
1997-08,115.25384274371464
1997-09,126.60034523653107
1997-10,122.53034482853123
1997-11,124.45415710135548
1997-12,129.3096507412953
1998-01,133.47883304292395
1998-02,142.97490842064414
1998-03,157.35920522403464
1998-04,161.15510294784275
1998-05,163.76721440640708
1998-06,163.44759986525304
1998-07,169.19084066242425
1998-08,143.2378524067947
1998-09,137.45499198957611
1998-10,147.16240633673027
1998-11,155.55730304030592
1998-12,158.72965801325418
1999-01,156.04442831996136
1999-02,154.49513736431825
1999-03,161.2927795702269
1999-04,172.43017581692612
1999-05,162.96227107043902
1999-06,165.99263399698074
1999-07,170.60156435093774
1999-08,171.7196309179508
1999-09,170.04824207357942
1999-10,173.22082548484434
1999-11,172.58965185360887
1999-12,186.89751127347301
2000-01,169.43887525948247
2000-02,173.12492586547322
2000-03,179.32730514214464
2000-04,172.06152977547094
2000-05,176.90298866816465
2000-06,181.538875114623
2000-07,182.69194461171745
2000-08,181.49247232123008
2000-09,174.7082215982438
2000-10,176.1605924148888
2000-11,171.18795661083334
2000-12,185.53597078187082
2001-01,187.9698352863936
2001-02,175.14263411417136
2001-03,163.88904176059364
2001-04,175.02719343395316
2001-05,168.3649610519769
2001-06,162.96594412042523
2001-07,163.96139653324502
2001-08,162.33391635533252
2001-09,144.73002876415558
2001-10,147.92174092679585
2001-11,153.1986602401825
2001-12,157.32733785195248
2002-01,148.56432541383043
2002-02,147.3317224431436
2002-03,158.05755377678574
2002-04,157.6571251043899
2002-05,159.55161739150142
2002-06,151.36984692830737
2002-07,135.64752798525348
2002-08,136.61478941398207
2002-09,114.38366626651903
2002-10,126.24643787116918
2002-11,135.91670403941146
2002-12,129.2123151758277
2003-01,123.67274745487487
2003-02,119.47877799105854
2003-03,116.78851404777662
2003-04,134.37089434453335
2003-05,144.9846708957554
2003-06,147.5568511070291
2003-07,153.06936707886342
2003-08,154.10535278800907
2003-09,155.78520633396244
2003-10,167.09873365165612
2003-11,173.652783544211
2003-12,189.78213024148434
2004-01,190.9052708389707
2004-02,196.8451931337936
2004-03,191.84132087558015
2004-04,191.18606175238614
2004-05,194.6411782290537
2004-06,198.66250585589546
2004-07,194.32049450298484
2004-08,195.6131503428476
2004-09,203.9134222467632
2004-10,211.7279825744763
2004-11,227.76704157804275
2004-12,238.28799878114071
2005-01,235.12202706997527
2005-02,248.17466464808672
2005-03,241.13599798799572
2005-04,233.4331842058793
2005-05,234.36113022624693
2005-06,239.77037542562755
2005-07,248.76036942082774
2005-08,252.7653315151811
2005-09,260.67463964800424
2005-10,251.74667061663865
2005-11,259.8233042350597
2005-12,268.64745793975254
2006-01,287.67658990929954
2006-02,290.2799403811516
2006-03,299.61741071642285
2006-04,315.60900148476986
2006-05,306.73932199799657
2006-06,307.97739732176996
2006-07,314.7997007730929
2006-08,325.1007536133321
2006-09,330.14277840000284
2006-10,346.39541802239745
2006-11,358.42329551900576
2006-12,369.74145926768307
2007-01,370.213631387603
2007-02,367.92458542256884
2007-03,378.22434149692583
2007-04,404.16155001121507
2007-05,411.4882805576349
2007-06,413.25922561997635
2007-07,403.45684628362847
2007-08,396.15518469277026
2007-09,414.0917387615946
2007-10,434.8421084719839
2008-10,208.30927847350364
2016-11,311.90242905329956
2016-12,332.8356170551183
2017-01,337.941746189559
2017-02,337.43529580924115
2017-03,352.7978872943387
2017-04,364.1428759641448
2017-05,379.23429775944066
2017-06,377.2917760025694
2017-07,391.46353614972475
2017-08,390.4262216590663
2017-09,404.89175328266873
2017-10,404.4113963108671
2017-11,406.5304062931555
2017-12,412.5653669084021
2018-01,438.9058889895766
2018-02,413.6582123082545
2018-03,406.04488227021534
2018-04,420.98850990699157
2018-05,398.2720245681586
2018-06,395.46650645233063
2018-07,409.5397674944969
2018-08,389.39671176509455
2018-09,397.3971757184956
2018-10,371.97899502580253
2018-11,368.1162936377525
2018-12,350.61334056643307
2019-01,374.43903074671016
2019-02,384.43169007775845
2019-03,381.61087351382577
2019-04,394.32932686979785
2019-05,368.6154479324436
2019-06,391.45417299480056
2019-07,380.91762843829827
2019-08,363.95349303495124
2019-09,382.5684755603747
2019-10,396.72591670840325
2019-11,399.7429668871877
2019-12,417.8259103372664
2020-01,399.4935605943516
2020-02,357.9385086833137
2020-03,288.4643629834277
2020-04,302.31510249644293
2020-05,312.980145571651
2020-06,329.022278739548
2020-07,333.9108797608501
2020-08,348.7737238075426
2020-09,330.0014727058162
2020-10,310.59729248331877
2020-11,381.6905306170673
2020-12,398.2337892306067
