Date,MSCI GCC COUNTRIES ex SA
2005-05,718.9120696
2005-06,868.173761
2005-07,804.2941065
2005-08,915.6328311
2005-09,999.5457921
2005-10,1015.311281
2005-11,1000.0
2005-12,946.2352996022183
2006-01,906.7478869413011
2006-02,840.5885796538824
2006-03,798.1113944839136
2006-04,760.4360126865708
2006-05,698.039712241525
2006-06,677.6894941020793
2006-07,660.5362553124933
2006-08,703.7593253156732
2006-09,711.1204149785502
2006-10,729.909261157763
2006-11,643.4850111145935
2006-12,675.9676074984264
2007-01,667.8013312397562
2007-02,693.3697592774151
2007-03,710.4929130532481
2007-04,740.3888324368978
2007-05,850.3806129847823
2007-06,856.972662934252
2007-07,878.9631862485044
2007-08,877.3588477526376
2007-09,897.2828923036964
2007-10,965.6241943721387
2007-11,926.7472173274308
2007-12,977.5485290243598
2008-01,996.5201511996178
2008-02,1048.5693496111862
2008-03,985.1029349919221
2008-04,1043.6762326911935
2008-05,1042.2269804495427
2008-06,1037.7892162562077
2008-07,1015.3992850336045
2008-08,936.0633613292229
2008-09,813.0370862079748
2008-10,618.9075061571074
2008-11,530.4736165098639
2008-12,462.7946657620338
2009-01,380.9400487553222
2009-02,344.6066607541402
2009-03,387.1019225147913
2009-04,431.5748469678138
2009-05,488.13553847434247
2009-06,512.3850585384856
2009-07,523.7617793428429
2009-08,564.6275665575624
2009-09,574.0541878590911
2009-10,541.3912444957126
2009-11,492.9644432170907
2009-12,484.3947465758512
2010-01,457.18125676973807
2010-02,507.96065537292975
2010-03,548.8806519882874
2010-04,547.7027647494347
2010-05,494.05206103
2010-06,486.9540642681665
2010-07,519.0334579907619
2010-08,536.9883274971702
2010-09,588.3752479933233
2010-10,609.1055681025356
2010-11,598.1904311686119
2010-12,628.0990991991345
2011-01,619.990109893309
2011-02,578.7885824714283
2011-03,587.3614928371347
2011-04,634.5552627039227
2011-05,600.2072103073067
2011-06,590.9336757985784
2011-07,574.5324377891878
2011-08,560.2165983069849
2011-09,553.0487438796586
2011-10,567.2532898515026
2011-11,558.3891618984896
2011-12,554.553948541834
2012-01,551.3947683976932
2012-02,569.6628525964732
2012-03,579.7229076136528
2012-04,576.1969859372738
2012-05,553.2500271214159
2012-06,552.8382134710388
2012-07,546.899385655669
2012-08,551.0640319947471
2012-09,572.0352026837529
2012-10,568.2423068573381
2012-11,582.6492075839413
2012-12,573.6486883919213
2013-01,612.162186566493
2013-02,612.7428588586149
2013-03,615.1652969620185
2013-04,652.3598075223596
2013-05,678.9698242433361
2013-06,651.7378146579222
2013-07,689.0714667239401
2013-08,676.3886364058403
2013-09,697.3361597846791
2013-10,707.5267939659145
2013-11,708.5014882502666
2013-12,736.9568248788432
2014-01,774.9419604832888
2014-02,819.7030068467677
2014-03,853.6367655718856
2014-04,913.8086094566049
2014-05,980.6999589942907
2014-06,832.610326144854
2014-07,905.8122234814954
2014-08,914.2461435342475
2014-09,937.66417393419
2014-10,888.6173106168891
2014-11,874.5363294197305
2014-12,795.8233109387164
2015-01,769.8258251099135
2015-02,814.1890487634423
2015-03,766.135802847861
2015-04,816.963945078501
2015-05,770.2529905786714
2015-06,788.1881077111453
2015-07,778.8817806398362
2015-08,730.7053606402836
2015-09,722.915425030818
2015-10,712.1015996702379
2015-11,645.8490910719553
2015-12,654.3458534470393
2016-01,592.1084222352624
2016-02,644.4214497928095
2016-03,680.0485788324944
2016-04,693.7331689712978
2016-05,648.7947252434943
2016-06,661.2460995456772
2016-07,698.9408773214362
2016-08,706.7254398008764
2016-09,696.2083472320979
2016-10,680.5126092534404
2016-11,671.6969279142971
2016-12,708.096320092333
2017-01,734.3538411510035
2017-02,738.978748174044
2017-03,736.9696044449986
2017-04,731.592185
2017-05,726.658602
2017-06,704.180183
2017-07,746.212084
2017-08,742.121306
2017-09,725.547452
2017-10,719.120646
2017-11,679.789459
2017-12,709.437497
2018-01,739.416237
2018-02,715.254479
2018-03,725.362237
2018-04,736.3268020242701
2018-05,716.8012696826682
2018-06,718.5935549080638
2018-07,779.3558611913553
2018-08,781.9224039506431
2018-09,781.1360848432712
2018-10,799.6903889751089
2018-11,796.5806078250142
2018-12,791.6165577436432
2019-01,818.6468941797787
2019-02,810.0334484458018
2019-03,829.8317225555637
2019-04,867.5056001940139
2019-05,842.2454922671502
2019-06,848.6173719829563
2019-07,888.4567761911087
2019-08,862.7139337335697
2019-09,841.5634720746178
2019-10,837.5331763677204
2019-11,842.1506062858699
2019-12,879.8291048035197
2020-01,881.0839845294499
2020-02,831.674797997217
2020-03,678.9007751076479
2020-04,726.7632504602941
2020-05,735.4990105664954
2020-06,752.6199515357093
2020-07,754.5545299899906
2020-08,804.5265824949907
2020-09,809.7525674541306
2020-10,800.334499246853
2020-11,833.677251546729
2020-12,841.3539330668167
2021-01,887.0319902524938
2021-02,862.6899841136576
2021-03,902.6850514182053
2021-04,932.9052016616496
2021-05,959.6139776391792
2021-06,971.0625227341746
2021-07,989.4265953463937
2021-08,1028.5019776476277
2021-09,1045.0196497128716
2021-10,1076.4052832652005
2021-11,1077.9439884147168
2021-12,1097.4373778228967
2022-01,1152.8509983072333
2022-02,1209.3203810492312
2022-03,1319.1656528258868
2022-04,1319.9864422496164
2022-05,1227.235205190093
2022-06,1140.23146101176
2022-07,1201.8821480174977
2022-08,1199.5849656688572
2022-09,1129.3352892147511
2022-10,1156.395067765425
2022-11,1160.2701410236189
2022-12,1080.968852445916
2023-01,1071.6483971302491
2023-02,1069.1191820214885
2023-03,1035.1142774249022
2023-04,1075.9595333378002
2023-05,1032.6864450352912
2023-06,1049.6372628879087
