Date,MSCI FM GCC COUNTRIES DOMESTIC
2014-05,1000.0
2014-06,956.8059267348804
2014-07,979.8353684229477
2014-08,994.4964586913469
2014-09,995.2854903408779
2014-10,952.2171010726057
2014-11,915.3473652548115
2014-12,852.1663586374113
2015-01,859.7036589451966
2015-02,890.7322476359953
2015-03,828.7856119634085
2015-04,860.9618383865934
2015-05,820.3831668981081
2015-06,829.4596690420111
2015-07,825.7043102080138
2015-08,752.7185446720725
2015-09,759.7969208096187
2015-10,754.8754665246455
2015-11,739.1640055436696
2015-12,721.7062120931421
2016-01,647.6821576644883
2016-02,681.4862438217007
2016-03,708.8676182017664
2016-04,729.0458612141526
2016-05,700.7065454145035
2016-06,679.5460216128752
2016-07,691.5367731891091
2016-08,677.8382658300272
2016-09,691.9860154116265
2016-10,696.1241160863409
2016-11,721.2204195302005
2016-12,755.1331536420643
2017-01,835.5744063505392
2017-02,813.574997694097
2017-03,809.980497632258
2017-04,800.035001
2017-05,799.875599
2017-06,790.787094
2017-07,836.274821
2017-08,894.864299
2017-09,906.853274
2017-10,879.118387
2017-11,846.470416
2017-12,853.079052
2018-01,885.769415
2018-02,897.746509
2018-03,909.811437
2018-04,883.6211651316468
2018-05,866.4472147388087
2018-06,897.3134422649806
2018-07,965.5423931139549
2018-08,959.6961721266302
2018-09,976.758992016283
2018-10,955.0632656601805
2018-11,965.6083403016294
2018-12,960.1786364465789
2019-01,985.7512498375245
2019-02,999.3930745940635
2019-03,1087.5084888900324
2019-04,1130.910621059348
2019-05,1169.324931511347
2019-06,1195.7659265540608
2019-07,1267.171157285498
2019-08,1236.1308215274069
2019-09,1168.0781670914373
2019-10,1180.5423418046619
2019-11,1232.338293860359
2019-12,1328.524347775261
2020-01,1341.4227170941517
2020-02,1281.7460485637796
2020-03,993.7888968166419
2020-04,1051.0248962750723
2020-05,1077.7022470962363
2020-06,1105.362260843507
2020-07,1081.4152128253713
2020-08,1177.442066935226
2020-09,1206.4538162002768
2020-10,1198.8208738127266
2020-11,1206.5721751004817
2020-12,1208.8474271658808
2021-01,1189.1018074082272
2021-02,1198.180634831953
2021-03,1211.640139462151
2021-04,1249.4682166899297
2021-05,1287.022379987814
2021-06,1387.0997147502571
2021-07,1403.3187455363957
2021-08,1463.377479200404
2021-09,1539.5412558538223
2021-10,1586.9796839780565
2021-11,1517.289281998865
2021-12,1563.6445391678005
2022-01,1586.3684331141183
2022-02,1714.0494840340893
2022-03,1860.0927263935125
2022-04,1907.4979776447096
2022-05,1774.6577801226815
2022-06,1715.5866614591755
2022-07,1876.9704078015855
2022-08,1871.890356041181
2022-09,1838.8405077800337
2022-10,1818.9522620634789
2022-11,1823.273381314948
2022-12,1861.1116819318706
2023-01,1868.2151420847968
2023-02,1904.4249310023256
2023-03,1963.9359932771922
2023-04,1950.548186725957
2023-05,1977.2231961438324
2023-06,2020.0718590546926
