Date,ACWI ex EM LATIN AMERICA
1998-12,1000.0
1999-01,1021.7205874095837
1999-02,994.6800050918554
1999-03,1038.371471301253
1999-04,1081.63031515737
1999-05,1044.3208307139082
1999-06,1096.9113581376093
1999-07,1093.1087566703218
1999-08,1092.4555401004868
1999-09,1080.339008513419
1999-10,1134.7659477769116
1999-11,1168.4600557796887
1999-12,1264.2194462748757
2000-01,1195.1632538376616
2000-02,1197.7614756164971
2000-03,1278.171662159267
2000-04,1222.131828511485
2000-05,1191.9220525613591
2000-06,1231.3942303191818
2000-07,1194.5916446783808
2000-08,1232.2669950505542
2000-09,1164.5278048613075
2000-10,1141.4962800683786
2000-11,1071.153186080737
2000-12,1088.1838259678734
2001-01,1114.0556669305377
2001-02,1020.5121610512181
2001-03,951.7866968906912
2001-04,1021.2327865752972
2001-05,1009.2697554320325
2001-06,977.7707071166117
2001-07,963.2365571650291
2001-08,918.8442663042395
2001-09,835.7831193420819
2001-10,853.3318116142922
2001-11,905.818526945025
2001-12,913.4257786422609
2002-01,888.1464300010217
2002-02,881.2150973496049
2002-03,920.998396857078
2002-04,891.636157890804
2002-05,893.6782359693476
2002-06,839.6164747378192
2002-07,769.6031824426684
2002-08,771.1685282681807
2002-09,686.9684026457148
2002-10,737.2699703937282
2002-11,777.6928508511555
2002-12,740.2615884175505
2003-01,718.6715792127403
2003-02,706.1143479296625
2003-03,703.1251237036716
2003-04,765.475336685825
2003-05,810.185015330837
2003-06,825.7114674287035
2003-07,843.8684527193625
2003-08,863.7845371782454
2003-09,869.147146840447
2003-10,921.7590213689983
2003-11,935.6934715553022
2003-12,994.7113309353214
2004-01,1011.8353840349783
2004-02,1030.2513630102678
2004-03,1024.5531461609096
2004-04,1001.7777375103178
2004-05,1010.3490496761565
2004-06,1030.6586095280168
2004-07,997.4347022756381
2004-08,1003.5809489890287
2004-09,1024.2006864779662
2004-10,1049.4097548095583
2004-11,1106.7507250194674
2004-12,1149.4344342608517
2005-01,1125.2601775209785
2005-02,1163.6670087562925
2005-03,1139.2406852360232
2005-04,1114.974913863263
2005-05,1136.013311138995
2005-06,1147.5450800190856
2005-07,1189.9086156074866
2005-08,1198.842624954673
2005-09,1233.4148496549444
2005-10,1200.8581614938767
2005-11,1244.4986340743992
2005-12,1275.6605879001397
2006-01,1336.586398749098
2006-02,1334.9563341527435
2006-03,1364.536526758719
2006-04,1409.713099610275
2006-05,1357.524796434179
2006-06,1356.6849131841007
2006-07,1365.8092582869967
2006-08,1402.2480625854573
2006-09,1419.0524642493594
2006-10,1471.7134076471993
2006-11,1513.390352714417
2006-12,1546.409746966254
2007-01,1561.947232203241
